,ALISP FP Equity_DX_SI_QTY,ALISP FP Equity_DX_SHORT_INTEREST_VALUE,ALISP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALISP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALISP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALISP FP Equity_DX_SI_MV,ALISP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALISP FP Equity_DX_SUPPLY_SI_QTY,ALISP FP Equity_DX_BROKER_SI_QTY,ALISP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALISP FP Equity_DX_SUPPLY_SI_MV,ALISP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALISP FP Equity_DX_UTILIZATION_QUANTITY,ALISP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALISP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALISP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALISP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALISP FP Equity_DX_BROKER_SI_CON_RATIO,ALISP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALISP FP Equity_PX_LAST
2007-02-14,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,83308.49,0.09,0.0,0.0,0.0,6.77
2007-02-15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,99920.97,0.09,0.0,0.0,0.0,8.12
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,110749.84,0.09,0.0,0.0,0.0,9.0
2007-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,110749.84,0.09,0.0,0.0,0.0,9.0
2007-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,108288.73,0.09,0.0,0.0,0.0,8.8
2007-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,101151.52,0.11,0.0,0.0,0.0,8.22
2007-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,100167.08,0.11,0.0,0.0,0.0,8.14
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,102135.96,0.11,0.0,0.0,0.0,8.3
2007-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,100905.41,0.11,0.0,0.0,0.0,8.2
2007-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,98444.3,0.11,0.0,0.0,0.0,8.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,98444.3,0.11,0.0,0.0,0.0,8.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,97213.75,0.11,0.0,0.0,0.0,7.9
2007-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,92537.64,0.11,0.0,0.0,0.0,7.52
2007-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,93522.09,0.11,0.0,0.0,0.0,7.6
2007-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13331.0,97090.69,0.11,0.0,0.0,0.0,7.89
2007-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.0,105293.62,0.11,0.0,0.0,0.0,7.9
2007-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.0,105293.62,0.11,0.0,0.0,0.0,7.9
2007-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.0,105960.04,0.11,0.0,0.0,0.0,7.95
2007-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.0,106226.61,0.11,0.0,0.0,0.0,7.97
2007-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14439.0,105293.62,0.11,0.0,0.0,0.0,7.9
2007-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,139614.08,0.16,0.0,0.0,0.0,7.4
2007-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,147915.46,0.16,0.0,0.0,0.0,7.84
2007-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,148104.13,0.16,0.0,0.0,0.0,7.85
2007-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,143576.1,0.16,0.0,0.0,0.0,7.61
2007-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,144519.44,0.16,0.0,0.0,0.0,7.66
2007-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,144708.11,0.16,0.0,0.0,0.0,7.67
