,COFA FP Equity_DX_SI_QTY,COFA FP Equity_DX_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,COFA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COFA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COFA FP Equity_DX_SI_MV,COFA FP Equity_DX_DSS,COFA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY,COFA FP Equity_DX_BROKER_SI_QTY,COFA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COFA FP Equity_DX_BROKER_SI_MV_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_x,COFA FP Equity_DX_BROKER_SI_MV_INC_x,COFA FP Equity_DX_SUPPLY_SI_MV_NEW,COFA FP Equity_DX_BROKER_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_NEW,COFA FP Equity_DX_SUPPLY_SI_MV_DEC,COFA FP Equity_DX_BROKER_SI_QTY_INC,COFA FP Equity_DX_SUPPLY_SI_QTY_DEC,COFA FP Equity_DX_BROKER_SI_MV_NEW_y,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COFA FP Equity_DX_BROKER_SI_MV_INC_y,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_y,COFA FP Equity_DX_BROKER_SI_MV_ADD,COFA FP Equity_DX_SUPPLY_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_DEC,COFA FP Equity_DX_SUPPLY_SI_MV,COFA FP Equity_DX_BROKER_SI_MV_DEC,COFA FP Equity_DX_SUPPLY_SI_MV_RMV,COFA FP Equity_DX_BROKER_SI_MV_RMV,COFA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COFA FP Equity_DX_UTILIZATION_QUANTITY,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COFA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COFA FP Equity_DX_ACTIVE_UTILIZATION_MV,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COFA FP Equity_DX_BROKER_SI_CON_RATIO,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COFA FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-06-27,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,507599.0,5012737.06,,5.32,0.0,,0.0,,0.0
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,627956.0,6124410.7,,6.75,0.0,,0.0,,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4209704.0,41093769.41,,47.0,0.0,,0.0,,0.0
2014-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2015289.0,20166177.43,,22.66,0.0,,0.0,,0.0
2014-07-03,150000.0,1508861.32,0.1,0.33,0.1,1.72,0.0,1508861.32,150000.0,150000.0,1508861.32,,,,,,150000.0,,,,,,,,,1.72,150000.0,,1.72,,,,68.18,2.27,70000.0,704135.28,,0.8,68.18,,1.0,100.0,0.0227
2014-07-04,202000.0,2007196.66,0.13,0.43,0.13,2.32,0.0,2007196.66,202000.0,202000.0,2007196.66,,,52000.0,0.6,,,,,52000.0,,,,0.6,52000.0,,,,2.32,,,,100.0,1.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0194
2014-07-07,202000.0,2023098.75,0.13,0.42,0.13,2.29,0.0,2023098.75,202000.0,202000.0,2023098.75,,,,,,,,,,,,,,,,,,2.29,,,,100.0,1.85,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0185
2014-07-08,202000.0,2023098.75,0.13,0.4,0.13,2.31,0.0,2023098.75,202000.0,202000.0,2023098.75,,,,,,,,,,,,,,,,,,2.31,,,,100.0,1.67,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0167
2014-07-09,702000.0,7092173.01,0.45,1.36,0.45,8.04,0.0,2040767.73,702000.0,202000.0,7092173.01,,,,,,,,,,,,,,,,500000.0,,8.04,,,,5.82,5.82,11352693.0,114694106.65,,130.28,5.81,28.77,0.5901,71.23,0.0582
2014-07-10,702000.0,7000066.87,0.45,1.28,0.45,8.11,0.0,2014264.25,702000.0,202000.0,7000066.87,,,,,,,,,,,,,,,,,,8.11,,,,5.8,5.8,11404934.0,113725499.43,,131.3,5.82,28.77,0.5901,71.23,0.058
