,BXX FP Equity_DX_SI_QTY,BXX FP Equity_DX_SHORT_INTEREST_VALUE,BXX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BXX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BXX FP Equity_DX_SI_MV,BXX FP Equity_DX_DSS,BXX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BXX FP Equity_DX_SUPPLY_SI_QTY,BXX FP Equity_DX_BROKER_SI_QTY,BXX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BXX FP Equity_DX_BROKER_SI_MV_NEW_x,BXX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BXX FP Equity_DX_SUPPLY_SI_QTY_INC_x,BXX FP Equity_DX_BROKER_SI_MV_INC_x,BXX FP Equity_DX_SUPPLY_SI_MV_NEW,BXX FP Equity_DX_BROKER_SI_QTY_ADD,BXX FP Equity_DX_BROKER_SI_QTY_NEW,BXX FP Equity_DX_SUPPLY_SI_MV_DEC,BXX FP Equity_DX_BROKER_SI_QTY_INC,BXX FP Equity_DX_SUPPLY_SI_QTY_DEC,BXX FP Equity_DX_BROKER_SI_MV_NEW_y,BXX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BXX FP Equity_DX_BROKER_SI_MV_INC_y,BXX FP Equity_DX_SUPPLY_SI_QTY_INC_y,BXX FP Equity_DX_BROKER_SI_MV_ADD,BXX FP Equity_DX_SUPPLY_SI_QTY_ADD,BXX FP Equity_DX_BROKER_SI_QTY_DEC,BXX FP Equity_DX_SUPPLY_SI_MV,BXX FP Equity_DX_BROKER_SI_MV_DEC,BXX FP Equity_DX_SUPPLY_SI_MV_RMV,BXX FP Equity_DX_BROKER_SI_MV_RMV,BXX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BXX FP Equity_DX_UTILIZATION_QUANTITY,BXX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BXX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BXX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BXX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BXX FP Equity_DX_ACTIVE_UTILIZATION_MV,BXX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BXX FP Equity_DX_BROKER_SI_CON_RATIO,BXX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BXX FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-01-14,35000.0,1453550.0,1.35,5.83,1.46,,1453550.0,0.0,35000.0,0.0,,,,,,35000.0,,,,,,,,,1.46,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-15,35000.0,1516900.0,1.35,5.83,1.45,,1516900.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-16,35000.0,1540700.0,1.28,5.83,1.52,,1540700.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-17,35000.0,1566600.0,1.23,5.83,1.54,,1566600.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-18,35000.0,1612800.0,1.21,5.83,1.57,,1612800.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-21,35000.0,1818250.0,1.18,5.83,1.61,,1818250.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-22,35000.0,1750000.0,1.0,5.83,1.82,,1750000.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-23,35000.0,1932000.0,1.0,5.83,1.75,,1932000.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-24,35000.0,1715000.0,0.95,5.83,1.93,,1715000.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-25,35000.0,1732150.0,0.88,5.83,1.72,,1732150.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-28,35000.0,1751050.0,0.82,5.83,1.73,,1751050.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-29,35000.0,1729700.0,0.83,5.83,1.75,,1729700.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-30,35000.0,1739850.0,0.83,5.83,1.74,,1739850.0,0.0,35000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
