,EXENS FP Equity_DX_SI_QTY,EXENS FP Equity_DX_SHORT_INTEREST_VALUE,EXENS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EXENS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EXENS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EXENS FP Equity_DX_SI_MV,EXENS FP Equity_DX_DSS,EXENS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EXENS FP Equity_DX_SUPPLY_SI_QTY,EXENS FP Equity_DX_BROKER_SI_QTY,EXENS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EXENS FP Equity_DX_SUPPLY_SI_QTY_INC_x,EXENS FP Equity_DX_BROKER_SI_MV_INC_x,EXENS FP Equity_DX_BROKER_SI_QTY_ADD,EXENS FP Equity_DX_SUPPLY_SI_MV_DEC,EXENS FP Equity_DX_BROKER_SI_QTY_INC,EXENS FP Equity_DX_SUPPLY_SI_QTY_DEC,EXENS FP Equity_DX_BROKER_SI_MV_INC_y,EXENS FP Equity_DX_SUPPLY_SI_QTY_INC_y,EXENS FP Equity_DX_BROKER_SI_MV_ADD,EXENS FP Equity_DX_SUPPLY_SI_QTY_ADD,EXENS FP Equity_DX_BROKER_SI_QTY_DEC,EXENS FP Equity_DX_SUPPLY_SI_MV,EXENS FP Equity_DX_BROKER_SI_MV_DEC,EXENS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EXENS FP Equity_DX_UTILIZATION_QUANTITY,EXENS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EXENS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EXENS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EXENS FP Equity_DX_ACTIVE_UTILIZATION_MV,EXENS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EXENS FP Equity_DX_BROKER_SI_CON_RATIO,EXENS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EXENS FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-06-10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4558.0,103922.4,0.1,0.0,,0.0,,0.0
2024-06-11,119999.0,2639978.0,,1.11,0.24,2.76,0.0,0.0,119999.0,0.0,2639978.0,,,,,,,,,,119999.0,,2.76,,10.57,10.57,1015667.0,22344674.0,22.76,10.81,,1.0,100.0,0.1057
2024-06-12,119999.0,2663977.8,,1.06,0.24,2.67,0.0,2663977.8,119999.0,119999.0,2663977.8,,,119999.0,,,,,,2.67,,,2.67,,10.1,10.1,1067743.0,23703894.6,23.53,10.19,,1.0,100.0,0.101
2024-06-13,119999.0,2636378.03,,1.04,0.24,2.69,0.0,2636378.03,119999.0,119999.0,2636378.03,,,,,,,,,,,,2.69,,7.13,7.13,1562828.0,34335331.16,34.62,7.21,,1.0,100.0,0.0713
2024-06-14,119999.0,2519979.0,,1.03,0.24,2.63,0.0,2519979.0,119999.0,119999.0,2519979.0,,,,,,,,,,,,2.63,,7.08,7.08,1573743.0,33048603.0,34.14,7.15,,1.0,100.0,0.0708
2024-06-17,119999.0,2519979.0,,0.98,0.24,2.54,0.0,2519979.0,119999.0,119999.0,2519979.0,,,,,,,,,,,,2.54,,6.6,6.6,1696820.0,35633220.0,35.6,6.65,,1.0,100.0,0.066
2024-06-18,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,2.54,,119999.0,,,,,119999.0,0.0,2.54,0.0,0.0,1772739.0,37812522.87,37.34,0.0,,0.0,,0.0
2024-06-19,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1773139.0,37856517.65,37.81,0.0,,0.0,,0.0
2024-06-20,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1773139.0,38308668.1,38.01,0.0,,0.0,,0.0
2024-06-21,50000.0,1047500.0,,0.4,0.1,1.11,0.0,523750.0,25000.0,25000.0,523750.0,,,25000.0,,,,,,0.57,25000.0,,0.54,,1.87,1.87,1311204.0,27469723.8,28.08,1.89,,1.0,100.0,0.0374
2024-06-24,50000.0,1019000.0,,0.4,0.1,1.07,0.0,509500.0,25000.0,25000.0,509500.0,,,,,,,,,,,,0.52,,1.7,1.7,1446009.0,29469663.42,30.02,1.71,,1.0,100.0,0.034
2024-06-25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.52,,25000.0,,,,,25000.0,0.0,0.55,0.0,0.0,1562937.0,31249362.38,31.71,0.0,,0.0,100.0,0.0
2024-06-26,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1563018.0,33604887.0,31.92,0.0,,0.0,,0.0
2024-06-27,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1592198.0,32751512.86,33.81,0.0,,0.0,,0.0
2024-06-28,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1613886.0,34230522.06,33.5,0.0,,0.0,,0.0
2024-07-01,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2201954.0,46241034.0,46.59,0.0,,0.0,,0.0
2024-07-02,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2203514.0,46372952.13,46.31,0.0,,0.0,,0.0
2024-07-03,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2203885.0,46942750.5,46.62,0.0,,0.0,,0.0
2024-07-04,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2205487.0,46866598.75,46.85,0.0,,0.0,,0.0
2024-07-05,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2205485.0,45664566.93,46.28,0.0,,0.0,,0.0
2024-07-08,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2202711.0,45155575.5,45.51,0.0,,0.0,,0.0
2024-07-09,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2201159.0,44122232.16,44.68,0.0,,0.0,,0.0
2024-07-10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2200888.0,44457937.6,44.27,0.0,,0.0,,0.0
