,MLARD FP Equity_PX_LAST
1993-07-28,82.3225
1993-07-29,82.3225
1993-09-13,80.798
1993-09-21,75.4623
1993-10-08,72.4133
1993-10-20,68.6021
1993-10-28,70.1265
1993-11-09,71.651
1993-12-03,76.9868
1993-12-13,88.4204
1993-12-17,97.2625
1993-12-20,102.1408
1993-12-23,112.3549
1993-12-24,118.148
1994-01-10,129.8866
1994-01-11,142.8447
1994-01-12,157.0225
1994-01-13,172.7247
1994-01-14,189.9515
1994-01-17,208.8552
1994-02-08,206.5684
1994-02-09,185.9878
1994-02-10,167.389
1994-02-11,150.7721
1994-02-14,135.8321
1994-02-15,122.2641
1994-02-16,110.0682
1994-02-17,99.0919
1994-02-18,89.1827
1994-02-21,80.3406
1994-02-22,72.3065
1994-02-23,65.0805
1994-03-11,206.5684
1994-03-14,185.9878
1994-03-15,167.389
1994-03-16,150.7721
1994-03-17,135.8321
1994-03-18,122.2641
1994-03-21,110.0682
1994-03-22,99.0919
1994-03-23,89.1827
1994-03-24,80.3406
1994-03-25,72.3065
1994-03-28,68.6021
1994-03-29,61.7419
1994-03-30,60.9796
1994-04-11,54.8816
1994-04-12,49.3935
1994-04-13,44.4541
1994-04-14,40.0179
1994-04-15,36.0237
1994-04-18,32.4259
1994-04-19,30.9472
1994-04-25,31.252
1994-05-02,30.4898
1994-05-06,30.4898
1994-05-30,31.7094
1994-05-31,31.252
1994-06-10,28.2031
1994-07-04,31.0234
1994-07-05,31.7856
1994-07-22,33.0357
1994-07-29,34.3468
1994-08-02,37.35
1994-09-21,38.8745
1994-10-13,40.8563
1994-10-26,43.448
1994-11-14,45.8872
1994-12-02,50.4759
1994-12-05,55.5219
1994-12-06,61.0711
1994-12-07,67.169
1994-12-08,73.8768
1994-12-09,81.2553
1994-12-12,83.6945
1995-01-16,79.2735
1995-02-02,71.3461
1995-02-03,64.2115
1995-02-06,57.7934
1995-02-07,52.0156
1995-02-24,64.2115
1995-02-27,57.7934
1995-02-28,52.1376
1995-03-23,57.1684
1995-04-18,60.9796
1995-05-11,57.9154
1995-05-30,56.4061
1995-06-06,53.2047
1995-06-21,47.8842
1995-06-22,43.0973
1995-06-23,38.7983
1995-06-26,34.9261
1995-06-27,31.435
1995-06-28,28.2945
1995-06-29,25.4742
1995-06-30,22.9283
1995-07-18,47.8842
1995-07-19,43.0973
1995-07-20,38.7983
1995-07-21,34.9261
1995-07-24,31.435
1995-07-25,28.2945
1995-07-26,28.2945
1995-07-31,28.2945
1995-09-27,29.2702
1995-10-24,29.7276
1995-11-13,26.831
1996-01-25,24.1479
1996-01-26,21.7392
1996-01-29,19.5745
1996-01-30,19.0561
1996-02-27,19.6659
1996-03-18,21.3429
1996-04-15,22.1051
1996-05-13,22.8674
1996-06-14,23.7516
1996-07-15,24.6967
1996-08-30,25.6114
1996-09-30,26.5261
1996-11-05,26.831
1996-12-11,27.8982
1996-12-24,28.9653
1997-01-21,30.0325
1997-03-21,32.3192
1997-04-22,33.5388
1997-05-23,34.7584
1997-06-20,36.1304
1997-07-21,37.5025
1997-07-29,33.7522
1997-07-30,30.3831
1997-07-31,30.6423
1997-09-01,31.5569
1997-10-08,32.7765
1997-10-28,36.0542
1997-10-29,39.652
1997-11-21,36.0542
1997-11-24,39.6367
1997-12-16,43.448
1998-01-16,44.9725
1998-02-16,46.497
1998-03-12,48.3263
1998-04-22,52.5949
1998-05-18,54.5767
1998-06-15,60.0344
1998-06-22,59.76
1998-07-20,65.736
1998-07-21,67.23
1998-08-05,66.7727
1998-09-07,65.4006
1998-10-06,58.8606
1998-10-07,57.4733
1998-12-08,53.037
1999-01-05,50.9
1999-02-08,48.99
1999-03-09,44.1
1999-03-10,39.69
1999-03-11,35.73
1999-03-12,32.16
1999-03-15,32.16
1999-03-17,28.95
1999-03-18,26.06
1999-03-19,26.06
1999-04-20,27.0
1999-05-18,28.0
1999-06-17,22.68
1999-06-18,20.42
1999-06-21,20.42
1999-06-22,18.38
1999-06-23,16.55
1999-06-24,14.9
1999-06-25,14.9
1999-06-28,13.42
1999-07-06,14.76
1999-07-08,12.08
1999-07-09,13.42
1999-07-12,14.76
1999-07-13,16.23
1999-07-15,17.85
1999-07-16,19.63
1999-07-20,21.59
1999-07-21,23.74
1999-07-22,26.11
1999-07-23,28.72
1999-07-26,13.42
1999-07-27,14.0
1999-09-07,14.6
1999-10-12,15.0
1999-11-12,15.75
1999-12-17,16.36
2000-01-20,17.0
2000-02-22,17.65
2000-02-28,19.41
2000-03-30,18.35
2000-05-17,19.25
2000-06-19,20.0
2000-07-21,20.8
2000-08-30,21.6
2000-10-02,22.41
2000-10-25,20.17
2000-10-26,22.41
2000-10-30,22.4
2000-11-07,22.4
2000-12-12,23.25
2001-01-24,24.15
2001-03-09,25.1
2001-04-09,26.1
2001-05-17,27.1
2001-06-21,28.0
2001-08-31,28.0
2001-10-02,28.0
2001-10-25,25.2
2001-10-26,22.68
2001-10-29,20.42
2001-10-30,18.38
2001-10-31,18.38
2001-11-01,28.0
2001-11-21,29.09
2001-12-28,29.09
2002-01-16,26.19
2002-01-17,23.58
2002-01-18,21.23
2002-01-21,19.11
2002-01-22,17.2
2002-01-23,15.48
2002-01-24,13.94
2002-01-25,13.25
2002-03-07,14.57
2002-03-08,16.02
2002-03-11,17.62
2002-03-12,19.38
2002-03-13,20.34
2002-04-05,22.37
2002-04-08,23.48
2002-05-16,24.65
2002-06-25,25.88
2002-07-31,27.17
2002-09-11,28.52
2002-10-03,26.95
2002-11-19,23.89
2002-12-23,23.89
2002-12-31,17.43
2003-01-31,19.17
2003-03-05,19.99
2003-03-28,20.8
2003-05-06,21.62
2003-06-06,23.78
2003-06-27,23.78
2003-07-31,25.0
2003-08-07,25.0
2003-09-25,27.0
2003-09-29,27.0
2003-10-17,28.0
2004-01-02,30.0
2004-02-04,33.0
2004-02-12,21.66
2004-02-20,31.5
2004-03-11,34.0
2004-05-13,36.85
2004-06-04,49.01
2004-06-23,19.01
2004-07-06,27.83
2004-07-28,27.83
2004-08-19,18.27
2004-09-02,16.45
2004-09-20,31.99
2004-10-11,38.37
2004-11-24,38.36
2004-12-09,18.38
2004-12-13,16.6
2004-12-22,18.26
2004-12-27,19.0
2004-12-31,19.0
2005-01-31,20.9
2005-03-11,21.95
2005-05-06,22.99
2005-05-20,22.98
2005-05-23,22.98
2005-07-19,22.98
2005-07-29,25.01
2005-10-05,25.01
2005-12-09,23.0
2005-12-13,20.7
2006-02-27,23.35
2006-03-02,29.01
2006-03-07,37.71
2006-03-14,35.0
2006-03-20,31.5
2006-04-04,38.11
2006-05-03,35.0
2006-05-17,74.85
2006-05-23,99.55
2006-05-30,144.9
2006-06-01,159.3
2006-06-02,175.1
2006-06-05,192.6
2006-06-07,211.8
2006-06-30,60.2
2006-07-24,66.2
2006-07-28,96.8
2006-08-01,117.0
2006-08-02,117.0
2006-08-03,127.9
2006-08-07,128.0
2006-08-23,71.0
2006-08-24,78.1
2006-08-29,77.3
2006-09-04,60.05
2006-09-06,72.6
2006-09-20,60.0
2006-09-26,60.0
2006-10-02,60.0
2006-10-04,60.0
2006-11-15,60.05
2006-11-16,66.0
2006-11-21,60.0
2006-11-22,66.0
2006-11-24,66.0
2006-12-13,65.05
2007-01-08,138.0
2007-01-31,75.0
2007-02-05,75.25
