,ETL FP Equity_DX_SI_QTY,ETL FP Equity_DX_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ETL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETL FP Equity_DX_SI_MV,ETL FP Equity_DX_DSS,ETL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY,ETL FP Equity_DX_BROKER_SI_QTY,ETL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETL FP Equity_DX_BROKER_SI_MV_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETL FP Equity_DX_BROKER_SI_MV_INC_x,ETL FP Equity_DX_SUPPLY_SI_MV_NEW,ETL FP Equity_DX_BROKER_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_NEW,ETL FP Equity_DX_SUPPLY_SI_MV_DEC,ETL FP Equity_DX_BROKER_SI_QTY_INC,ETL FP Equity_DX_SUPPLY_SI_QTY_DEC,ETL FP Equity_DX_BROKER_SI_MV_NEW_y,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ETL FP Equity_DX_BROKER_SI_MV_INC_y,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETL FP Equity_DX_BROKER_SI_MV_ADD,ETL FP Equity_DX_SUPPLY_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_DEC,ETL FP Equity_DX_SUPPLY_SI_MV,ETL FP Equity_DX_BROKER_SI_MV_DEC,ETL FP Equity_DX_SUPPLY_SI_MV_RMV,ETL FP Equity_DX_BROKER_SI_MV_RMV,ETL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETL FP Equity_DX_UTILIZATION_QUANTITY,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETL FP Equity_DX_ACTIVE_UTILIZATION_MV,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETL FP Equity_DX_BROKER_SI_CON_RATIO,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,844729.0,6272273.91,,0.98,0.39,10.25,0.0,6138464.55,94438.0,826708.0,701220.16,,,,0.0,,,,0.01,14.0,1106.0,,,0.0,,,,11000.0,1.15,0.13,,,5.72,5.72,1556715.0,11558905.73,,18.89,5.72,29.33,0.4418,58.87,0.5116
2006-01-11,938537.0,7423429.31,,0.94,0.44,11.55,0.0,7306549.51,95791.0,923760.0,757666.15,,,4410.0,1.28,,,,0.03,97053.0,3057.0,,,1.28,4410.0,,,,1.18,,,,5.26,5.26,1726063.0,13652425.71,,21.25,5.26,27.87,0.4638,61.51,0.5152
2006-01-18,861626.0,6867926.15,,1.38,0.4,10.58,0.0,6745883.85,98637.0,846315.0,786224.69,,,2847.0,0.06,,,,,5769.0,,,,0.06,2847.0,,,83215.0,1.21,1.07,,,5.37,5.37,1739650.0,13866558.95,,21.36,5.36,31.03,0.4317,57.06,0.4687
2006-01-25,325296.0,2562980.6,,0.65,0.15,4.39,0.0,2456512.78,84518.0,311783.0,665910.42,,,,,,,,0.07,,14119.0,,,,,,,534531.0,1.14,6.16,,,4.14,4.14,1957474.0,15422777.69,,26.32,4.15,23.06,0.5847,72.79,0.1593
2006-02-01,408912.0,3221784.23,,0.88,0.19,5.36,0.0,3111408.47,133348.0,394903.0,1050638.0,,,3829.0,0.04,,73000.0,,,10119.0,,,,0.04,3829.0,0.94,45000.0,,1.74,,,,6.6,6.6,1886656.0,14864808.46,,24.69,6.58,18.66,0.4308,60.32,0.2024
2006-02-08,546486.0,4215248.19,,1.41,0.25,6.75,0.0,4042777.26,143581.0,524126.0,1107493.24,,,10233.0,,,274196.0,,,,,,,,10233.0,3.3,,144973.0,1.79,1.97,,,6.91,6.91,1934463.0,14921226.99,,23.95,6.94,18.96,0.3244,49.64,0.263
2006-02-15,579926.0,4537187.46,,1.43,0.27,7.34,0.0,4362178.33,143671.0,557557.0,1124043.86,0.68,,90.0,0.8,,,53000.0,,53432.0,,0.68,,0.8,90.0,,,,1.83,,,0.92,7.45,7.45,1784591.0,13962167.42,,22.6,7.48,17.86,0.3782,56.35,0.3008
2006-02-22,930391.0,7273428.17,,2.25,0.43,11.83,0.0,7185753.74,131576.0,919176.0,1028609.03,,,,4.65,,,,0.15,362635.0,12095.0,,,4.65,,,,1017.0,1.68,0.01,,,8.15,8.15,1482478.0,11589425.57,,18.86,8.16,10.95,0.5757,74.37,0.5764
2006-03-01,515411.0,4003997.21,,1.2,0.24,6.5,0.0,3589273.06,128856.0,462026.0,1001024.55,,,111.0,0.0,,,,0.68,161.0,53147.0,,,0.0,111.0,,50316.0,457311.0,1.63,5.84,,,8.22,8.18,1439264.0,11180997.39,,0.0,0.0,19.63,0.3703,54.64,0.3272
2006-03-08,491858.0,3754676.8,,1.19,0.23,6.18,0.0,3350726.41,127439.0,438941.0,972826.01,,,10.0,,,,,0.03,,1428.0,,,,10.0,,,23084.0,1.6,0.3,,,8.46,8.46,1378181.0,10520565.35,,17.31,8.46,20.37,0.3574,52.94,0.3267
2006-03-15,437563.0,3399230.97,,1.05,0.2,5.49,0.0,2984460.2,128659.0,384172.0,999494.15,,,746.0,0.01,,282.0,,0.63,1092.0,49907.0,,,0.01,746.0,0.0,50381.0,56143.0,1.62,0.72,,,9.26,9.26,1261414.0,9799360.4,,15.84,9.26,23.15,0.3157,46.49,0.3148
2006-03-22,363675.0,2744953.36,,0.84,0.17,4.47,0.0,2337982.46,53919.0,309756.0,406970.89,,,528.0,0.0,,,,0.94,866.0,75268.0,,,0.0,528.0,,,75282.0,0.66,1.0,,,4.07,4.07,1269759.0,9583912.09,,15.62,4.07,28.09,0.4244,57.09,0.2747
2006-03-29,157802.0,1170742.39,,0.37,0.07,2.01,0.0,794492.22,50714.0,107088.0,376250.17,,,,,,,,0.02,,3204.0,,,,,,,202668.0,0.65,2.44,,,4.07,4.07,1195263.0,8867727.01,,15.24,4.07,30.3,0.5527,67.86,0.1266
2006-04-05,517924.0,3960007.04,,1.17,0.24,6.39,0.0,3557013.38,52707.0,465217.0,402993.67,,,1992.0,4.38,,,,,358129.0,,,,4.38,1992.0,,,,0.65,,,,4.14,4.12,1220460.0,9331543.23,,0.0,0.0,9.61,0.8161,89.82,0.4046
2006-04-12,548870.0,4206713.89,,0.94,0.25,6.77,0.0,3788648.37,54547.0,494323.0,418065.52,,,1840.0,0.36,,,,,29106.0,,,,0.36,1840.0,,,,0.67,,,,4.03,3.92,1299610.0,9960623.53,,0.0,0.0,9.36,0.8199,90.06,0.394
2006-04-19,548213.0,4265543.95,,0.94,0.25,6.76,0.0,3846235.82,53890.0,494323.0,419308.12,,,,,,,,0.01,,657.0,,,,,,,,0.66,,,,4.01,3.88,1290297.0,10039562.28,,0.0,0.0,9.28,0.8217,90.17,0.3945
2006-04-26,832099.0,6607059.79,0.66,1.28,0.39,10.59,0.0,6106039.04,63099.0,769000.0,501020.75,,,9798.0,3.69,,,,0.0,274677.0,588.0,,,3.69,9798.0,,,,0.8,,,,4.11,4.11,1472856.0,11694819.56,,18.79,4.1,6.04,0.858,92.42,0.5417
2006-05-03,833756.0,6538422.57,0.66,1.22,0.39,10.61,0.0,6030597.63,64756.0,769000.0,507824.94,,,1657.0,,,,,,,,,,,1657.0,,,,0.82,,,,2.66,2.66,2369199.0,18579565.52,,30.35,2.64,6.18,0.8548,92.23,0.3426
2006-05-10,122950.0,968713.0,0.1,0.18,0.06,1.54,0.0,456977.26,64950.0,58000.0,511735.74,,,292.0,,,,,0.0,,98.0,,,,292.0,,,711000.0,0.81,9.07,,,2.34,2.34,2713235.0,21377356.85,,34.39,2.31,42.12,0.4114,47.17,0.0443
2006-05-17,482388.0,3507879.39,0.38,0.67,0.22,6.2,0.0,3076015.54,59388.0,423000.0,431863.86,,,,4.71,,,,0.05,365000.0,5562.0,,,4.71,,,,,0.76,,,,2.25,2.25,2583121.0,18784208.83,,32.03,2.33,9.76,0.7791,87.69,0.1825
2006-05-24,281205.0,1927650.57,0.22,0.43,0.13,3.14,0.0,1500538.23,62307.0,218898.0,427112.33,,,2919.0,,,,,,,,,,,2919.0,,,204102.0,0.7,2.99,,,4.2,2.03,1420337.0,9736361.11,,0.0,0.0,17.73,0.6393,77.84,0.0914
2006-05-31,421143.0,3108991.55,0.33,0.69,0.2,4.82,0.0,2627431.28,65232.0,355911.0,481560.27,,,2925.0,0.21,,119609.0,,,17404.0,,,,0.21,2925.0,1.42,,,0.75,,,,1.82,1.82,3511509.0,25922909.36,,41.12,1.78,29.44,0.4061,55.07,0.1177
2006-06-07,4094889.0,30380224.08,3.23,7.0,1.9,48.96,1.0,27859494.83,339764.0,3755125.0,2520729.24,,,,35.16,,470927.0,,0.0,2928287.0,2721.0,,,35.16,,5.63,277252.0,,4.09,,,,9.6,9.6,3200889.0,23747585.12,,38.46,9.61,11.5,0.6109,77.03,1.1565
2006-06-14,2658714.0,19007878.25,2.1,4.31,1.23,31.61,1.0,16798873.73,308983.0,2349731.0,2209004.52,,,76.0,,,,,0.73,,60856.0,,,,76.0,,30000.0,1405394.0,3.62,16.87,,,8.61,8.61,3281713.0,23461869.59,,38.65,8.57,6.18,0.6697,81.29,0.7404
2006-06-21,1173187.0,8660783.8,0.93,1.75,0.54,13.86,0.0,6061508.5,352098.0,821090.0,2599282.68,,,2333.0,,,15375.0,,,,,,,,2333.0,0.18,40781.0,1544016.0,4.22,18.53,,,7.65,7.65,4252406.0,31392411.44,,50.78,7.67,14.55,0.4196,61.67,0.2548
2006-06-28,1035732.0,7588898.92,0.82,1.67,0.48,12.31,0.0,5226711.88,448848.0,713341.0,3288748.54,,,92102.0,,,104377.0,,0.0,,151.0,,,,92102.0,1.24,4800.0,212125.0,5.36,2.42,,,8.83,8.83,4632268.0,33941032.65,,55.26,8.84,16.37,0.3808,57.16,0.2038
2006-07-03,1193812.0,8856961.95,0.94,2.01,0.55,14.24,0.0,7104038.57,267876.0,957539.0,1987387.91,,,,2.1,,72000.0,,1.03,172198.0,86118.0,,,2.1,,0.88,,,3.17,,1.13,,5.26,5.26,4822193.0,35776135.54,94854.0,57.92,5.2,11.1,0.4149,61.77,0.2345
2006-07-04,1108988.0,8261646.21,0.88,1.99,0.51,13.27,0.0,7152837.86,180442.0,960149.0,1344241.75,,,35.0,0.04,,,,0.99,2799.0,87469.0,,,0.04,35.0,,,189.0,2.19,0.0,,,3.61,3.61,4818941.0,35899744.33,,58.02,3.64,12.21,0.4726,66.26,0.2218
