,SK FP Equity_DX_SI_QTY,SK FP Equity_DX_SHORT_INTEREST_VALUE,SK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SK FP Equity_DX_SI_MV,SK FP Equity_DX_DSS,SK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY,SK FP Equity_DX_BROKER_SI_QTY,SK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SK FP Equity_DX_BROKER_SI_MV_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_INC_x,SK FP Equity_DX_BROKER_SI_MV_INC_x,SK FP Equity_DX_SUPPLY_SI_MV_NEW,SK FP Equity_DX_BROKER_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_NEW,SK FP Equity_DX_SUPPLY_SI_MV_DEC,SK FP Equity_DX_BROKER_SI_QTY_INC,SK FP Equity_DX_SUPPLY_SI_QTY_DEC,SK FP Equity_DX_BROKER_SI_MV_NEW_y,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SK FP Equity_DX_BROKER_SI_MV_INC_y,SK FP Equity_DX_SUPPLY_SI_QTY_INC_y,SK FP Equity_DX_BROKER_SI_MV_ADD,SK FP Equity_DX_SUPPLY_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_DEC,SK FP Equity_DX_SUPPLY_SI_MV,SK FP Equity_DX_BROKER_SI_MV_DEC,SK FP Equity_DX_SUPPLY_SI_MV_RMV,SK FP Equity_DX_BROKER_SI_MV_RMV,SK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SK FP Equity_DX_UTILIZATION_QUANTITY,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SK FP Equity_DX_ACTIVE_UTILIZATION_MV,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SK FP Equity_DX_BROKER_SI_CON_RATIO,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SK FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,374875.0,27003576.86,2.31,20.56,2.2,34.03,1.0,21299960.41,129658.0,295695.0,9339725.96,,,,0.2,,1013.0,,0.02,2161.0,235.0,,,0.2,,0.09,,4.0,11.88,0.0,,,34.57,34.57,245367.0,17674655.93,,22.52,34.54,17.02,0.4146,60.36,0.9996
2006-01-11,370711.0,28258341.8,2.29,17.68,2.17,34.23,1.0,22101148.46,132461.0,289937.0,10097159.82,,,2803.0,0.19,,,,,673.0,,,,0.19,2803.0,,,6432.0,12.62,0.37,,,35.01,35.01,245851.0,18740586.57,,23.64,34.81,17.47,0.4015,58.96,0.9799
2006-01-18,273005.0,19453492.01,1.68,11.46,1.59,24.97,1.0,17424237.8,61290.0,244527.0,4367335.86,,,16.0,,,,,6.88,,71187.0,,,,16.0,,,45410.0,5.59,4.24,,,16.27,16.27,315341.0,22470224.44,,28.76,16.28,15.29,0.5805,74.3,0.7249
2006-01-25,72213.0,4983032.47,0.44,2.78,0.42,6.51,0.0,3017918.17,58857.0,43735.0,4061406.42,,,,,,3237.0,,0.22,,2434.0,,,,,0.29,,204029.0,5.3,18.72,,,15.27,15.27,326662.0,22541195.51,,29.56,15.21,25.15,0.3899,56.06,0.1873
2006-02-01,70850.0,4869720.35,0.44,2.06,0.41,6.29,0.0,3129130.4,55628.0,45526.0,3823469.35,,,,0.11,,,,0.36,1875.0,3229.0,,,0.11,,,,83.0,4.94,0.01,,,17.28,17.28,266242.0,18299563.67,,23.57,17.32,21.0,0.4147,59.81,0.2201
2006-02-08,233436.0,16008455.51,1.43,6.59,1.36,20.83,1.0,12900249.25,75614.0,188112.0,5185418.51,,,,0.23,,143170.0,,0.0,2387.0,14.0,,,0.23,,12.83,20000.0,2971.0,6.66,0.26,,,23.49,23.49,246348.0,16893928.09,,21.75,23.46,19.15,0.4327,61.6,0.725
2006-02-15,235263.0,16380412.02,1.46,6.66,1.39,21.05,1.0,13224685.05,75626.0,189939.0,5265532.79,,,11.0,0.05,,5501.0,,,326.0,,,,0.05,11.0,0.49,,4000.0,6.78,0.39,,,23.43,23.43,247140.0,17207359.54,,22.04,23.53,19.17,0.4034,59.11,0.7289
2006-02-22,236316.0,16875853.92,1.47,7.91,1.39,21.24,1.0,13639165.75,73745.0,190992.0,5266295.33,,,,0.12,,,,0.17,1053.0,1881.0,,,0.12,,,,,6.73,,,,22.94,22.94,247752.0,17692524.25,,22.5,23.02,19.42,0.3996,58.68,0.735
2006-03-01,256888.0,18105534.41,1.59,9.96,1.51,23.07,1.0,14911086.86,73745.0,211564.0,5197567.17,,,,1.92,,,,,20969.0,,,,1.92,,,,397.0,6.66,0.04,,,20.71,20.71,282325.0,19898340.92,,25.46,20.72,17.71,0.4346,62.34,0.7215
2006-03-08,289217.0,19642851.24,1.8,11.82,1.7,25.88,1.0,16564565.42,73745.0,243893.0,5008564.73,,,,2.26,,7018.0,,,25327.0,,,,2.26,,0.63,,16.0,6.52,0.0,,,21.69,21.69,266237.0,18082110.62,,23.72,21.56,15.73,0.4509,64.37,0.8507
2006-03-15,290783.0,20167003.27,1.8,15.66,1.71,26.02,1.0,17023596.48,73745.0,245459.0,5114520.64,,,,0.17,,,,,1946.0,,,,0.17,,,,380.0,6.53,0.03,,,21.08,21.08,276079.0,19147220.08,,24.52,21.03,15.54,0.4502,64.36,0.8312
2006-03-22,344932.0,24726126.37,2.14,18.99,2.03,30.95,1.0,21477118.01,73745.0,299608.0,5286341.04,,,,4.86,,,,,54167.0,,,,4.86,,,,18.0,6.66,0.0,,,20.67,20.67,282944.0,20282574.83,,25.33,20.81,13.33,0.5098,69.53,0.967
2006-03-29,344541.0,23761550.31,2.14,16.59,2.03,30.9,1.0,20713744.12,72614.0,300348.0,5007883.57,,,,0.32,,,,0.11,3704.0,1131.0,,,0.32,,,,2963.0,6.46,0.23,,,20.19,20.19,287033.0,19795464.32,,25.7,20.09,14.3,0.5036,68.92,0.958
2006-04-05,349239.0,24600895.72,2.17,15.15,2.06,31.33,1.0,19943589.91,94538.0,283123.0,6659392.22,,,,,,,,,,,,,,,,21924.0,17226.0,8.5,1.58,,,26.2,26.2,266285.0,18757497.06,,23.96,26.18,14.17,0.5047,68.97,0.9679
2006-04-12,347913.0,24750673.85,2.16,14.49,2.05,31.29,1.0,20066575.76,94264.0,282070.0,6705979.71,,,36.0,0.1,,,,0.01,1405.0,310.0,,,0.1,36.0,,,2458.0,8.61,0.2,,,56.04,25.64,73939.0,5260050.86,,0.0,129.81,13.51,0.5093,69.4,0.9462
2006-04-19,351169.0,25800504.86,2.18,15.88,2.07,31.7,1.0,20935960.36,94632.0,284958.0,6952644.95,,,368.0,0.15,,1526.0,,,1404.0,,,,0.15,368.0,0.14,,42.0,8.79,0.0,,,55.51,25.58,75835.0,5571623.02,,0.0,129.87,13.61,0.501,68.77,0.9493
