,LCEZ FP Equity_PX_LAST
2021-10-12,9.801
2021-10-13,9.9
2021-10-14,10.026
2021-10-15,10.072
2021-10-18,9.99
2021-10-19,10.016
2021-10-20,10.066
2021-10-21,10.048
2021-10-22,10.136
2021-10-25,10.12
2021-10-26,10.214
2021-10-27,10.208
2021-10-28,10.292
2021-10-29,10.3
2021-11-01,10.362
2021-11-02,10.402
2021-11-03,10.45
2021-11-04,10.49
2021-11-05,10.508
2021-11-08,10.52
2021-11-09,10.514
2021-11-10,10.518
2021-11-11,10.538
2021-11-12,10.578
2021-11-15,10.578
2021-11-16,10.614
2021-11-17,10.606
2021-11-18,10.566
2021-11-19,10.546
2021-11-22,10.516
2021-11-23,10.392
2021-11-24,10.378
2021-11-25,10.438
2021-11-26,10.052
2021-11-29,10.086
2021-11-30,9.98
2021-12-01,10.194
2021-12-02,10.03
2021-12-03,9.991
2021-12-06,10.148
2021-12-07,10.416
2021-12-08,10.304
2021-12-09,10.294
2021-12-10,10.266
2021-12-13,10.254
2021-12-14,10.15
2021-12-15,10.19
2021-12-16,10.278
2021-12-17,10.208
2021-12-20,10.1
2021-12-21,10.232
2021-12-22,10.32
2021-12-23,10.418
2021-12-24,10.406
2021-12-27,10.474
2021-12-28,10.53
2021-12-29,10.504
2021-12-30,10.528
2021-12-31,10.488
2022-01-03,10.59
2022-01-04,10.668
2022-01-05,10.692
2022-01-06,10.482
2022-01-07,10.458
2022-01-10,10.296
2022-01-11,10.402
2022-01-12,10.412
2022-01-13,10.38
2022-01-14,10.298
2022-01-17,10.348
2022-01-18,10.206
2022-01-19,10.262
2022-01-20,10.322
2022-01-21,10.124
2022-01-24,9.785
2022-01-25,9.86
2022-01-26,10.018
2022-01-27,10.046
2022-01-28,9.939
2022-01-31,10.058
2022-02-01,10.152
2022-02-02,10.18
2022-02-03,9.997
2022-02-04,9.869
2022-02-07,9.935
2022-02-08,9.953
2022-02-09,10.092
2022-02-10,10.06
2022-02-11,9.972
2022-02-14,9.752
2022-02-15,9.93
2022-02-16,9.91
2022-02-17,9.857
2022-02-18,9.777
2022-02-21,9.586
2022-02-22,9.557
2022-02-23,9.531
2022-02-24,9.193
2022-02-25,9.535
2022-02-28,9.426
2022-03-01,9.133
2022-03-02,9.21
2022-03-03,9.05
2022-03-04,8.641
2022-03-07,8.512
2022-03-08,8.483
2022-03-09,9.044
2022-03-10,8.857
2022-03-11,8.953
2022-03-14,9.088
2022-03-15,9.066
2022-03-16,9.405
2022-03-17,9.423
2022-03-18,9.476
2022-03-21,9.396
2022-03-22,9.501
2022-03-23,9.351
2022-03-24,9.309
2022-03-25,9.318
2022-03-28,9.386
2022-03-29,9.664
2022-03-30,9.574
2022-03-31,9.449
2022-04-01,9.494
2022-04-04,9.565
2022-04-05,9.533
2022-04-06,9.325
2022-04-07,9.287
2022-04-08,9.408
2022-04-11,9.334
2022-04-12,9.292
2022-04-13,9.281
2022-04-14,9.381
2022-04-19,9.297
2022-04-20,9.43
2022-04-21,9.535
2022-04-22,9.341
2022-04-25,9.21
2022-04-26,9.113
2022-04-27,9.174
2022-04-28,9.221
2022-04-29,9.349
2022-05-02,9.14
2022-05-03,9.2
2022-05-04,9.115
2022-05-05,9.041
2022-05-06,8.875
2022-05-09,8.654
2022-05-10,8.731
2022-05-11,8.91
2022-05-12,8.86
2022-05-13,9.064
2022-05-16,9.035
2022-05-17,9.156
2022-05-18,9.051
2022-05-19,8.912
2022-05-20,8.956
2022-05-23,9.098
2022-05-24,8.963
2022-05-25,8.988
2022-05-26,9.121
2022-05-27,9.246
2022-05-30,9.322
2022-05-31,9.231
2022-06-01,9.151
2022-06-02,9.249
2022-06-03,9.231
2022-06-06,9.337
2022-06-07,9.272
2022-06-08,9.203
2022-06-09,9.079
2022-06-10,8.836
2022-06-13,8.595
2022-06-14,8.484
2022-06-15,8.624
2022-06-16,8.385
2022-06-17,8.442
2022-06-20,8.522
2022-06-21,8.56
2022-06-22,8.51
2022-06-23,8.45
2022-06-24,8.677
2022-06-27,8.688
2022-06-28,8.712
2022-06-29,8.613
2022-06-30,8.466
2022-07-01,8.483
2022-07-04,8.474
2022-07-05,8.322
2022-07-06,8.494
2022-07-07,8.63
2022-07-08,8.704
2022-07-11,8.635
2022-07-12,8.677
2022-07-13,8.615
2022-07-14,8.496
2022-07-15,8.661
2022-07-18,8.732
2022-07-19,8.899
2022-07-20,8.865
2022-07-21,8.921
2022-07-22,8.936
2022-07-25,8.935
2022-07-26,8.899
2022-07-27,8.963
2022-07-28,9.072
2022-07-29,9.216
2022-08-01,9.194
2022-08-02,9.144
2022-08-03,9.246
2022-08-04,9.314
2022-08-05,9.24
2022-08-08,9.313
2022-08-09,9.218
2022-08-10,9.302
2022-08-11,9.279
2022-08-12,9.295
2022-08-15,9.325
2022-08-16,9.362
2022-08-17,9.219
2022-08-18,9.255
2022-08-19,9.173
2022-08-22,8.991
2022-08-23,8.934
2022-08-24,8.992
2022-08-25,8.982
2022-08-26,8.816
2022-08-29,8.714
2022-08-30,8.726
2022-08-31,8.645
2022-09-01,8.501
2022-09-02,8.686
2022-09-05,8.562
2022-09-06,8.617
2022-09-07,8.64
2022-09-08,8.677
2022-09-09,8.827
2022-09-12,8.98
2022-09-13,8.838
2022-09-14,8.765
2022-09-15,8.701
2022-09-16,8.619
2022-09-19,8.57
2022-09-20,8.474
2022-09-21,8.556
2022-09-22,8.366
2022-09-23,8.159
2022-09-26,8.14
2022-09-27,8.141
2022-09-28,8.157
2022-09-29,8.036
2022-09-30,8.191
2022-10-03,8.173
2022-10-04,8.559
2022-10-05,8.388
2022-10-06,8.359
2022-10-07,8.215
2022-10-10,8.187
2022-10-11,8.18
2022-10-12,8.152
2022-10-13,8.216
2022-10-14,8.268
2022-10-17,8.404
2022-10-18,8.462
2022-10-19,8.419
2022-10-20,8.448
2022-10-21,8.405
2022-10-24,8.506
2022-10-25,8.721
2022-10-26,8.703
2022-10-27,8.658
2022-10-28,8.677
2022-10-31,8.67
2022-11-01,8.703
2022-11-02,8.63
2022-11-03,8.551
2022-11-04,8.779
2022-11-07,8.81
2022-11-08,8.928
2022-11-09,8.902
2022-11-10,9.2
2022-11-11,9.243
2022-11-14,9.269
2022-11-15,9.295
2022-11-16,9.2
2022-11-17,9.162
2022-11-18,9.249
2022-11-21,9.26
2022-11-22,9.288
2022-11-23,9.321
2022-11-24,9.383
2022-11-25,9.372
2022-11-28,9.341
2022-11-29,9.313
2022-11-30,9.309
2022-12-01,9.376
2022-12-02,9.39
2022-12-05,9.4
2022-12-06,9.373
2022-12-07,9.285
2022-12-08,9.301
2022-12-09,9.29
2022-12-12,9.28
2022-12-13,9.293
2022-12-14,9.395
2022-12-15,9.2
2022-12-16,9.133
2022-12-19,9.078
2022-12-20,8.954
2022-12-21,9.058
2022-12-22,9.2
2022-12-23,9.111
2022-12-27,9.13
2022-12-28,9.137
2022-12-29,9.042
2022-12-30,9.105
2023-01-02,9.125
2023-01-03,9.253
2023-01-04,9.293
2023-01-05,9.392
2023-01-06,9.397
2023-01-09,9.56
2023-01-10,9.576
2023-01-11,9.65
2023-01-12,9.7
2023-01-13,9.782
2023-01-16,9.811
2023-01-17,9.831
2023-01-18,9.883
2023-01-19,9.7
2023-01-20,9.733
2023-01-23,9.766
2023-01-24,9.827
2023-01-25,9.752
2023-01-26,9.859
2023-01-27,9.832
2023-01-30,9.878
2023-01-31,9.866
2023-02-01,9.872
2023-02-02,9.992
2023-02-03,10.028
2023-02-06,10.052
2023-02-07,10.024
2023-02-08,10.106
2023-02-09,10.144
2023-02-10,9.945
2023-02-13,10.012
2023-02-14,10.132
2023-02-15,10.16
2023-02-16,10.19
2023-02-17,10.05
2023-02-20,10.1
2023-02-21,10.062
2023-02-22,10.046
2023-02-23,10.082
2023-02-24,10.058
2023-02-27,10.016
2023-02-28,10.042
2023-03-01,10.078
2023-03-02,10.06
2023-03-03,10.162
2023-03-06,10.202
2023-03-07,10.18
2023-03-08,10.14
2023-03-09,10.152
2023-03-10,10.006
2023-03-13,9.997
2023-03-14,9.783
2023-03-15,9.893
2023-03-16,9.794
2023-03-17,9.876
2023-03-20,9.729
2023-03-21,9.855
2023-03-22,9.907
2023-03-23,9.907
2023-03-24,9.929
2023-03-27,9.929
2023-03-28,9.956
2023-03-29,10.0
2023-03-30,10.2
2023-03-31,10.176
2023-04-03,10.238
2023-04-04,10.282
2023-04-05,10.216
2023-04-06,10.21
2023-04-11,10.29
2023-04-12,10.25
2023-04-13,10.278
2023-04-14,10.378
2023-04-17,10.378
2023-04-18,10.408
2023-04-19,10.352
2023-04-20,10.35
2023-04-21,10.328
2023-04-24,10.396
2023-04-25,10.344
2023-04-26,10.25
2023-04-27,10.282
2023-04-28,10.374
2023-05-02,10.324
2023-05-03,10.276
2023-05-04,10.198
2023-05-05,10.256
2023-05-08,10.384
2023-05-09,10.316
2023-05-10,10.348
2023-05-11,10.276
2023-05-12,10.336
2023-05-15,10.338
2023-05-16,10.342
2023-05-17,10.322
2023-05-18,10.45
2023-05-19,10.522
2023-05-22,10.504
2023-05-23,10.42
2023-05-24,10.228
2023-05-25,10.268
2023-05-26,10.42
2023-05-29,10.38
2023-05-30,10.316
2023-05-31,10.178
2023-06-01,10.266
2023-06-02,10.42
2023-06-05,10.354
2023-06-06,10.37
2023-06-07,10.36
2023-06-08,10.364
2023-06-09,10.334
2023-06-12,10.396
2023-06-13,10.46
2023-06-14,10.516
2023-06-15,10.47
2023-06-16,10.55
2023-06-19,10.466
2023-06-20,10.4
2023-06-21,10.33
2023-06-22,10.294
2023-06-23,10.234
2023-06-26,10.292
2023-06-27,10.3
2023-06-28,10.412
2023-06-29,10.444
2023-06-30,10.56
2023-07-03,10.538
2023-07-04,10.562
2023-07-05,10.466
2023-07-06,10.2
2023-07-07,10.234
2023-07-10,10.262
2023-07-11,10.338
2023-07-12,10.52
2023-07-13,10.596
2023-07-14,10.634
2023-07-17,10.536
2023-07-18,10.586
2023-07-19,10.556
2023-07-20,10.536
2023-07-21,10.568
2023-07-24,10.526
2023-07-25,10.576
2023-07-26,10.494
2023-07-27,10.706
2023-07-28,10.708
2023-07-31,10.698
2023-08-01,10.574
2023-08-02,10.418
2023-08-03,10.318
2023-08-04,10.384
2023-08-07,10.39
2023-08-08,10.294
2023-08-09,10.348
2023-08-10,10.506
2023-08-11,10.362
2023-08-14,10.376
2023-08-15,10.28
2023-08-16,10.27
2023-08-17,10.16
2023-08-18,10.13
2023-08-21,10.146
2023-08-22,10.234
2023-08-23,10.27
2023-08-24,10.188
2023-08-25,10.174
2023-08-28,10.326
2023-08-29,10.418
2023-08-30,10.406
2023-08-31,10.37
2023-09-01,10.322
2023-09-04,10.298
2023-09-05,10.276
2023-09-06,10.188
2023-09-07,10.126
2023-09-08,10.164
2023-09-11,10.188
2023-09-12,10.152
2023-09-13,10.124
2023-09-14,10.252
2023-09-15,10.254
2023-09-18,10.122
2023-09-19,10.108
2023-09-20,10.232
2023-09-21,10.12
2023-09-22,10.086
2023-09-25,10.01
2023-09-26,9.897
2023-09-27,9.845
2023-09-28,9.905
2023-09-29,10.01
2023-10-02,9.894
2023-10-03,9.784
2023-10-04,9.799
2023-10-05,9.795
2023-10-06,9.854
2023-10-09,9.764
2023-10-10,9.982
2023-10-11,9.953
2023-10-12,9.957
2023-10-13,9.788
2023-10-16,9.816
2023-10-17,9.807
2023-10-18,9.708
2023-10-19,9.669
2023-10-20,9.527
2023-10-23,9.546
2023-10-24,9.594
2023-10-25,9.603
2023-10-26,9.565
2023-10-27,9.461
2023-10-30,9.488
2023-10-31,9.572
2023-11-01,9.644
2023-11-02,9.834
2023-11-03,9.894
2023-11-06,9.826
2023-11-07,9.844
2023-11-08,9.9
2023-11-09,10.02
2023-11-10,9.908
2023-11-13,9.957
2023-11-14,10.144
2023-11-15,10.18
2023-11-16,10.152
2023-11-17,10.214
2023-11-20,10.242
2023-11-21,10.204
2023-11-22,10.28
2023-11-23,10.284
2023-11-24,10.308
2023-11-27,10.286
2023-11-28,10.25
2023-11-29,10.336
2023-11-30,10.37
2023-12-01,10.446
2023-12-04,10.44
2023-12-05,10.514
2023-12-06,10.6
2023-12-07,10.56
2023-12-08,10.66
2023-12-11,10.69
2023-12-12,10.678
2023-12-13,10.674
2023-12-14,10.77
2023-12-15,10.796
2023-12-18,10.722
2023-12-19,10.77
2023-12-20,10.838
2023-12-21,10.768
2023-12-22,10.796
2023-12-27,10.854
2023-12-28,10.794
2023-12-29,10.796
2024-01-02,10.728
2024-01-03,10.392
2024-01-04,10.684
2024-01-05,10.662
2024-01-08,10.72
2024-01-09,10.696
2024-01-10,10.702
2024-01-11,10.634
2024-01-12,10.7
2024-01-15,10.67
2024-01-16,10.638
2024-01-17,10.534
2024-01-18,10.642
2024-01-19,10.63
2024-01-22,10.726
2024-01-23,10.708
2024-01-24,10.928
2024-01-25,10.998
2024-01-26,11.136
2024-01-29,11.128
2024-01-30,11.166
2024-01-31,11.152
2024-02-01,11.082
2024-02-02,11.132
2024-02-05,11.146
2024-02-06,11.212
2024-02-07,11.206
2024-02-08,11.284
2024-02-09,11.298
2024-02-12,11.364
2024-02-13,11.216
2024-02-14,11.262
2024-02-15,11.332
2024-02-16,11.394
2024-02-19,11.384
2024-02-20,11.342
2024-02-21,11.35
2024-02-22,11.536
2024-02-23,11.554
2024-02-26,11.536
2024-02-27,11.574
2024-02-28,11.514
2024-02-29,11.516
2024-03-01,11.568
2024-03-04,11.608
2024-03-05,11.56
2024-03-06,11.614
2024-03-07,11.78
2024-03-08,11.74
2024-03-11,11.62
2024-03-12,11.72
2024-03-13,11.75
2024-03-14,11.738
2024-03-15,11.718
2024-03-18,11.682
2024-03-19,11.744
2024-03-20,11.712
2024-03-21,11.87
2024-03-22,11.848
2024-03-25,11.848
2024-03-26,11.882
2024-03-27,11.894
2024-03-28,11.922
2024-04-02,11.836
2024-04-03,11.86
2024-04-04,11.874
2024-04-05,11.72
2024-04-08,11.774
2024-04-09,11.668
2024-04-10,11.68
2024-04-11,11.636
2024-04-12,11.6
2024-04-15,11.644
2024-04-16,11.52
2024-04-17,11.514
2024-04-18,11.554
2024-04-19,11.52
2024-04-22,11.56
2024-04-23,11.75
2024-04-24,11.75
2024-04-25,11.702
2024-04-26,11.89
2024-04-29,11.87
2024-04-30,11.772
2024-05-02,11.754
2024-05-03,11.822
2024-05-06,11.894
2024-05-07,12.008
2024-05-08,12.094
2024-05-09,12.144
2024-05-10,12.234
2024-05-13,12.242
2024-05-14,12.248
2024-05-15,12.32
2024-05-16,12.334
2024-05-17,12.304
2024-05-20,12.332
2024-05-21,12.302
2024-05-22,12.256
2024-05-23,12.31
2024-05-24,12.306
2024-05-27,12.336
2024-05-28,12.286
2024-05-29,12.136
2024-05-30,12.178
2024-05-31,12.16
2024-06-03,12.25
2024-06-04,12.164
2024-06-05,12.35
2024-06-06,12.438
2024-06-07,12.402
2024-06-10,12.306
2024-06-11,12.19
