,ECRP FP Equity_DX_SI_QTY,ECRP FP Equity_DX_SHORT_INTEREST_VALUE,ECRP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECRP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECRP FP Equity_DX_SI_MV,ECRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECRP FP Equity_DX_SUPPLY_SI_QTY,ECRP FP Equity_DX_BROKER_SI_QTY,ECRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECRP FP Equity_DX_BROKER_SI_MV_NEW_x,ECRP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECRP FP Equity_DX_BROKER_SI_MV_INC_x,ECRP FP Equity_DX_BROKER_SI_QTY_ADD,ECRP FP Equity_DX_BROKER_SI_QTY_NEW,ECRP FP Equity_DX_SUPPLY_SI_MV_DEC,ECRP FP Equity_DX_BROKER_SI_QTY_INC,ECRP FP Equity_DX_SUPPLY_SI_QTY_DEC,ECRP FP Equity_DX_BROKER_SI_MV_NEW_y,ECRP FP Equity_DX_BROKER_SI_MV_INC_y,ECRP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECRP FP Equity_DX_BROKER_SI_MV_ADD,ECRP FP Equity_DX_SUPPLY_SI_QTY_ADD,ECRP FP Equity_DX_BROKER_SI_QTY_DEC,ECRP FP Equity_DX_SUPPLY_SI_MV,ECRP FP Equity_DX_BROKER_SI_MV_DEC,ECRP FP Equity_DX_SUPPLY_SI_MV_RMV,ECRP FP Equity_DX_BROKER_SI_MV_RMV,ECRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECRP FP Equity_DX_UTILIZATION_QUANTITY,ECRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECRP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ECRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECRP FP Equity_DX_ACTIVE_UTILIZATION_MV,ECRP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECRP FP Equity_DX_BROKER_SI_CON_RATIO,ECRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECRP FP Equity_DX_DEMAND_SUPPLY_RATIO,ECRP FP Equity_PX_LAST
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8327
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7372
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6923
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.708
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7239
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7416
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7307
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8177
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8665
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9611
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.935
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.053
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.023
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.993
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.003
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.971
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.99
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.024
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.124
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.155
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.11
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.266
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.364
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.436
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.435
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.368
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.225
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.198
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.106
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.148
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.228
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.109
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.009
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.851
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.914
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.911
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.935
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.948
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.973
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.922
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.006
