,MLALV FP Equity_PX_LAST
2017-09-14,1.75
2017-09-15,1.92
2017-09-18,1.85
2017-09-21,1.67
2017-09-22,1.67
2017-09-25,1.67
2017-09-26,1.67
2017-09-29,1.67
2017-10-31,0.31
2017-11-02,0.44
2017-11-03,0.52
2017-11-06,0.62
2017-11-07,0.74
2017-11-08,0.87
2017-11-09,0.87
2017-11-10,1.04
2017-11-13,1.25
2017-11-14,1.35
2017-11-15,1.48
2017-11-16,1.55
2017-11-17,1.59
2017-11-20,1.59
2017-11-21,1.55
2017-11-22,1.54
2017-11-23,1.54
2017-11-24,1.54
2017-11-27,1.54
2017-11-28,1.52
2017-11-29,1.52
2018-01-03,1.3174
2018-01-08,1.29
2018-01-09,1.24
2018-01-16,0.4806
2018-01-17,0.5814
2018-01-18,0.703
2018-01-19,0.7733
2018-01-22,0.845
2018-01-23,0.83
2018-01-24,0.83
2018-01-25,1.004
2018-01-26,1.09
2018-01-29,1.0782
2018-01-30,1.0776
2018-01-31,1.0774
2018-02-05,0.6
2018-02-06,0.61
2018-02-07,0.7381
2018-02-08,0.7307
2018-02-12,0.7957
2018-02-13,0.8752
2018-02-14,0.8699
2018-02-15,0.8699
2018-02-16,0.77
2018-02-19,0.7499
2018-02-20,0.675
2018-02-22,0.605
2018-02-23,0.6
2018-03-07,0.9662
2018-03-15,0.9469
2018-03-19,0.6214
2018-03-20,0.7
2018-03-22,0.75
2018-03-23,0.8
2018-04-25,0.5832
2018-04-27,0.57
2018-05-02,0.6
2018-05-03,0.649
2018-05-31,0.57
2018-07-02,0.62
2018-07-05,0.8984
2018-07-06,0.9882
2018-07-09,0.9882
2018-07-23,0.9988
2018-11-01,0.679
2018-11-05,0.9036
2018-11-12,0.9036
2018-11-29,0.3851
2019-01-24,0.7499
2019-01-25,0.8245
2019-02-11,0.7345
2019-03-01,0.5
2019-03-14,0.732
2019-03-18,0.8052
2019-04-04,0.805
2019-04-05,0.8
2019-05-06,0.705
2019-06-19,0.63
2019-06-27,0.91
2019-07-09,0.69
2019-08-05,0.326
2019-08-29,0.565
2019-09-11,0.85
2019-09-16,0.8
2019-11-22,0.174
2019-12-06,0.484
2019-12-10,0.695
2019-12-13,0.75
2019-12-17,0.74
2019-12-23,0.735
2020-01-06,0.72
2020-01-14,0.75
2020-01-15,0.75
2020-03-04,0.214
2020-03-06,0.336
2020-03-09,0.3
2020-03-16,0.23
2020-03-23,0.23
2020-03-26,0.23
2020-05-18,0.23
2020-12-29,0.3
2020-12-30,0.362
2021-01-04,0.478
2021-01-05,0.575
2021-01-08,0.57
2021-01-11,0.685
2021-01-14,0.615
2021-01-18,0.366
2021-01-19,0.4
2021-01-25,0.835
2021-02-04,0.76
2021-02-08,0.76
2021-02-09,0.83
2021-02-10,0.835
2021-02-11,0.83
2021-02-15,0.83
2021-02-18,0.825
2021-03-18,0.396
2021-03-23,0.685
2021-03-24,0.85
2021-03-26,1.23
2021-04-01,2.1
2021-04-07,2.3
2021-04-08,2.84
2021-04-09,2.68
2021-04-12,2.48
2021-04-13,2.0
2021-04-15,1.32
2021-04-16,1.59
2021-04-20,2.3
2021-04-21,2.5
2021-04-26,1.22
2021-04-27,1.34
2021-04-28,1.77
2021-04-29,2.1
2021-05-07,1.22
2021-05-11,1.77
2021-05-13,1.34
2021-05-17,1.34
2021-05-25,1.34
2021-05-27,1.35
2021-05-28,1.62
2021-05-31,1.78
2021-06-03,1.8
2021-06-07,1.75
2021-06-11,1.1
2021-06-22,1.7
2021-06-23,1.7
2021-07-05,1.3
2021-07-06,1.3
2021-07-12,1.69
2021-07-19,1.69
2021-08-25,1.3
2021-08-27,1.7
2021-08-30,1.7
2021-09-06,1.7
2021-09-08,1.3
2021-09-15,1.6
2021-09-21,1.0
2021-09-22,1.2
2021-09-23,1.4
2021-10-06,0.99
2021-10-07,0.99
2021-10-11,0.99
2021-10-13,1.1
2021-10-14,1.2
2021-10-25,0.9
2021-10-26,0.9
2021-10-27,0.9
2021-11-05,0.8
2021-11-11,0.7
2021-11-15,0.8
2021-11-16,0.99
2021-11-17,0.97
2021-12-06,0.4
2021-12-09,0.5
2021-12-10,0.51
2021-12-14,0.56
2021-12-15,0.65
2021-12-20,0.75
2021-12-23,0.75
2021-12-28,0.75
2021-12-30,0.85
2021-12-31,0.82
2022-01-04,0.96
2022-01-05,0.95
2022-01-06,0.95
2022-01-25,0.61
2022-01-27,0.805
2022-01-31,0.97
2022-02-02,1.0
2022-02-11,0.9
2022-02-16,0.9
2022-03-14,0.434
2022-03-16,0.436
2022-03-22,0.436
2022-03-24,0.5
2022-05-23,0.74
2022-05-24,0.74
2022-06-10,0.74
2022-06-13,0.74
2022-06-24,0.74
2022-07-06,0.44
2022-07-22,0.44
2022-08-02,0.44
2022-08-05,0.44
2022-09-23,0.38
2022-11-21,0.3
2022-11-28,0.3
2022-11-29,0.3
2022-11-30,0.3
2022-12-01,0.28
2022-12-02,0.28
2022-12-05,0.28
2022-12-06,0.28
2022-12-07,0.28
2022-12-08,0.28
2022-12-09,0.23
2022-12-12,0.23
2022-12-13,0.23
2022-12-14,0.23
2022-12-15,0.23
2022-12-16,0.23
2022-12-19,0.23
2022-12-20,0.23
2022-12-21,0.2
2022-12-22,0.2
2022-12-23,0.2
2022-12-27,0.2
2022-12-28,0.2
2022-12-29,0.2
2022-12-30,0.2
2023-01-02,0.2
2023-01-03,0.2
2023-01-04,0.2
2023-01-05,0.2
2023-01-06,0.2
2023-01-09,0.2
2023-01-10,0.2
2023-01-11,0.2
2023-01-12,0.2
2023-01-13,0.2
2023-01-16,0.2
2023-01-17,0.2
2023-01-18,0.2
2023-01-19,0.2
2023-01-20,0.2
2023-01-23,0.2
2023-01-24,0.2
2023-01-25,0.2
2023-01-26,0.2
2023-01-27,0.2
2023-01-30,0.2
2023-01-31,0.2
2023-02-01,0.2
2023-02-02,0.2
2023-02-03,0.16
2023-02-06,0.16
2023-02-07,0.16
2023-02-08,0.16
2023-02-09,0.16
2023-02-10,0.16
2023-02-13,0.16
2023-02-14,0.16
2023-02-15,0.16
2023-02-16,0.16
2023-02-17,0.16
2023-02-20,0.16
2023-02-21,0.16
2023-02-22,0.16
2023-02-23,0.16
2023-02-24,0.16
2023-02-27,0.16
2023-02-28,0.16
2023-03-01,0.16
2023-03-02,0.16
2023-03-03,0.16
2023-03-06,0.16
2023-03-07,0.16
2023-03-08,0.16
2023-03-09,0.16
2023-03-10,0.16
2023-03-13,0.16
2023-03-14,0.16
2023-03-15,0.16
2023-03-16,0.16
2023-03-17,0.16
2023-03-20,0.16
2023-03-21,0.16
2023-03-22,0.16
2023-03-23,0.16
2023-03-24,0.16
2023-03-27,0.16
2023-03-28,0.16
2023-03-29,0.16
2023-03-30,0.16
2023-03-31,0.16
2023-04-03,0.16
2023-04-04,0.16
2023-04-05,0.16
2023-04-06,0.16
2023-04-11,0.16
2023-04-12,0.16
2023-04-13,0.16
2023-04-14,0.16
2023-04-17,0.16
2023-04-18,0.16
2023-04-19,0.16
2023-04-20,0.16
2023-04-21,0.16
2023-04-24,0.16
2023-04-25,0.16
2023-04-26,0.16
2023-04-27,0.16
2023-04-28,0.16
2023-05-02,0.16
2023-05-03,0.16
2023-05-04,0.16
2023-05-05,0.16
2023-05-08,0.16
2023-05-09,0.16
2023-05-10,0.16
2023-05-11,0.16
2023-05-12,0.16
2023-05-15,0.16
2023-05-16,0.16
2023-05-17,0.16
2023-05-18,0.16
2023-05-19,0.16
2023-05-22,0.16
2023-05-23,0.16
2023-05-24,0.16
2023-05-25,0.16
2023-05-26,0.16
2023-05-29,0.16
2023-05-30,0.16
2023-05-31,0.16
2023-06-01,0.16
2023-06-02,0.16
2023-06-05,0.16
2023-06-06,0.16
2023-06-07,0.16
2023-06-08,0.16
2023-06-09,0.16
2023-06-12,0.16
2023-06-13,0.16
2023-06-14,0.16
2023-06-15,0.16
2023-06-16,0.16
2023-06-19,0.16
2023-06-20,0.16
2023-06-21,0.16
2023-06-22,0.16
2023-06-23,0.16
2023-06-26,0.16
2023-06-27,0.16
2023-06-28,0.155
2023-06-29,0.155
2023-06-30,0.155
2023-07-03,0.155
2023-07-04,0.155
2023-07-05,0.155
2023-07-06,0.155
2023-07-07,0.155
2023-07-10,0.155
2023-07-11,0.155
2023-07-12,0.155
2023-07-13,0.155
2023-07-14,0.155
2023-07-17,0.155
2023-07-18,0.155
2023-07-19,0.155
2023-07-20,0.155
2023-07-21,0.155
2023-07-24,0.155
2023-07-25,0.155
2023-07-26,0.155
2023-07-27,0.155
2023-07-28,0.155
2023-07-31,0.155
2023-08-01,0.189
2023-08-02,0.189
2023-08-03,0.189
2023-08-04,0.189
2023-08-07,0.189
2023-08-08,0.189
2023-08-09,0.189
2023-08-10,0.189
2023-08-11,0.189
2023-08-14,0.189
2023-08-15,0.189
2023-08-16,0.189
2023-08-17,0.189
2023-08-18,0.189
2023-08-21,0.189
2023-08-22,0.189
2023-08-23,0.189
2023-08-24,0.189
2023-08-25,0.189
2023-08-28,0.189
2023-08-29,0.189
2023-08-30,0.189
2023-08-31,0.189
2023-09-01,0.189
2023-09-04,0.189
2023-09-05,0.189
2023-09-06,0.189
2023-09-07,0.189
