,EEUE FP Equity_DX_SI_QTY,EEUE FP Equity_DX_SHORT_INTEREST_VALUE,EEUE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEUE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEUE FP Equity_DX_SI_MV,EEUE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEUE FP Equity_DX_SUPPLY_SI_QTY,EEUE FP Equity_DX_BROKER_SI_QTY,EEUE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEUE FP Equity_DX_BROKER_SI_QTY_ADD,EEUE FP Equity_DX_BROKER_SI_MV_ADD,EEUE FP Equity_DX_SUPPLY_SI_MV,EEUE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEUE FP Equity_DX_UTILIZATION_QUANTITY,EEUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEUE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEUE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEUE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEUE FP Equity_DX_BROKER_SI_CON_RATIO,EEUE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEUE FP Equity_DX_DEMAND_SUPPLY_RATIO,EEUE FP Equity_PX_LAST
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,144.212
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,143.823
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,145.004
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,144.887
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,145.048
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,144.079
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,145.86
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,145.776
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,145.764
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,145.899
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,146.125
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,146.769
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,145.321
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,146.285
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,145.319
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,143.384
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,143.549
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,144.692
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,146.101
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,146.105
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,147.463
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,147.042
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,148.792
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,148.333
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,148.301
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,147.173
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,145.885
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,147.088
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,145.811
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,145.78
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,147.24
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,147.675
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,146.571
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,147.298
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,146.877
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,147.757
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,147.125
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,147.127
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,147.712
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,150.286
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,149.626
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,149.88
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,149.645
