,EBBB FP Equity_DX_SI_QTY,EBBB FP Equity_DX_SHORT_INTEREST_VALUE,EBBB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EBBB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EBBB FP Equity_DX_SI_MV,EBBB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EBBB FP Equity_DX_SUPPLY_SI_QTY,EBBB FP Equity_DX_BROKER_SI_QTY,EBBB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EBBB FP Equity_DX_BROKER_SI_MV_NEW_x,EBBB FP Equity_DX_SUPPLY_SI_QTY_INC_x,EBBB FP Equity_DX_BROKER_SI_MV_INC_x,EBBB FP Equity_DX_BROKER_SI_QTY_ADD,EBBB FP Equity_DX_BROKER_SI_QTY_NEW,EBBB FP Equity_DX_SUPPLY_SI_MV_DEC,EBBB FP Equity_DX_BROKER_SI_QTY_INC,EBBB FP Equity_DX_SUPPLY_SI_QTY_DEC,EBBB FP Equity_DX_BROKER_SI_MV_NEW_y,EBBB FP Equity_DX_BROKER_SI_MV_INC_y,EBBB FP Equity_DX_SUPPLY_SI_QTY_INC_y,EBBB FP Equity_DX_BROKER_SI_MV_ADD,EBBB FP Equity_DX_SUPPLY_SI_QTY_ADD,EBBB FP Equity_DX_BROKER_SI_QTY_DEC,EBBB FP Equity_DX_SUPPLY_SI_MV,EBBB FP Equity_DX_BROKER_SI_MV_DEC,EBBB FP Equity_DX_BROKER_SI_MV_RMV,EBBB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EBBB FP Equity_DX_UTILIZATION_QUANTITY,EBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EBBB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EBBB FP Equity_DX_ACTIVE_UTILIZATION_MV,EBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EBBB FP Equity_DX_BROKER_SI_CON_RATIO,EBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EBBB FP Equity_DX_DEMAND_SUPPLY_RATIO,EBBB FP Equity_PX_LAST
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0281
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0043
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0211
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0267
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0345
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0427
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0629
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1021
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1253
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1752
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.189
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.215
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.194
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.178
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.165
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.22
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.225
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.231
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.264
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.252
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.318
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.355
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.328
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.355
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.311
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.268
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.231
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.202
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.219
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.28
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.209
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.197
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.098
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.119
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.127
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.154
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.138
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.101
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.139
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.094
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.116
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.095
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.116
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.075
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.099
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.173
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.163
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.154
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.244
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.27
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.283
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.255
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.297
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.327
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.339
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.321
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.362
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.345
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.31
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.303
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.293
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.233
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.203
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.379
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.382
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.372
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.361
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.383
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.341
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.369
