,CAPE FP Equity_DX_SI_QTY,CAPE FP Equity_DX_SHORT_INTEREST_VALUE,CAPE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CAPE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CAPE FP Equity_DX_SI_MV,CAPE FP Equity_DX_DSS,CAPE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CAPE FP Equity_DX_SUPPLY_SI_QTY,CAPE FP Equity_DX_BROKER_SI_QTY,CAPE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CAPE FP Equity_DX_SUPPLY_SI_QTY_INC_x,CAPE FP Equity_DX_BROKER_SI_MV_INC_x,CAPE FP Equity_DX_BROKER_SI_QTY_ADD,CAPE FP Equity_DX_SUPPLY_SI_MV_DEC,CAPE FP Equity_DX_BROKER_SI_QTY_INC,CAPE FP Equity_DX_SUPPLY_SI_QTY_DEC,CAPE FP Equity_DX_BROKER_SI_MV_INC_y,CAPE FP Equity_DX_SUPPLY_SI_QTY_INC_y,CAPE FP Equity_DX_BROKER_SI_MV_ADD,CAPE FP Equity_DX_SUPPLY_SI_QTY_ADD,CAPE FP Equity_DX_BROKER_SI_QTY_DEC,CAPE FP Equity_DX_SUPPLY_SI_MV,CAPE FP Equity_DX_BROKER_SI_MV_DEC,CAPE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CAPE FP Equity_DX_UTILIZATION_QUANTITY,CAPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CAPE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CAPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CAPE FP Equity_DX_ACTIVE_UTILIZATION_MV,CAPE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CAPE FP Equity_DX_BROKER_SI_CON_RATIO,CAPE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CAPE FP Equity_DX_DEMAND_SUPPLY_RATIO,CAPE FP Equity_PX_LAST
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.37
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.57
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.17
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.1
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.43
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.17
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.79
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.92
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.45
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.13
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.62
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.84
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.05
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.89
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.57
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.18
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.62
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.14
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.67
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.1
