,ALVIR FP Equity_PX_LAST
2023-04-19,6.0
2023-04-20,6.0
2023-04-21,6.0
2023-04-24,6.0
2023-04-25,6.0
2023-04-26,6.0
2023-04-27,6.0
2023-04-28,6.0
2023-05-02,6.0
2023-05-03,6.0
2023-05-04,6.0
2023-05-05,6.5
2023-05-08,6.9
2023-05-09,6.9
2023-05-10,8.0
2023-05-11,8.3
2023-05-12,8.5
2023-05-15,8.5
2023-05-16,8.5
2023-05-17,8.5
2023-05-18,6.0
2023-05-19,6.25
2023-05-22,6.5
2023-05-23,6.75
2023-05-24,6.75
2023-05-25,6.75
2023-05-26,6.25
2023-05-29,6.25
2023-05-30,6.25
2023-05-31,6.3
2023-06-01,6.3
2023-06-02,6.3
2023-06-05,6.3
2023-06-06,6.3
2023-06-07,6.3
2023-06-08,6.3
2023-06-09,6.3
2023-06-12,6.3
2023-06-13,6.3
2023-06-14,6.3
2023-06-15,6.3
2023-06-16,6.3
2023-06-19,6.3
2023-06-20,6.3
2023-06-21,6.35
2023-06-22,6.35
2023-06-23,6.35
2023-06-26,6.35
2023-06-27,6.35
2023-06-28,6.35
2023-06-29,6.35
2023-06-30,6.35
2023-07-03,6.35
2023-07-04,6.35
2023-07-05,6.35
2023-07-06,6.35
2023-07-07,6.35
2023-07-10,6.35
2023-07-11,6.35
2023-07-12,7.0
2023-07-13,7.0
2023-07-14,7.0
2023-07-17,7.0
2023-07-18,7.0
2023-07-19,7.0
2023-07-20,7.0
2023-07-21,7.0
2023-07-24,7.0
2023-07-25,7.0
2023-07-26,8.5
2023-07-27,8.5
2023-07-28,7.0
2023-07-31,6.5
2023-08-01,6.5
2023-08-02,8.55
2023-08-03,8.55
2023-08-04,8.55
2023-08-07,8.55
2023-08-08,8.55
2023-08-09,8.55
2023-08-10,8.55
2023-08-11,8.55
2023-08-14,8.55
2023-08-15,8.55
2023-08-16,8.55
2023-08-17,8.55
2023-08-18,8.55
2023-08-21,8.55
2023-08-22,8.55
2023-08-23,8.55
2023-08-24,8.55
2023-08-25,8.5
2023-08-28,8.5
2023-08-29,8.5
2023-08-30,8.5
2023-08-31,8.5
2023-09-01,8.5
2023-09-04,8.5
2023-09-05,8.5
2023-09-06,8.5
2023-09-07,8.5
2023-09-08,8.5
2023-09-11,8.5
2023-09-12,8.5
2023-09-13,8.5
2023-09-14,8.5
2023-09-15,8.5
2023-09-18,8.5
2023-09-19,8.5
2023-09-20,8.5
2023-09-21,8.5
2023-09-22,8.5
2023-09-25,8.5
2023-09-26,8.5
2023-09-27,8.5
2023-09-28,8.5
2023-09-29,8.5
2023-10-02,8.5
2023-10-03,8.5
2023-10-04,8.5
2023-10-05,8.5
2023-10-06,8.5
2023-10-09,8.5
2023-10-10,8.5
2023-10-11,8.0
2023-10-12,8.0
2023-10-13,8.0
2023-10-16,8.0
2023-10-17,8.0
2023-10-18,8.0
2023-10-19,8.0
2023-10-20,8.0
2023-10-23,8.0
2023-10-24,8.0
2023-10-25,8.0
2023-10-26,8.0
2023-10-27,8.0
2023-10-30,8.0
2023-10-31,8.0
2023-11-01,8.0
2023-11-02,8.0
2023-11-03,8.0
2023-11-06,8.0
2023-11-07,7.499
2023-11-08,7.499
2023-11-09,7.5
2023-11-10,7.5
2023-11-13,7.5
2023-11-14,7.5
2023-11-15,7.5
2023-11-16,7.5
2023-11-17,7.5
2023-11-20,7.5
2023-11-21,7.5
2023-11-22,7.5
2023-11-23,7.5
2023-11-24,7.5
2023-11-27,7.5
2023-11-28,7.5
2023-11-29,7.5
2023-11-30,7.5
2023-12-01,7.5
2023-12-04,7.5
