,EUDIV FP Equity_DX_SI_QTY,EUDIV FP Equity_DX_SHORT_INTEREST_VALUE,EUDIV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EUDIV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EUDIV FP Equity_DX_SI_MV,EUDIV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EUDIV FP Equity_DX_SUPPLY_SI_QTY,EUDIV FP Equity_DX_BROKER_SI_QTY,EUDIV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EUDIV FP Equity_DX_BROKER_SI_QTY_ADD,EUDIV FP Equity_DX_SUPPLY_SI_MV_DEC,EUDIV FP Equity_DX_SUPPLY_SI_QTY_DEC,EUDIV FP Equity_DX_BROKER_SI_MV_ADD,EUDIV FP Equity_DX_SUPPLY_SI_QTY_ADD,EUDIV FP Equity_DX_BROKER_SI_QTY_DEC,EUDIV FP Equity_DX_SUPPLY_SI_MV,EUDIV FP Equity_DX_BROKER_SI_MV_DEC,EUDIV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EUDIV FP Equity_DX_UTILIZATION_QUANTITY,EUDIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EUDIV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EUDIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EUDIV FP Equity_DX_ACTIVE_UTILIZATION_MV,EUDIV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EUDIV FP Equity_DX_BROKER_SI_CON_RATIO,EUDIV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EUDIV FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,14100.0,1499304.64,1.7,0.0,0.0,0.0,0.0,0.0
2015-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,14100.0,1486130.62,1.67,0.0,,0.0,,0.0
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,14100.0,1513492.04,1.65,0.0,,0.0,,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,14100.0,1506145.0,1.65,0.0,,0.0,,0.0
2022-03-28,5000.0,522800.0,11.22,6.5,0.55,522800.0,0.0,5000.0,0.0,5000.0,,,0.55,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-03-29,5000.0,531900.0,11.18,6.5,0.55,531900.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-03-30,5000.0,527600.0,12.64,6.5,0.56,527600.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-03-31,5000.0,525100.0,12.86,6.5,0.55,525100.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-01,5000.0,525500.0,13.05,6.5,0.55,525500.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-04,5000.0,527100.0,13.02,6.5,0.55,527100.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-05,5000.0,527600.0,13.13,6.5,0.55,527600.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-06,5000.0,520900.0,13.13,6.5,0.55,520900.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-07,5000.0,523000.0,13.13,6.5,0.55,523000.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-08,5000.0,532100.0,14.01,6.5,0.55,532100.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-11,5000.0,529000.0,13.94,6.5,0.56,529000.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-12,5000.0,524800.0,13.93,5.79,0.55,524800.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-13,5000.0,523500.0,13.6,5.79,0.55,523500.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-14,5000.0,526200.0,13.61,5.79,0.55,526200.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-15,5000.0,526200.0,13.61,5.79,0.55,526200.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-18,5000.0,526200.0,13.61,5.79,0.55,526200.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-19,5000.0,523000.0,13.61,6.51,0.55,523000.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-20,5000.0,530800.0,13.37,6.51,0.55,530800.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-21,5000.0,535000.0,15.22,6.51,0.56,535000.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-22,5000.0,526700.0,13.87,6.51,0.56,526700.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-25,5000.0,520600.0,14.29,6.51,0.55,520600.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-26,5000.0,519600.0,14.25,6.51,0.55,519600.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-27,5000.0,521800.0,19.79,6.51,0.55,521800.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-28,5000.0,526600.0,19.76,2.66,0.55,526600.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-29,5000.0,526300.0,20.39,2.53,0.55,526300.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-02,5000.0,517500.0,20.55,2.53,0.55,517500.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-03,10000.0,1038400.0,43.12,5.07,1.06,1038400.0,0.0,10000.0,0.0,5000.0,,,0.52,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.78,0.5003,51.22,0.0
2022-05-04,10000.0,1031200.0,50.83,10.28,1.07,1031200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.7,0.5003,51.3,0.0
2022-05-05,10000.0,1026200.0,47.32,10.28,1.06,1026200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.87,0.5003,51.13,0.0
2022-05-06,10000.0,1007200.0,47.37,10.28,1.05,1007200.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.99,0.5002,51.01,0.0
2022-05-09,10000.0,989900.0,48.16,10.28,1.05,989900.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.46,0.5001,50.54,0.0
2022-05-10,5000.0,500100.0,31.09,5.14,0.52,500100.0,0.0,5000.0,0.0,,,,,,5000.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-11,5000.0,509800.0,34.4,5.14,0.52,509800.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-12,5000.0,503800.0,35.92,5.14,0.54,503800.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-13,5000.0,513200.0,35.83,5.14,0.53,513200.0,0.0,5000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
