,UNIC FP Equity_PX_LAST
2020-04-21,8.342
2020-04-22,8.577
2020-04-23,8.742
2020-04-24,8.642
2020-04-27,8.865
2020-04-28,8.837
2020-04-29,8.979
2020-04-30,8.894
2020-05-04,8.727
2020-05-05,9.068
2020-05-06,9.174
2020-05-07,9.319
2020-05-08,9.465
2020-05-11,9.59
2020-05-12,9.725
2020-05-13,9.472
2020-05-14,9.227
2020-05-15,9.379
2020-05-18,9.757
2020-05-19,9.694
2020-05-20,9.783
2020-05-21,9.633
2020-05-22,9.732
2020-05-25,10.089
2020-05-26,9.875
2020-05-27,9.565
2020-05-28,9.793
2020-05-29,9.614
2020-06-01,9.823
2020-06-02,9.859
2020-06-03,10.045
2020-06-04,9.815
2020-06-05,10.001
2020-06-08,10.029
2020-06-09,10.035
2020-06-10,10.006
2020-06-11,9.84
2020-06-12,9.585
2020-06-15,9.642
2020-06-16,10.0
2020-06-17,10.072
2020-06-18,10.016
2020-06-19,10.141
2020-06-22,10.035
2020-06-23,10.231
2020-06-24,9.939
2020-06-25,10.022
2020-06-26,10.02
2020-06-29,9.962
2020-06-30,10.04
2020-07-01,10.144
2020-07-02,10.317
2020-07-03,10.327
2020-07-06,10.524
2020-07-07,10.577
2020-07-08,10.527
2020-07-09,10.555
2020-07-10,10.618
2020-07-13,10.658
2020-07-14,10.288
2020-07-15,10.532
2020-07-16,10.355
2020-07-17,10.514
2020-07-20,10.704
2020-07-21,10.722
2020-07-22,10.617
2020-07-23,10.617
2020-07-24,10.299
2020-07-27,10.249
2020-07-28,10.309
2020-07-29,10.314
2020-07-30,10.283
2020-07-31,10.207
2020-08-03,10.518
2020-08-04,10.582
2020-08-05,10.651
2020-08-06,10.644
2020-08-07,10.739
2020-08-10,10.66
2020-08-11,10.619
2020-08-12,10.55
2020-08-13,10.6
2020-08-14,10.539
2020-08-17,10.629
2020-08-18,10.594
2020-08-19,10.724
2020-08-20,10.684
2020-08-21,10.708
2020-08-24,10.681
2020-08-25,10.728
2020-08-26,10.893
2020-08-27,10.852
2020-08-28,10.837
2020-08-31,10.818
2020-09-01,10.888
2020-09-02,10.931
2020-09-03,10.585
2020-09-04,10.2
2020-09-07,10.339
2020-09-08,10.258
2020-09-09,10.35
2020-09-10,10.344
2020-09-11,10.255
2020-09-14,10.388
2020-09-15,10.617
2020-09-16,10.739
2020-09-17,10.528
2020-09-18,10.55
2020-09-21,10.384
2020-09-22,10.506
2020-09-23,10.643
2020-09-24,10.368
2020-09-25,10.492
2020-09-28,10.71
2020-09-29,10.767
2020-09-30,10.874
2020-10-01,10.933
2020-10-02,10.898
2020-10-05,11.007
2020-10-06,11.162
2020-10-07,11.353
2020-10-08,11.527
2020-10-09,11.596
2020-10-12,11.656
2020-10-13,11.7
2020-10-14,11.742
2020-10-15,11.518
2020-10-16,11.637
2020-10-19,11.636
2020-10-20,11.455
2020-10-21,11.226
2020-10-22,11.138
2020-10-23,11.176
2020-10-26,10.992
2020-10-27,11.075
2020-10-28,10.877
2020-10-29,11.03
2020-10-30,10.894
2020-11-02,10.936
2020-11-03,11.063
2020-11-04,11.45
2020-11-05,11.695
2020-11-06,11.657
2020-11-09,12.016
2020-11-10,11.493
2020-11-11,11.729
2020-11-12,11.762
2020-11-13,11.702
2020-11-16,11.789
2020-11-17,11.665
2020-11-18,11.795
