,TRV FP Equity_PX_LAST
2024-06-21,28.935
2024-06-24,29.324
2024-06-25,29.338
2024-06-26,29.118
2024-06-27,28.897
2024-06-28,28.616
2024-07-01,28.631
2024-07-02,28.417
2024-07-03,28.691
2024-07-04,28.773
2024-07-05,28.724
2024-07-08,28.591
2024-07-09,28.305
2024-07-10,28.633
2024-07-11,28.847
2024-07-12,29.24
2024-07-15,28.822
2024-07-16,28.662
2024-07-17,28.591
2024-07-18,28.679
2024-07-19,28.275
2024-07-22,28.514
2024-07-23,28.476
2024-07-24,28.096
2024-07-25,27.745
2024-07-26,28.075
2024-07-29,27.893
2024-07-30,27.989
2024-07-31,27.819
2024-08-01,27.548
2024-08-02,26.856
2024-08-05,26.461
2024-08-06,26.344
2024-08-07,26.726
2024-08-08,26.696
2024-08-09,26.814
2024-08-12,26.747
2024-08-13,26.84
2024-08-14,27.16
2024-08-15,27.569
2024-08-16,27.601
2024-08-19,27.946
2024-08-20,27.919
2024-08-21,28.131
2024-08-22,28.246
2024-08-23,28.392
2024-08-26,28.379
2024-08-27,28.311
2024-08-28,28.233
2024-08-29,28.517
2024-08-30,28.524
2024-09-02,28.459
2024-09-03,28.316
2024-09-04,27.73
2024-09-05,27.451
2024-09-06,27.086
2024-09-09,27.23
2024-09-10,26.869
2024-09-11,26.911
2024-09-12,27.068
2024-09-13,27.272
2024-09-16,27.172
2024-09-17,27.438
2024-09-18,27.25
2024-09-19,27.817
2024-09-20,27.234
2024-09-23,27.356
2024-09-24,27.819
2024-09-25,27.781
2024-09-26,28.842
2024-09-27,29.312
2024-09-30,28.67
2024-10-01,28.276
2024-10-02,28.28
2024-10-03,27.957
2024-10-04,28.152
2024-10-07,28.335
2024-10-08,27.995
2024-10-09,28.142
2024-10-10,28.088
2024-10-11,28.217
2024-10-14,28.126
2024-10-15,28.077
2024-10-16,27.857
2024-10-17,28.048
2024-10-18,28.19
2024-10-21,27.884
2024-10-22,27.904
2024-10-23,27.84
2024-10-24,28.107
2024-10-25,28.078
2024-10-28,28.269
2024-10-29,28.106
2024-10-30,27.725
2024-10-31,27.306
2024-11-01,27.402
2024-11-04,27.457
2024-11-05,27.435
2024-11-06,27.263
2024-11-07,27.714
2024-11-08,27.225
2024-11-11,27.427
2024-11-12,26.703
2024-11-13,26.69
2024-11-14,27.072
2024-11-15,26.875
2024-11-18,26.917
2024-11-19,26.58
2024-11-20,26.518
2024-11-21,26.526
2024-11-22,26.985
2024-11-25,27.278
2024-11-26,27.204
2024-11-27,27.029
2024-11-28,27.032
2024-11-29,27.167
2024-12-02,27.542
2024-12-03,27.742
2024-12-04,27.978
2024-12-05,28.098
2024-12-06,28.524
2024-12-09,28.765
2024-12-10,28.552
2024-12-11,28.657
2024-12-12,28.676
2024-12-13,28.662
2024-12-16,28.296
2024-12-17,28.34
2024-12-18,28.375
2024-12-19,28.002
2024-12-20,28.073
2024-12-23,27.874
2024-12-24,27.99
2024-12-27,28.066
2024-12-30,27.942
2024-12-31,28.133
2025-01-02,28.116
2025-01-03,27.597
2025-01-06,28.089
2025-01-07,28.25
2025-01-08,28.03
2025-01-09,28.135
2025-01-10,27.997
2025-01-13,27.788
2025-01-14,27.844
2025-01-15,28.131
2025-01-16,28.885
2025-01-17,29.051
2025-01-20,29.153
2025-01-21,29.41
2025-01-22,29.612
2025-01-23,29.686
2025-01-24,29.817
2025-01-27,30.089
2025-01-28,30.356
2025-01-29,30.127
2025-01-30,30.461
2025-01-31,30.35
2025-02-03,30.028
2025-02-04,30.231
2025-02-05,30.107
2025-02-06,30.448
2025-02-07,30.022
2025-02-10,30.312
2025-02-11,30.308
2025-02-12,30.473
2025-02-13,31.054
2025-02-14,31.052
2025-02-17,31.105
2025-02-18,31.043
2025-02-19,30.437
2025-02-20,30.446
2025-02-21,30.512
2025-02-24,30.341
2025-02-25,30.332
2025-02-26,30.509
2025-02-27,30.039
2025-02-28,30.115
2025-03-03,30.258
2025-03-04,29.376
2025-03-05,29.431
2025-03-06,29.192
2025-03-07,28.709
2025-03-10,28.57
2025-03-11,28.078
2025-03-12,27.991
2025-03-13,27.888
2025-03-14,28.111
2025-03-17,28.146
2025-03-18,28.105
2025-03-19,28.234
2025-03-20,27.971
2025-03-21,27.775
2025-03-24,27.822
2025-03-25,27.91
2025-03-26,27.611
2025-03-27,27.572
2025-03-28,27.353
2025-03-31,26.772
2025-04-01,27.037
2025-04-02,27.016
2025-04-03,25.994
2025-04-04,25.374
2025-04-07,24.158
2025-04-08,24.812
2025-04-09,24.299
2025-04-10,25.089
2025-04-11,25.195
2025-04-14,25.512
2025-04-15,25.494
2025-04-16,25.365
2025-04-17,25.566
2025-04-22,25.787
2025-04-23,26.33
2025-04-24,26.495
2025-04-25,26.567
2025-04-28,26.687
2025-04-29,26.633
2025-04-30,26.484
2025-05-02,26.847
2025-05-05,27.053
2025-05-06,27.009
2025-05-07,26.852
2025-05-08,27.132
2025-05-09,27.3
2025-05-12,28.183
2025-05-13,28.506
2025-05-14,28.213
2025-05-15,28.155
2025-05-16,28.319
2025-05-19,28.288
2025-05-20,28.497
2025-05-21,28.312
