,ALJXR FP Equity_DX_SI_QTY,ALJXR FP Equity_DX_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALJXR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALJXR FP Equity_DX_SI_MV,ALJXR FP Equity_DX_DSS,ALJXR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY,ALJXR FP Equity_DX_BROKER_SI_QTY,ALJXR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALJXR FP Equity_DX_BROKER_SI_MV_INC_x,ALJXR FP Equity_DX_SUPPLY_SI_MV_NEW,ALJXR FP Equity_DX_BROKER_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_NEW,ALJXR FP Equity_DX_SUPPLY_SI_MV_DEC,ALJXR FP Equity_DX_BROKER_SI_QTY_INC,ALJXR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALJXR FP Equity_DX_BROKER_SI_MV_INC_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALJXR FP Equity_DX_BROKER_SI_MV_ADD,ALJXR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV,ALJXR FP Equity_DX_BROKER_SI_MV_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV_RMV,ALJXR FP Equity_DX_BROKER_SI_MV_RMV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALJXR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALJXR FP Equity_DX_BROKER_SI_CON_RATIO,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALJXR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,972.0,26030.16,0.05,0.08,0.02,0.02,0.0,26030.16,943.0,972.0,25253.54,,,355.0,0.01,,,,,386.0,,,,0.01,355.0,,,,0.02,,,,1.1,1.1,84825.0,2271613.5,,2.11,1.05,,1.0,100.0,0.0113
2006-01-11,1178.0,32984.0,0.06,0.07,0.02,0.03,0.0,32984.0,1184.0,1178.0,33152.0,,,241.0,0.01,,,,,206.0,,,,0.01,241.0,,,,0.03,,,,0.5,0.5,233796.0,6546288.0,,6.43,0.5,,1.0,100.0,0.005
2006-01-18,8427.0,232838.01,0.45,0.49,0.14,0.23,0.0,145306.17,5362.0,5259.0,148152.06,,,4178.0,0.02,,3045.0,,,1036.0,,,,0.02,4178.0,0.08,,,0.14,,,,2.32,2.32,225910.0,6241893.3,,5.99,2.35,40.46,0.5182,59.54,0.0364
2006-01-25,11644.0,317299.0,0.63,0.61,0.19,0.32,0.0,230725.75,8563.0,8467.0,233341.75,,,3201.0,0.09,,,,,3208.0,,,,0.09,3201.0,,,,0.23,,,,3.75,3.75,220021.0,5995572.25,,5.96,3.74,36.19,0.5381,63.81,0.0509
2006-02-01,11555.0,351849.75,0.62,0.55,0.19,0.33,0.0,257820.15,8323.0,8467.0,253435.35,,,,,,,,0.0,,240.0,,,,,,,,0.24,,,,3.92,3.92,203908.0,6208998.6,,5.91,3.91,37.9,0.5293,62.1,0.0544
2006-02-08,11679.0,371392.2,0.63,0.44,0.19,0.37,0.0,269250.6,8660.0,8467.0,275388.0,,,337.0,,,,,,,,,,,337.0,,,,0.27,,,,3.81,3.81,218870.0,6960066.0,,6.84,3.82,36.48,0.5365,63.52,0.0513
2006-02-15,13409.0,553255.34,0.72,0.38,0.22,0.56,0.0,411568.5,10879.0,9975.0,448867.54,0.13,,2218.0,0.13,,,3045.0,,1508.0,,0.13,,0.13,2218.0,,,,0.46,,,0.1,5.06,5.06,204003.0,8417163.78,,8.59,5.07,29.9,0.5808,70.1,0.0624
2006-02-22,26718.0,1509567.0,1.44,0.74,0.43,1.41,0.0,1144238.0,17162.0,20252.0,969653.0,,,6284.0,0.57,,1516.0,,,8761.0,,,,0.57,6284.0,0.08,,,0.91,,,,10.35,10.35,148712.0,8402228.0,,7.87,10.34,36.13,0.4567,56.65,0.1611
2006-03-01,32838.0,1975205.7,1.77,0.55,0.53,1.88,0.0,1378758.3,24374.0,22922.0,1466096.1,,,7212.0,0.23,,,,,2670.0,,,,0.23,7212.0,,,,1.39,,,,13.09,13.09,161815.0,9733172.25,,9.25,13.09,41.06,0.4488,52.54,0.1764
2006-03-08,163625.0,6872250.0,5.64,2.26,2.64,8.57,1.0,962724.0,154013.0,22922.0,6468546.0,,,129639.0,,,,,,,,,,,129639.0,,,,8.06,,,,84.78,84.78,27652.0,1161384.0,,1.45,84.78,31.3,0.492,62.46,0.9007
