,ALHUN FP Equity_DX_SI_QTY,ALHUN FP Equity_DX_SHORT_INTEREST_VALUE,ALHUN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHUN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHUN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHUN FP Equity_DX_SI_MV,ALHUN FP Equity_DX_DSS,ALHUN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHUN FP Equity_DX_SUPPLY_SI_QTY,ALHUN FP Equity_DX_BROKER_SI_QTY,ALHUN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHUN FP Equity_DX_SUPPLY_SI_MV_DEC,ALHUN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHUN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHUN FP Equity_DX_SUPPLY_SI_MV,ALHUN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHUN FP Equity_DX_UTILIZATION_QUANTITY,ALHUN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHUN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHUN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHUN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHUN FP Equity_DX_BROKER_SI_CON_RATIO,ALHUN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHUN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHUN FP Equity_PX_LAST
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,12.35
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,12.3
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,12.002
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,11.88
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,11.96
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,12.002
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,11.978
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,11.92
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,11.96
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,11.912
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,11.91
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,11.974
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,12.01
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,12.17
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,12.15
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,11.968
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,11.928
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,12.09
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,11.89
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,11.89
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,11.99
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,12.068
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,11.84
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,11.962
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,11.96
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,11.94
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,12.18
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,12.072
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,12.072
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,11.982
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,11.982
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,11.97
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,11.83
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,11.998
2022-06-23,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-28,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,11.96
2022-07-04,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-07-06,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,12.06
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,12.08
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,11.94
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,11.87
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,11.87
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,11.81
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,11.83
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,11.83
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,11.83
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,11.84
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,11.83
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,11.772
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,11.898
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,11.772
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,11.55
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110988.9,0.11,0.0,0.0,,0.0,11.1
2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,111488.85,0.11,0.0,0.0,,0.0,11.15
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110488.95,0.11,0.0,0.0,,0.0,11.05
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110488.95,0.11,0.0,0.0,,0.0,11.05
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110488.95,0.11,0.0,0.0,,0.0,11.05
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110988.9,0.11,0.0,0.0,,0.0,11.1
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110488.95,0.11,0.0,0.0,,0.0,11.05
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,110988.9,0.11,0.0,0.0,,0.0,11.1
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108489.15,0.11,0.0,0.0,,0.0,10.85
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108989.1,0.11,0.0,0.0,,0.0,10.9
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,108489.15,0.11,0.0,0.0,,0.0,10.85
2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109489.05,0.11,0.0,0.0,,0.0,10.95
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,109989.0,0.11,0.0,0.0,,0.0,11.0
2022-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,119988.0,0.11,0.0,0.0,,0.0,12.0
2022-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,118988.1,0.11,0.0,0.0,,0.0,11.9
2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,117988.2,0.11,0.0,0.0,,0.0,11.8
2022-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,117488.25,0.12,0.0,0.0,,0.0,11.75
2022-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9999.0,117988.2,0.12,0.0,0.0,,0.0,11.8
2022-11-17,8000.0,94000.0,0.21,27.14,0.21,0.09,0.0,0.0,8000.0,0.0,94000.0,,,8000.0,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.75
2022-11-18,8000.0,93600.0,0.21,26.97,0.21,0.09,0.0,0.0,8000.0,0.0,93600.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.7
2022-11-21,8000.0,93600.0,0.21,26.58,0.21,0.09,0.0,0.0,8000.0,0.0,93600.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.7
2022-11-22,8000.0,92400.0,0.21,26.48,0.21,0.09,0.0,0.0,8000.0,0.0,92400.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.55
2022-11-23,8000.0,93200.0,0.21,26.27,0.21,0.09,0.0,0.0,8000.0,0.0,93200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.65
2022-11-24,8000.0,94400.0,0.21,25.74,0.21,0.09,0.0,0.0,8000.0,0.0,94400.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.8
2022-11-25,8000.0,95200.0,0.21,25.68,0.21,0.09,0.0,0.0,8000.0,0.0,95200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.9
2022-11-28,8000.0,94400.0,0.21,26.3,0.21,0.1,0.0,0.0,8000.0,0.0,94400.0,,,,0.1,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.8
2022-11-29,8000.0,93600.0,0.21,26.8,0.21,0.09,0.0,0.0,8000.0,0.0,93600.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.7
2022-11-30,8000.0,94000.0,0.21,25.51,0.21,0.09,0.0,0.0,8000.0,0.0,94000.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.75
2022-12-01,8000.0,94000.0,0.21,25.35,0.21,0.09,0.0,0.0,8000.0,0.0,94000.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.75
2022-12-02,8000.0,90800.0,0.21,25.44,0.21,0.09,0.0,0.0,8000.0,0.0,90800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.35
2022-12-05,8000.0,86800.0,0.21,21.51,0.21,0.09,0.0,0.0,8000.0,0.0,86800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,10.85
2022-12-06,8000.0,87200.0,0.21,18.29,0.21,0.09,0.0,0.0,8000.0,0.0,87200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,10.9
2022-12-07,8000.0,87200.0,0.21,17.88,0.21,0.09,0.0,0.0,8000.0,0.0,87200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,10.9
2022-12-08,8000.0,86800.0,0.21,15.53,0.21,0.09,0.0,0.0,8000.0,0.0,86800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,10.85
2022-12-09,8000.0,91600.0,0.21,15.2,0.21,0.09,0.0,0.0,8000.0,0.0,91600.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.45
2022-12-12,8000.0,91200.0,0.21,14.53,0.21,0.09,0.0,0.0,8000.0,0.0,91200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.4
2022-12-13,8000.0,91600.0,0.21,14.8,0.21,0.09,0.0,0.0,8000.0,0.0,91600.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.45
2022-12-14,8000.0,90800.0,0.21,14.63,0.21,0.09,0.0,0.0,8000.0,0.0,90800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.35
2022-12-15,8000.0,93200.0,0.21,11.96,0.21,0.09,0.0,0.0,8000.0,0.0,93200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.65
2022-12-16,8000.0,91200.0,0.21,11.7,0.21,0.09,0.0,0.0,8000.0,0.0,91200.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.4
2022-12-19,8000.0,90800.0,0.21,10.78,0.21,0.09,0.0,0.0,8000.0,0.0,90800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.35
2022-12-20,8000.0,90400.0,0.21,10.76,0.21,0.09,0.0,0.0,8000.0,0.0,90400.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.3
2022-12-21,8000.0,90400.0,0.21,10.62,0.21,0.09,0.0,0.0,8000.0,0.0,90400.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.3
2022-12-22,8000.0,90800.0,0.21,10.6,0.21,0.09,0.0,0.0,8000.0,0.0,90800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.35
2022-12-23,8000.0,92800.0,0.21,11.19,0.21,0.09,0.0,0.0,8000.0,0.0,92800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,11.6
2022-12-26,8000.0,92800.0,0.21,10.9,0.21,0.09,0.0,0.0,8000.0,0.0,92800.0,,,,0.09,100.0,80.01,0.0,0.0,0.0,100.0,1.0,100.0,0.8001,
