,ALVIN FP Equity_DX_SI_QTY,ALVIN FP Equity_DX_SHORT_INTEREST_VALUE,ALVIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVIN FP Equity_DX_SI_MV,ALVIN FP Equity_DX_DSS,ALVIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVIN FP Equity_DX_SUPPLY_SI_QTY,ALVIN FP Equity_DX_BROKER_SI_QTY,ALVIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVIN FP Equity_DX_BROKER_SI_QTY_ADD,ALVIN FP Equity_DX_SUPPLY_SI_MV_DEC,ALVIN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVIN FP Equity_DX_BROKER_SI_MV_ADD,ALVIN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVIN FP Equity_DX_BROKER_SI_QTY_DEC,ALVIN FP Equity_DX_SUPPLY_SI_MV,ALVIN FP Equity_DX_BROKER_SI_MV_DEC,ALVIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVIN FP Equity_DX_UTILIZATION_QUANTITY,ALVIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVIN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVIN FP Equity_DX_BROKER_SI_CON_RATIO,ALVIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVIN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVIN FP Equity_PX_LAST
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.189
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.385
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.023
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2023-08-16,262.0,1595.58,0.01,0.06,0.01,0.0,0.0,797.79,131.0,131.0,797.79,131.0,,,0.0,131.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,6.09
2023-08-17,262.0,1579.86,0.01,0.06,0.01,0.0,0.0,789.93,131.0,131.0,789.93,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,6.03
2023-08-18,262.0,1577.24,0.01,0.06,0.01,0.0,0.0,788.62,131.0,131.0,788.62,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,6.02
2023-08-21,262.0,1566.76,0.01,0.06,0.01,0.0,0.0,783.38,131.0,131.0,783.38,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,5.98
2023-08-22,262.0,1572.0,0.01,0.06,0.01,0.0,0.0,786.0,131.0,131.0,786.0,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,6.0
2023-08-23,262.0,1566.76,0.01,0.06,0.01,0.0,0.0,783.38,131.0,131.0,783.38,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,5.98
2023-08-24,262.0,1572.26,0.01,0.06,0.01,0.0,0.0,786.13,131.0,131.0,786.13,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,2.0,6.001
2023-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,131.0,,,131.0,0.0,0.0,0.0,0.0,131.0,783.38,0.0,0.0,0.0,,0.0,5.98
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
