,PAEEM FP Equity_DX_SI_QTY,PAEEM FP Equity_DX_SHORT_INTEREST_VALUE,PAEEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAEEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAEEM FP Equity_DX_SI_MV,PAEEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAEEM FP Equity_DX_SUPPLY_SI_QTY,PAEEM FP Equity_DX_BROKER_SI_QTY,PAEEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAEEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,PAEEM FP Equity_DX_BROKER_SI_MV_INC_x,PAEEM FP Equity_DX_BROKER_SI_QTY_ADD,PAEEM FP Equity_DX_SUPPLY_SI_MV_DEC,PAEEM FP Equity_DX_BROKER_SI_QTY_INC,PAEEM FP Equity_DX_SUPPLY_SI_QTY_DEC,PAEEM FP Equity_DX_BROKER_SI_MV_INC_y,PAEEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,PAEEM FP Equity_DX_BROKER_SI_MV_ADD,PAEEM FP Equity_DX_SUPPLY_SI_QTY_ADD,PAEEM FP Equity_DX_BROKER_SI_QTY_DEC,PAEEM FP Equity_DX_SUPPLY_SI_MV,PAEEM FP Equity_DX_BROKER_SI_MV_DEC,PAEEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAEEM FP Equity_DX_UTILIZATION_QUANTITY,PAEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAEEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAEEM FP Equity_DX_ACTIVE_UTILIZATION_MV,PAEEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAEEM FP Equity_DX_BROKER_SI_CON_RATIO,PAEEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAEEM FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-04-22,7000.0,151900.0,0.46,0.05,0.15,151900.0,0.0,7000.0,0.0,,,7000.0,,,,,,0.15,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-25,7000.0,149037.0,0.46,0.05,0.15,149037.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-26,7000.0,148820.0,0.44,0.05,0.15,148820.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-27,7000.0,151025.0,0.47,0.05,0.15,151025.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-28,7000.0,152257.0,0.47,0.05,0.15,152257.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-29,7000.0,156303.0,0.48,0.05,0.15,156303.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-02,7000.0,153762.0,0.51,0.05,0.16,153762.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-03,7000.0,154882.0,0.51,0.05,0.15,154882.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-04,7000.0,152775.0,0.51,0.05,0.15,152775.0,0.0,7000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4994.64,0.01,0.0,,0.0,,0.0
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4949.28,0.01,0.0,,0.0,,0.0
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4932.0,0.01,0.0,,0.0,,0.0
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4947.12,0.01,0.0,,0.0,,0.0
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4912.08,0.0,0.0,,0.0,,0.0
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4766.16,0.0,0.0,,0.0,,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,240.0,4789.68,0.0,0.0,,0.0,,0.0
