,GOAI FP Equity_DX_SI_QTY,GOAI FP Equity_DX_SHORT_INTEREST_VALUE,GOAI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GOAI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GOAI FP Equity_DX_SI_MV,GOAI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GOAI FP Equity_DX_SUPPLY_SI_QTY,GOAI FP Equity_DX_BROKER_SI_QTY,GOAI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GOAI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GOAI FP Equity_DX_SUPPLY_SI_QTY_INC_x,GOAI FP Equity_DX_BROKER_SI_MV_INC_x,GOAI FP Equity_DX_SUPPLY_SI_MV_NEW,GOAI FP Equity_DX_BROKER_SI_QTY_ADD,GOAI FP Equity_DX_SUPPLY_SI_MV_DEC,GOAI FP Equity_DX_BROKER_SI_QTY_INC,GOAI FP Equity_DX_SUPPLY_SI_QTY_DEC,GOAI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GOAI FP Equity_DX_BROKER_SI_MV_INC_y,GOAI FP Equity_DX_SUPPLY_SI_QTY_INC_y,GOAI FP Equity_DX_BROKER_SI_MV_ADD,GOAI FP Equity_DX_SUPPLY_SI_QTY_ADD,GOAI FP Equity_DX_BROKER_SI_QTY_DEC,GOAI FP Equity_DX_SUPPLY_SI_MV,GOAI FP Equity_DX_BROKER_SI_MV_DEC,GOAI FP Equity_DX_SUPPLY_SI_MV_RMV,GOAI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GOAI FP Equity_DX_UTILIZATION_QUANTITY,GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GOAI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GOAI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GOAI FP Equity_DX_ACTIVE_UTILIZATION_MV,GOAI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GOAI FP Equity_DX_BROKER_SI_CON_RATIO,GOAI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GOAI FP Equity_DX_DEMAND_SUPPLY_RATIO,GOAI FP Equity_PX_LAST
2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.227
2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.116
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.162
2018-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.585
2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.344
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.464
2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.553
2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.417
2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.691
2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.251
2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.371
2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.542
2018-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.699
2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.967
2018-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.208
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.977
2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.058
2018-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.535
2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.949
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.549
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.416
2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.274
2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.054
2018-10-12,51600.0,2391505.2,91.43,1.94,2.4,1427487.6,20800.0,30800.0,964017.6,,18700.0,0.86,,,,18700.0,,,0.86,18700.0,,,,0.95,,,6.5,6.5,299200.0,13867022.4,,13.71,6.5,39.79,0.3592,40.01,0.1613,46.347
2018-10-15,51600.0,2391247.2,91.43,1.94,2.4,1427333.6,20800.0,30800.0,963913.6,,,,,,,,,,,,,,,0.95,,,6.5,6.5,299200.0,13865526.4,,13.7,6.5,39.64,0.359,40.11,0.1613,46.342
2018-10-16,51600.0,2422207.2,90.47,1.94,2.41,1445813.6,20800.0,30800.0,976393.6,,,,,,,,,,,,,,,0.96,,,6.5,6.5,299200.0,14045046.4,,13.8,6.5,39.84,0.3593,39.98,0.1613,46.942
2018-10-17,51600.0,2435623.2,89.82,1.94,2.42,1453821.6,20800.0,30800.0,981801.6,,,,,,,,,,,,,,,0.96,,,6.5,6.5,299200.0,14122838.4,,13.78,6.5,39.53,0.3589,40.19,0.1613,47.202
2018-10-18,51600.0,2421433.2,89.44,1.94,2.45,1445351.6,20800.0,30800.0,976081.6,,,,,,,,,,,,,,,0.98,,,6.5,6.5,299200.0,14040558.4,,14.07,6.5,39.87,0.3593,39.96,0.1613,46.927
2018-10-19,51600.0,2414415.6,86.82,1.94,2.45,1441162.8,20800.0,30800.0,973252.8,,,,,,,,,,,,,,,0.99,,,6.5,6.5,299200.0,13999867.2,,14.17,6.5,39.77,0.3597,40.16,0.1613,46.791
2018-10-22,51600.0,2407656.0,84.33,1.94,2.44,1437128.0,20800.0,30800.0,970528.0,,,,,,,,,,,,,,,0.98,,,6.5,6.5,299200.0,13960672.0,,14.03,6.5,39.89,0.3595,39.97,0.1613,46.66
2018-10-23,56000.0,2560936.0,91.52,2.11,2.53,1509123.0,23000.0,33000.0,1051813.0,,2200.0,0.0,,,,2200.0,,,0.0,2200.0,,,,1.07,,,7.19,7.19,297000.0,13582107.0,,13.81,7.19,38.35,0.3634,42.3,0.175,45.731
2018-10-24,56000.0,2564240.0,85.55,2.11,2.6,1511070.0,23000.0,33000.0,1053170.0,,,,,,,,,,,,,,,1.07,,,7.19,7.19,297000.0,13599630.0,,13.86,7.19,40.37,0.3667,41.21,0.175,45.79
2018-10-25,56000.0,2562560.0,84.17,2.11,2.6,1510080.0,23000.0,33000.0,1052480.0,,,,,,,,,,,,,,,1.06,,,7.19,7.19,297000.0,13590720.0,,13.72,7.19,40.56,0.3663,40.92,0.175,45.76
2018-10-26,56000.0,2521680.0,81.05,2.11,2.58,1485990.0,23000.0,33000.0,1035690.0,,,,,,,,,,,,,,,1.04,,,7.19,7.19,297000.0,13373910.0,,13.49,7.19,40.5,0.3657,40.85,0.175,45.03
2018-10-29,56000.0,2533944.0,81.08,2.3,2.55,1493217.0,23000.0,33000.0,1040727.0,,,,,,,,,,,,,,,1.05,,,7.19,7.19,297000.0,13438953.0,,13.52,7.19,40.51,0.3664,40.99,0.175,45.249
2018-10-30,56000.0,2527280.0,50.55,2.3,2.55,1489290.0,23000.0,33000.0,1037990.0,,,,,,,,,,,,,,,1.04,,,7.19,7.19,297000.0,13403610.0,,13.37,7.19,40.6,0.3658,40.79,0.175,45.13
2018-10-31,56000.0,2597840.0,49.81,2.3,2.54,1530870.0,23000.0,33000.0,1066970.0,,,,,,,,,,,,,,,1.03,,,7.19,7.19,297000.0,13777830.0,,13.26,7.19,40.44,0.3656,40.89,0.175,46.39
2018-11-01,56000.0,2609320.0,49.11,2.3,2.6,1537635.0,23000.0,33000.0,1071685.0,,,,,,,,,,,,,,,1.04,,,7.19,7.19,297000.0,13838715.0,,13.46,7.19,40.14,0.3652,41.1,0.175,46.595
2018-11-02,56000.0,2631104.0,49.68,2.3,2.63,1550472.0,23000.0,33000.0,1080632.0,,,,,,,,,,,,,,,1.07,,,7.19,7.19,297000.0,13954248.0,,13.78,7.19,40.59,0.3658,40.79,0.175,46.984
2018-11-05,56000.0,2608088.0,34.42,2.3,2.65,1536909.0,23000.0,33000.0,1071179.0,,,,,,,,,,,,,,,1.08,,,7.19,7.19,297000.0,13832181.0,,13.89,7.19,40.57,0.3658,40.81,0.175,46.573
2018-11-06,51600.0,2414312.4,32.59,2.11,2.44,1441101.2,20800.0,30800.0,973211.2,,,,,,0.09,,2200.0,,,,,,2200.0,0.98,0.11,,6.5,6.5,299200.0,13999268.8,,14.08,6.5,39.77,0.3597,40.15,0.1613,46.789
2018-11-07,47400.0,2233725.0,31.93,1.94,2.23,1352487.5,18700.0,28700.0,881237.5,,,,,,0.1,,2100.0,,,,,,2100.0,0.87,0.09,,5.84,5.84,301300.0,14198762.5,,14.03,5.84,39.01,0.3528,39.06,0.1481,47.125
2018-11-08,47400.0,2256903.6,30.89,1.94,2.25,1366521.8,18700.0,28700.0,890381.8,,,,,,,,,,,,,,,0.87,,,5.84,5.84,301300.0,14346098.2,,14.09,5.84,38.92,0.3527,39.11,0.1481,47.614
2018-11-09,47400.0,2236474.2,28.95,1.94,2.28,1354152.1,18700.0,28700.0,882322.1,,,,,,,,,,,,,,,0.89,,,5.84,5.84,301300.0,14216237.9,,14.29,5.84,38.93,0.3527,39.11,0.1481,47.183
