,ARTO FP Equity_DX_SI_QTY,ARTO FP Equity_DX_SHORT_INTEREST_VALUE,ARTO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ARTO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ARTO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ARTO FP Equity_DX_SI_MV,ARTO FP Equity_DX_DSS,ARTO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ARTO FP Equity_DX_SUPPLY_SI_QTY,ARTO FP Equity_DX_BROKER_SI_QTY,ARTO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ARTO FP Equity_DX_BROKER_SI_QTY_ADD,ARTO FP Equity_DX_BROKER_SI_MV_ADD,ARTO FP Equity_DX_BROKER_SI_QTY_DEC,ARTO FP Equity_DX_SUPPLY_SI_MV,ARTO FP Equity_DX_BROKER_SI_MV_DEC,ARTO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ARTO FP Equity_DX_UTILIZATION_QUANTITY,ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ARTO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ARTO FP Equity_DX_ACTIVE_UTILIZATION_MV,ARTO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ARTO FP Equity_DX_BROKER_SI_CON_RATIO,ARTO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ARTO FP Equity_DX_DEMAND_SUPPLY_RATIO,ARTO FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,379.598
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,378.074
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,358.255
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,329.29
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,342.705
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,338.437
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,334.626
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,333.863
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,336.912
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,343.01
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,339.961
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,332.339
1989-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,329.29
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,329.29
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,336.912
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,321.667
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,321.82
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,333.863
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,333.863
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,332.339
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,335.083
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,329.442
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,330.052
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,336.15
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,330.052
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,331.577
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,332.339
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,319.228
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,326.241
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,332.339
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,319.228
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,326.241
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,326.241
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,313.283
1989-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,313.283
1989-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1989-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1989-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,317.094
1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,329.29
1989-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,328.528
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,329.29
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,328.07
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,323.192
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,323.192
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,320.905
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,321.667
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,320.143
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,315.569
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,315.265
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,313.435
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,313.283
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,320.143
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,314.045
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,306.27
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,309.624
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,308.252
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,312.52
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,310.996
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,310.234
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,309.472
1990-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,309.472
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,297.428
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,298.8
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,304.898
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,301.849
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,301.849
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,311.758
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,307.947
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,307.947
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,307.947
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,303.526
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,297.276
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,305.66
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,313.283
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,323.344
1990-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,327.918
1990-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,328.07
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,345.297
1990-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,336.912
1990-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,346.822
1990-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,339.961
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,349.108
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,341.486
1990-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,323.344
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,320.143
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,327.765
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,328.528
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,323.192
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,318.618
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,310.234
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,340.876
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,352.157
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,350.633
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,355.968
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,352.31
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,346.059
1990-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,341.486
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,335.388
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,342.858
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,344.535
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,348.346
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,349.108
