,ALNSE FP Equity_DX_SI_QTY,ALNSE FP Equity_DX_SHORT_INTEREST_VALUE,ALNSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNSE FP Equity_DX_SI_MV,ALNSE FP Equity_DX_DSS,ALNSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNSE FP Equity_DX_SUPPLY_SI_QTY,ALNSE FP Equity_DX_BROKER_SI_QTY,ALNSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNSE FP Equity_DX_BROKER_SI_MV_NEW_x,ALNSE FP Equity_DX_BROKER_SI_QTY_ADD,ALNSE FP Equity_DX_BROKER_SI_QTY_NEW,ALNSE FP Equity_DX_SUPPLY_SI_MV_DEC,ALNSE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNSE FP Equity_DX_BROKER_SI_MV_NEW_y,ALNSE FP Equity_DX_BROKER_SI_MV_ADD,ALNSE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNSE FP Equity_DX_BROKER_SI_QTY_DEC,ALNSE FP Equity_DX_SUPPLY_SI_MV,ALNSE FP Equity_DX_BROKER_SI_MV_DEC,ALNSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNSE FP Equity_DX_UTILIZATION_QUANTITY,ALNSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNSE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNSE FP Equity_DX_BROKER_SI_CON_RATIO,ALNSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNSE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNSE FP Equity_PX_LAST
2006-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2006-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2006-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
2006-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2006-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2006-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
2006-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2006-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2006-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26
2006-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2006-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2006-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2006-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
2006-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72
2006-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2006-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2006-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2006-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2006-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2006-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2006-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31
2006-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2006-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74
2006-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2006-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2006-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2006-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2006-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2006-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98
2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85
2007-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19
2007-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17
2007-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89
2007-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58
2007-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74
2007-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2007-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
