,ISRD FP Equity_PX_LAST
2024-12-03,9.511
2024-12-04,9.528
2024-12-05,10.092
2024-12-06,10.091
2024-12-09,10.104
2024-12-10,10.116
2024-12-11,10.136
2024-12-12,10.106
2024-12-13,10.066
2024-12-16,10.039
2024-12-17,10.033
2024-12-18,10.054
2024-12-19,10.022
2024-12-20,10.019
2024-12-23,10.003
2024-12-24,9.986
2024-12-27,9.98
2024-12-30,10.045
2024-12-31,10.054
2025-01-02,10.161
2025-01-03,10.116
2025-01-06,9.995
2025-01-07,9.957
2025-01-08,10.04
2025-01-09,10.069
2025-01-10,10.065
2025-01-13,10.076
2025-01-14,9.971
2025-01-15,10.074
2025-01-16,10.094
2025-01-17,10.11
2025-01-20,10.007
2025-01-21,10.029
2025-01-22,10.018
2025-01-23,10.006
2025-01-24,9.922
2025-01-27,9.973
2025-01-28,10.037
2025-01-29,10.054
2025-01-30,10.062
2025-01-31,10.107
2025-02-03,10.18
2025-02-04,10.109
2025-02-05,10.133
2025-02-06,10.166
2025-02-07,10.158
2025-02-10,10.198
2025-02-11,10.135
2025-02-12,10.062
2025-02-13,10.06
2025-02-14,10.05
2025-02-17,10.057
2025-02-18,10.059
2025-02-19,10.098
2025-02-20,10.051
2025-02-21,10.103
2025-02-24,10.117
2025-02-25,10.132
2025-02-26,10.135
2025-02-27,10.229
2025-02-28,10.241
2025-03-03,10.175
2025-03-04,10.146
2025-03-05,9.899
2025-03-06,9.803
2025-03-07,9.804
2025-03-10,9.841
2025-03-11,9.716
2025-03-12,9.68
2025-03-13,9.713
2025-03-14,9.721
2025-03-17,9.715
2025-03-18,9.689
2025-03-19,9.749
2025-03-20,9.823
2025-03-21,9.833
2025-03-24,9.82
2025-03-25,9.817
2025-03-26,9.805
2025-03-27,9.773
2025-03-28,9.784
2025-03-31,9.834
2025-04-01,9.866
2025-04-02,9.815
2025-04-03,9.649
2025-04-04,9.749
2025-04-07,9.674
2025-04-08,9.632
2025-04-09,9.328
2025-04-10,9.338
2025-04-11,9.067
2025-04-14,9.228
2025-04-15,9.264
2025-04-16,9.235
2025-04-17,9.261
2025-04-22,9.118
2025-04-23,9.28
2025-04-24,9.287
2025-04-25,9.323
2025-04-28,9.336
2025-04-29,9.339
2025-04-30,9.391
2025-05-02,9.322
2025-05-05,9.306
2025-05-06,9.294
2025-05-07,9.333
2025-05-08,9.386
2025-05-09,9.377
2025-05-12,9.489
2025-05-13,9.449
2025-05-14,9.391
2025-05-15,9.428
2025-05-16,9.486
2025-05-19,9.371
2025-05-20,9.377
2025-05-21,9.278
2025-05-22,9.28
2025-05-23,9.28
2025-05-26,9.239
2025-05-27,9.335
2025-05-28,9.348
2025-05-29,9.343
2025-05-30,9.358
2025-06-02,9.27
2025-06-03,9.329
2025-06-04,9.344
2025-06-05,9.321
2025-06-06,9.32
2025-06-09,9.307
2025-06-10,9.304
2025-06-11,9.285
2025-06-12,9.245
2025-06-13,9.237
2025-06-16,9.221
2025-06-17,9.262
2025-06-18,9.298
2025-06-19,9.321
2025-06-20,9.269
2025-06-23,9.3
2025-06-24,9.26
2025-06-25,9.245
2025-06-26,9.201
2025-06-27,9.206
2025-06-30,9.204
2025-07-01,9.198
2025-07-02,9.196
2025-07-03,9.205
2025-07-04,9.185
2025-07-07,9.18
2025-07-08,9.182
2025-07-09,9.187
2025-07-10,9.233
2025-07-11,9.188
2025-07-14,9.183
2025-07-15,9.223
2025-07-16,9.165
2025-07-17,9.276
2025-07-18,9.231
2025-07-21,9.232
2025-07-22,9.221
2025-07-23,9.206
2025-07-24,9.176
2025-07-25,9.204
2025-07-28,9.293
2025-07-29,9.402
2025-07-30,9.438
2025-07-31,9.49
2025-08-01,9.433
2025-08-04,9.438
2025-08-05,9.441
2025-08-06,9.389
2025-08-07,9.408
2025-08-08,9.347
2025-08-11,9.406
2025-08-12,9.332
2025-08-13,9.356
2025-08-14,9.385
2025-08-15,9.329
2025-08-18,9.348
2025-08-19,9.35
2025-08-20,9.362
2025-08-21,9.37
2025-08-22,9.345
2025-08-25,9.366
2025-08-26,9.366
2025-08-27,9.42
2025-08-28,9.402
2025-08-29,9.348
