,GDS FP Equity_DX_SI_QTY,GDS FP Equity_DX_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GDS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GDS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GDS FP Equity_DX_SI_MV,GDS FP Equity_DX_DSS,GDS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY,GDS FP Equity_DX_BROKER_SI_QTY,GDS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GDS FP Equity_DX_BROKER_SI_MV_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_x,GDS FP Equity_DX_BROKER_SI_MV_INC_x,GDS FP Equity_DX_SUPPLY_SI_MV_NEW,GDS FP Equity_DX_BROKER_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_NEW,GDS FP Equity_DX_SUPPLY_SI_MV_DEC,GDS FP Equity_DX_BROKER_SI_QTY_INC,GDS FP Equity_DX_SUPPLY_SI_QTY_DEC,GDS FP Equity_DX_BROKER_SI_MV_NEW_y,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GDS FP Equity_DX_BROKER_SI_MV_INC_y,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_y,GDS FP Equity_DX_BROKER_SI_MV_ADD,GDS FP Equity_DX_SUPPLY_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_DEC,GDS FP Equity_DX_SUPPLY_SI_MV,GDS FP Equity_DX_BROKER_SI_MV_DEC,GDS FP Equity_DX_SUPPLY_SI_MV_RMV,GDS FP Equity_DX_BROKER_SI_MV_RMV,GDS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GDS FP Equity_DX_UTILIZATION_QUANTITY,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GDS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GDS FP Equity_DX_ACTIVE_UTILIZATION_MV,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GDS FP Equity_DX_BROKER_SI_CON_RATIO,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GDS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,104534.0,1168684.5,0.43,1.44,0.27,3.03,0.0,689735.6,42840.0,61694.0,478948.9,,,414.0,0.29,,,,,10000.0,,,,0.29,414.0,,,13.0,1.24,0.0,,,0.95,0.95,4488108.0,50176806.21,,128.33,0.96,40.98,0.3788,43.05,0.0231
2006-01-11,316863.0,3187545.48,1.31,2.68,0.81,9.33,0.0,3187535.42,0.0,316862.0,0.0,,,,7.54,,,,1.24,255168.0,42840.0,,,7.54,,,,,0.0,,,,0.0,0.0,4030643.0,40547043.62,,115.01,0.0,39.13,0.5236,60.87,0.0786
2006-01-18,438084.0,4120438.62,1.81,2.66,1.12,11.99,1.0,1630938.76,264683.0,173401.0,2489499.85,,,,0.01,,6992.0,,,9796.0,,,,0.01,,0.19,264683.0,160250.0,7.25,4.79,,,6.71,6.71,3681081.0,34622739.7,,98.56,6.85,18.81,0.6316,77.16,0.111
2006-01-25,59380.0,513412.9,0.25,0.32,0.15,1.33,0.0,494633.3,15199.0,57208.0,131413.99,,,,0.2,,,,7.25,17603.0,264683.0,,,0.2,,,15199.0,133796.0,0.34,3.66,,,0.37,0.37,4111075.0,35545283.9,,92.32,0.37,30.35,0.5058,64.08,0.0144
2006-02-01,64859.0,577852.96,0.27,0.26,0.17,1.47,0.0,577852.96,23490.0,64859.0,209281.15,,,8291.0,0.2,,,,,8894.0,,,,0.2,8291.0,,,1242.0,0.53,0.02,,,0.53,0.53,4394137.0,39149001.57,,99.5,0.53,40.48,0.4657,54.73,0.0147
2006-02-08,374065.0,3301747.96,1.55,1.35,0.96,10.24,0.0,3301747.96,43282.0,374065.0,382035.89,,,19792.0,5.87,,106104.0,,,203618.0,,,,5.87,19792.0,2.91,,516.0,1.19,0.0,,,1.15,1.15,3712513.0,32769123.65,,97.38,1.2,28.37,0.4394,58.63,0.0996
2006-02-15,218052.0,1930410.79,0.9,0.72,0.56,5.91,0.0,1758264.53,74894.0,198607.0,663035.36,,,4075.0,0.34,,,,,13501.0,,,,0.34,4075.0,,27537.0,188959.0,1.97,5.19,,,2.06,2.06,3557146.0,31491355.43,,92.49,2.09,26.84,0.4231,57.54,0.06
2006-02-22,272106.0,2475439.04,1.13,0.98,0.7,7.31,0.0,2234805.47,84522.0,245655.0,768924.82,,,9629.0,0.59,,23250.0,,,23798.0,,,,0.59,9629.0,0.62,,,2.23,,,,2.64,2.64,3115279.0,28340732.11,,80.75,2.68,24.54,0.3449,51.27,0.085
2006-03-01,579532.0,5315767.76,2.4,2.18,1.48,14.9,1.0,3438556.9,265575.0,374876.0,2435991.5,,178510.0,1521.0,3.05,4.58,,,0.02,129222.0,603.0,,178510.0,3.05,1521.0,,1625.0,,6.8,,,,6.69,6.69,3704918.0,33983427.44,,93.65,6.77,11.8,0.5829,74.99,0.146
2006-03-08,976270.0,8679602.58,4.04,3.84,2.5,24.55,1.0,5336923.84,436742.0,600290.0,3882887.92,,,778.0,5.59,,,,0.16,228232.0,963.0,,,5.59,778.0,,171353.0,2819.0,10.9,0.07,,,10.84,10.84,3591577.0,31931188.11,,88.92,10.92,23.92,0.4341,60.78,0.2424
