,MTC FP Equity_DX_SI_QTY,MTC FP Equity_DX_SHORT_INTEREST_VALUE,MTC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MTC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MTC FP Equity_DX_SI_MV,MTC FP Equity_DX_DSS,MTC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MTC FP Equity_DX_SUPPLY_SI_QTY,MTC FP Equity_DX_BROKER_SI_QTY,MTC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MTC FP Equity_DX_BROKER_SI_MV_NEW_x,MTC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MTC FP Equity_DX_SUPPLY_SI_QTY_INC_x,MTC FP Equity_DX_BROKER_SI_MV_INC_x,MTC FP Equity_DX_SUPPLY_SI_MV_NEW,MTC FP Equity_DX_BROKER_SI_QTY_ADD,MTC FP Equity_DX_BROKER_SI_QTY_NEW,MTC FP Equity_DX_SUPPLY_SI_MV_DEC,MTC FP Equity_DX_BROKER_SI_QTY_INC,MTC FP Equity_DX_SUPPLY_SI_QTY_DEC,MTC FP Equity_DX_BROKER_SI_MV_NEW_y,MTC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MTC FP Equity_DX_BROKER_SI_MV_INC_y,MTC FP Equity_DX_SUPPLY_SI_QTY_INC_y,MTC FP Equity_DX_BROKER_SI_MV_ADD,MTC FP Equity_DX_SUPPLY_SI_QTY_ADD,MTC FP Equity_DX_BROKER_SI_QTY_DEC,MTC FP Equity_DX_SUPPLY_SI_MV,MTC FP Equity_DX_BROKER_SI_MV_DEC,MTC FP Equity_DX_SUPPLY_SI_MV_RMV,MTC FP Equity_DX_BROKER_SI_MV_RMV,MTC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MTC FP Equity_DX_UTILIZATION_QUANTITY,MTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MTC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MTC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MTC FP Equity_DX_ACTIVE_UTILIZATION_MV,MTC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MTC FP Equity_DX_BROKER_SI_CON_RATIO,MTC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MTC FP Equity_DX_DEMAND_SUPPLY_RATIO,MTC FP Equity_PX_LAST
2007-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23
2007-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23
2007-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.12
2007-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95
2007-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.85
2007-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.89
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.96
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06
2007-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.26
2007-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.42
2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2007-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45
2007-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.31
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.04
2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.97
2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.13
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2007-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.36
2007-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.28
2007-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.31
2007-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2007-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.21
2007-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45
2007-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.72
2007-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.01
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.07
2007-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.05
2007-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.29
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.26
2007-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3
2007-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.23
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.05
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.23
2007-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.37
2007-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.52
2007-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.32
2007-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.33
2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.19
2007-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3
2007-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.26
2007-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.21
2007-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96
2007-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96
2007-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.88
2007-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.87
2007-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.73
2007-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.73
2007-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6
2007-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6
2007-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.74
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.64
