,ALLDL FP Equity_DX_SI_QTY,ALLDL FP Equity_DX_SHORT_INTEREST_VALUE,ALLDL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLDL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLDL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLDL FP Equity_DX_SI_MV,ALLDL FP Equity_DX_DSS,ALLDL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLDL FP Equity_DX_SUPPLY_SI_QTY,ALLDL FP Equity_DX_BROKER_SI_QTY,ALLDL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLDL FP Equity_DX_BROKER_SI_MV_NEW_x,ALLDL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALLDL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLDL FP Equity_DX_BROKER_SI_MV_INC_x,ALLDL FP Equity_DX_SUPPLY_SI_MV_NEW,ALLDL FP Equity_DX_BROKER_SI_QTY_ADD,ALLDL FP Equity_DX_BROKER_SI_QTY_NEW,ALLDL FP Equity_DX_SUPPLY_SI_MV_DEC,ALLDL FP Equity_DX_BROKER_SI_QTY_INC,ALLDL FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLDL FP Equity_DX_BROKER_SI_MV_NEW_y,ALLDL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALLDL FP Equity_DX_BROKER_SI_MV_INC_y,ALLDL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLDL FP Equity_DX_BROKER_SI_MV_ADD,ALLDL FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLDL FP Equity_DX_BROKER_SI_QTY_DEC,ALLDL FP Equity_DX_SUPPLY_SI_MV,ALLDL FP Equity_DX_BROKER_SI_MV_DEC,ALLDL FP Equity_DX_SUPPLY_SI_MV_RMV,ALLDL FP Equity_DX_BROKER_SI_MV_RMV,ALLDL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLDL FP Equity_DX_UTILIZATION_QUANTITY,ALLDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLDL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLDL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALLDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLDL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLDL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLDL FP Equity_DX_BROKER_SI_CON_RATIO,ALLDL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLDL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
