,SBT FP Equity_DX_SI_QTY,SBT FP Equity_DX_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SBT FP Equity_DX_SI_MV,SBT FP Equity_DX_DSS,SBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY,SBT FP Equity_DX_BROKER_SI_QTY,SBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SBT FP Equity_DX_BROKER_SI_MV_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,SBT FP Equity_DX_BROKER_SI_MV_INC_x,SBT FP Equity_DX_SUPPLY_SI_MV_NEW,SBT FP Equity_DX_BROKER_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_NEW,SBT FP Equity_DX_SUPPLY_SI_MV_DEC,SBT FP Equity_DX_BROKER_SI_QTY_INC,SBT FP Equity_DX_SUPPLY_SI_QTY_DEC,SBT FP Equity_DX_BROKER_SI_MV_NEW_y,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SBT FP Equity_DX_BROKER_SI_MV_INC_y,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,SBT FP Equity_DX_BROKER_SI_MV_ADD,SBT FP Equity_DX_SUPPLY_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_DEC,SBT FP Equity_DX_SUPPLY_SI_MV,SBT FP Equity_DX_BROKER_SI_MV_DEC,SBT FP Equity_DX_SUPPLY_SI_MV_RMV,SBT FP Equity_DX_BROKER_SI_MV_RMV,SBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SBT FP Equity_DX_UTILIZATION_QUANTITY,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SBT FP Equity_DX_ACTIVE_UTILIZATION_MV,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SBT FP Equity_DX_BROKER_SI_CON_RATIO,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,185000.0,245512.21,0.85,3.84,0.44,0.25,0.0,245512.21,0.0,185000.0,0.0,0.03,,,0.02,,,20000.0,,15000.0,,0.03,,0.02,,,,,0.0,,,,0.0,0.0,1020436.0,1354213.51,,1.38,0.0,12.48,0.7816,87.52,0.1813
2006-01-11,203000.0,255584.51,0.94,3.52,0.48,0.28,0.0,255584.51,0.0,203000.0,0.0,,,,0.03,,,,,18000.0,,,,0.03,,,,,0.0,,,,0.0,0.0,958207.0,1206418.05,,1.3,0.0,10.57,0.8109,89.43,0.2119
2006-01-18,193000.0,238068.58,0.89,2.98,0.45,0.26,0.0,238068.58,0.0,193000.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.01,,,0.0,0.0,931418.0,1148918.97,,1.27,0.0,11.17,0.8015,88.83,0.2072
2006-01-25,193000.0,244635.99,0.89,2.8,0.45,0.26,0.0,244635.99,0.0,193000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,948145.0,1201815.5,,1.29,0.0,11.31,0.7994,88.69,0.2036
2006-02-01,173000.0,278153.6,0.8,1.49,0.41,0.25,0.0,278153.6,0.0,173000.0,0.0,,,,,,,,,,,,,,,,,20000.0,0.0,0.03,,,0.0,0.0,1188245.0,1910489.14,,1.68,0.0,15.42,0.7391,84.58,0.1456
2006-02-08,209000.0,318255.63,0.96,1.48,0.49,0.33,0.0,318255.63,0.0,209000.0,0.0,,,,0.09,,,,,36000.0,,,,0.09,,,,,0.0,,,,0.0,0.0,910217.0,1386036.75,,1.54,0.0,10.81,0.8072,89.19,0.2296
2006-02-15,209000.0,320033.59,0.96,1.51,0.49,0.33,0.0,320033.59,0.0,209000.0,0.0,0.04,,,,,,20000.0,,,,0.04,,,,,,,0.0,,,0.04,0.0,0.0,937771.0,1435972.35,,1.67,0.0,10.86,0.8063,89.14,0.2229
2006-02-22,221000.0,376009.69,1.02,1.27,0.52,0.36,0.0,376009.69,0.0,221000.0,0.0,,,,0.02,,,,,12000.0,,,,0.02,,,,,0.0,,,,0.0,0.0,967381.0,1645903.32,,1.9,0.0,11.11,0.8025,88.89,0.2285
2006-03-01,221000.0,404210.42,1.02,1.05,0.52,0.45,0.0,404210.42,12016.0,221000.0,21977.34,,,,,,,,,,,,,,,,12016.0,,0.02,,,,1.27,1.27,931880.0,1704414.51,,1.92,1.25,9.64,0.8257,90.36,0.2341
2006-03-08,221000.0,374129.65,1.02,0.92,0.52,0.44,0.0,374129.65,12575.0,221000.0,21288.15,,,559.0,,,,,,,,,,,559.0,,,,0.03,,,,1.33,1.33,934308.0,1581684.71,,1.94,1.28,8.99,0.8364,91.01,0.2334
