,CB3 FP Equity_DX_SI_QTY,CB3 FP Equity_DX_SHORT_INTEREST_VALUE,CB3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CB3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CB3 FP Equity_DX_SI_MV,CB3 FP Equity_DX_DSS,CB3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CB3 FP Equity_DX_SUPPLY_SI_QTY,CB3 FP Equity_DX_BROKER_SI_QTY,CB3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CB3 FP Equity_DX_BROKER_SI_MV_NEW_x,CB3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CB3 FP Equity_DX_BROKER_SI_MV_INC_x,CB3 FP Equity_DX_BROKER_SI_QTY_ADD,CB3 FP Equity_DX_BROKER_SI_QTY_NEW,CB3 FP Equity_DX_SUPPLY_SI_MV_DEC,CB3 FP Equity_DX_BROKER_SI_QTY_INC,CB3 FP Equity_DX_SUPPLY_SI_QTY_DEC,CB3 FP Equity_DX_BROKER_SI_MV_NEW_y,CB3 FP Equity_DX_BROKER_SI_MV_INC_y,CB3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CB3 FP Equity_DX_BROKER_SI_MV_ADD,CB3 FP Equity_DX_SUPPLY_SI_QTY_ADD,CB3 FP Equity_DX_BROKER_SI_QTY_DEC,CB3 FP Equity_DX_SUPPLY_SI_MV,CB3 FP Equity_DX_BROKER_SI_MV_DEC,CB3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CB3 FP Equity_DX_UTILIZATION_QUANTITY,CB3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CB3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CB3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CB3 FP Equity_DX_ACTIVE_UTILIZATION_MV,CB3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CB3 FP Equity_DX_BROKER_SI_CON_RATIO,CB3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CB3 FP Equity_DX_DEMAND_SUPPLY_RATIO,CB3 FP Equity_PX_LAST
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.17
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.17
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.21
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.52
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.21
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.33
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.32
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.69
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.71
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.38
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.41
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.67
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.92
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.73
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.82
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.59
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.27
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.23
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.37
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.17
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.83
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.57
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.92
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.97
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.89
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.76
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.56
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.56
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.36
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.43
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.28
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.76
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.67
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.94
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.73
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.86
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.17
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.29
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.06
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.53
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.09
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.92
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.89
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.74
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.96
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.65
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.91
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.26
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.93
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.64
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.92
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.19
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.97
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.94
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.78
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.26
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.2
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.65
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.02
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.02
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.78
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.99
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.54
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.49
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.49
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.34
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.18
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.34
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.21
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.58
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.96
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.2
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.18
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.01
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.64
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.93
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.07
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.73
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.4
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.55
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.74
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.14
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.97
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.36
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.28
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.57
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.59
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.12
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.94
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.9
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.82
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.95
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.68
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.05
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.14
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.44
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.22
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.09
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.44
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.55
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.34
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.52
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.49
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.73
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.88
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.59
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.23
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.37
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.73
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.59
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.45
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.71
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.03
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.67
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.92
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.56
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.39
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.55
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.33
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.61
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.44
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.28
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.01
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.14
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.97
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.1
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.07
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.29
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.68
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.7
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.63
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.62
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.94
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.46
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.46
2010-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.54
2010-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.51
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.46
2010-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.53
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.77
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.23
2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.71
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.68
2010-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.92
2010-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.19
2010-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.11
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.05
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.22
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.38
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6
2010-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.85
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.98
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.23
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.73
2010-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.15
2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.08
2010-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.94
2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.03
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.22
2010-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9
2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.92
2010-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.87
2010-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.33
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.21
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.05
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.79
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.36
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.84
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.13
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.07
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.11
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.99
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.25
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.59
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.74
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.91
2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.17
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.17
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.17
2010-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7
2010-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.13
2010-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.06
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.27
2010-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.49
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7
2010-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.16
2010-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.48
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.69
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.73
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.4
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.95
2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.39
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.37
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.34
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.04
2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.53
2010-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.08
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.41
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.05
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.17
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.1
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.14
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.29
