,ALKKO FP Equity_DX_SI_QTY,ALKKO FP Equity_DX_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKKO FP Equity_DX_SI_MV,ALKKO FP Equity_DX_DSS,ALKKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SUPPLY_SI_QTY,ALKKO FP Equity_DX_BROKER_SI_QTY,ALKKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKKO FP Equity_DX_BROKER_SI_MV_INC_x,ALKKO FP Equity_DX_BROKER_SI_QTY_ADD,ALKKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALKKO FP Equity_DX_BROKER_SI_QTY_INC,ALKKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKKO FP Equity_DX_BROKER_SI_MV_INC_y,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKKO FP Equity_DX_BROKER_SI_MV_ADD,ALKKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKKO FP Equity_DX_BROKER_SI_QTY_DEC,ALKKO FP Equity_DX_SUPPLY_SI_MV,ALKKO FP Equity_DX_BROKER_SI_MV_DEC,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKKO FP Equity_DX_BROKER_SI_CON_RATIO,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALKKO FP Equity_PX_LAST
2015-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
2015-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2015-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
2015-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33
2015-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2015-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2015-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
2015-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
2015-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
2015-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09
2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09
2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2015-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2015-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2015-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86
2015-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2015-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2015-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2015-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2015-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2015-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2015-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2015-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
