,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_x,SAF FP Equity_y,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity,SAF FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,9083948.0,144330027.19,3.67,10.27,2.18,186.14,1.0,130990052.63,4811950.0,8244347.0,76454518.93,8.68,,32197.0,0.33,,,420000.0,5.15,13946.0,297359.0,8.68,,0.33,32197.0,,,380277.0,98.63,5.04,,,30.95,30.95,10735126.0,170564717.83,,220.58,30.9,6.16,0.5743,75.19,0.5843
2006-01-11,7224001.0,116888416.41,2.92,8.35,1.73,141.31,1.0,104209956.86,4703873.0,6440440.0,76111321.96,,,149581.0,13.23,,,,5.64,830963.0,270657.0,,,13.23,149581.0,,13000.0,2634869.0,94.12,56.88,,,29.08,29.08,11471641.0,185617630.75,,230.94,28.95,15.39,0.3664,57.65,0.4466
2006-01-18,7450097.0,122207516.85,3.01,8.76,1.79,151.86,1.0,108041947.25,4961432.0,6586526.0,81384750.39,,,341565.0,7.13,,,,0.29,153924.0,123382.0,,,7.13,341565.0,,39376.0,7839.0,102.97,0.02,,,29.56,29.56,11821758.0,193917970.45,,245.73,29.53,15.79,0.3564,56.62,0.4439
2006-01-25,9491596.0,159780927.12,3.84,11.87,2.28,202.68,1.0,145263643.04,4828986.0,8629214.0,81290845.09,,200000.0,561.0,73.89,4.36,,,0.0,3274830.0,126799.0,,200000.0,73.89,561.0,,8400.0,1232142.0,103.95,23.74,4.38,,29.96,29.96,11290256.0,190059455.87,214609.0,244.1,29.87,5.18,0.6188,78.21,0.5888
2006-02-01,9284587.0,156652991.22,3.75,12.25,2.23,199.02,1.0,138236933.87,4784213.0,8193095.0,80721013.99,,,207654.0,3.62,,,,7.38,155747.0,343135.0,,,3.62,207654.0,,90708.0,591865.0,103.09,12.24,,,29.61,29.61,11371815.0,191869475.23,,246.42,29.5,6.61,0.5532,73.58,0.5747
2006-02-08,8605397.0,142679846.43,3.48,12.12,2.06,177.74,1.0,124804154.83,4648832.0,7527267.0,77078911.74,,,166965.0,0.19,,1278398.0,,6.65,14251.0,302347.0,,,0.19,166965.0,25.12,,1958477.0,97.93,45.7,,,26.84,26.84,12672864.0,210119566.75,,267.94,26.77,14.55,0.3796,58.91,0.4968
2006-02-15,10899707.0,186166037.74,4.41,14.52,2.61,226.81,1.0,161349557.38,4868137.0,9446744.0,83147352.17,9.31,7730.0,209719.0,43.58,0.14,,419126.0,4.56,2047590.0,211000.0,9.31,7730.0,43.58,209719.0,,212856.0,128114.0,102.98,2.78,,9.04,28.18,28.18,12404673.0,211870724.77,,265.73,27.93,13.75,0.4521,65.3,0.631
2006-02-22,10951101.0,174838011.42,4.43,12.68,2.63,226.49,1.0,155906155.86,5193395.0,9765291.0,82914298.24,,,102499.0,13.59,,,,10.44,634098.0,470607.0,,,13.59,102499.0,,693366.0,315552.0,107.95,7.76,,,31.83,31.83,11122631.0,177576545.57,,231.18,31.83,13.54,0.3986,60.63,0.6712
2006-03-01,10632500.0,178659916.35,4.3,12.98,2.55,224.09,1.0,155906313.66,5385231.0,9278376.0,90489059.02,,91045.0,53727.0,3.24,1.92,,,0.0,26003.0,2886.0,,91045.0,3.24,53727.0,,76280.0,512917.0,114.21,9.9,0.47,,32.21,32.21,11334102.0,190449067.97,26330.0,241.54,32.1,11.02,0.4159,62.61,0.6359
2006-03-08,10426635.0,161014758.41,4.22,12.4,2.5,218.1,1.0,142491452.13,5240556.0,9227144.0,80928013.52,,,74257.0,7.04,,,,5.87,332036.0,252425.0,,,7.04,74257.0,,33494.0,383268.0,109.53,9.86,,,31.68,31.68,11301333.0,174522403.7,,234.66,31.82,13.24,0.3998,60.83,0.6303
2006-03-15,10809675.0,168674818.7,4.37,12.53,2.59,220.97,1.0,143803398.03,5866802.0,9215768.0,91545931.19,,,192073.0,4.07,,,,2.42,201630.0,101656.0,,,4.07,192073.0,,535828.0,213007.0,119.27,8.27,,,34.63,34.63,11075298.0,172819615.96,,225.18,34.63,13.84,0.3661,57.74,0.638
2006-03-22,9934606.0,157463857.42,4.02,11.16,2.38,206.51,1.0,130865691.0,5851122.0,8256492.0,92740491.2,,,20839.0,10.91,,,,1.41,501321.0,110661.0,,,10.91,20839.0,,74142.0,1460596.0,121.49,27.92,,,34.56,34.56,11076866.0,175568718.92,,229.72,34.59,14.35,0.2875,49.17,0.5869
2006-03-29,11588462.0,185280926.3,4.69,12.57,2.78,241.41,1.0,158712911.76,5834720.0,9926756.0,93287817.34,,,3011.0,36.71,,,,0.32,1753311.0,18055.0,,,36.71,3011.0,,7456.0,83048.0,121.3,1.74,0.18,,34.1,34.1,11278194.0,180320238.47,8814.0,234.42,34.1,11.88,0.3318,54.64,0.6772
2006-04-05,11887831.0,191072520.5,4.81,15.06,2.85,249.51,1.0,147827121.78,6178702.0,9197261.0,99309972.07,,,64768.0,4.11,,29000.0,,0.29,186779.0,16135.0,,,4.11,64768.0,0.61,295348.0,166522.0,129.64,2.4,,17.7,34.73,34.73,11610104.0,186608628.15,,243.46,34.75,12.02,0.306,52.17,0.6683
2006-04-12,12447123.0,195182432.38,5.03,17.03,2.98,257.67,1.0,160599228.94,3795577.0,10241692.0,59518167.46,3.56,,133018.0,11.68,,233396.0,171713.0,14.99,672489.0,690996.0,3.56,,11.68,133018.0,4.82,207108.0,33166.0,77.77,0.77,42.65,,31.68,31.68,8185854.0,128361782.47,2032254.0,167.19,31.75,15.02,0.3041,51.34,1.0389
