,3297B FP Equity_PX_LAST
2007-04-02,102.0
2007-04-03,103.7
2007-04-04,103.9
2007-04-05,103.8
2007-04-10,103.8
2007-04-11,104.0
2007-04-12,102.5
2007-04-13,103.5
2007-04-16,104.1
2007-04-17,104.5
2007-04-18,104.8
2007-04-19,104.2
2007-04-23,105.6
2007-04-25,105.3
2007-04-26,105.9
2007-04-27,105.9
2007-04-30,106.1
2007-05-02,105.8
2007-05-03,105.8
2007-05-07,106.8
2007-05-10,106.5
2007-05-11,105.9
2007-05-15,105.2
2007-05-16,104.3
2007-05-21,106.0
2007-05-22,107.2
2007-05-23,107.7
2007-05-25,106.3
2007-05-29,106.9
2007-05-30,106.3
2007-05-31,107.5
2007-06-01,109.15
2007-06-04,109.1
2007-06-05,109.0
2007-06-06,106.15
2007-06-07,106.1
2007-06-08,104.2
2007-06-11,105.1
2007-06-12,105.1
2007-06-14,106.1
2007-06-18,106.8
2007-06-19,106.4
2007-06-20,106.6
2007-06-21,106.0
2007-06-25,105.0
2007-06-27,103.9
2007-06-28,105.7
2007-06-29,105.4
2007-07-02,104.6
2007-07-05,104.6
2007-07-09,105.8
2007-07-10,105.6
2007-07-11,104.15
2007-07-13,104.5
2007-07-16,105.1
2007-07-17,104.7
2007-07-18,103.6
2007-07-23,103.8
2007-07-25,102.0
2007-07-27,97.7
2007-07-31,100.3
2007-08-01,99.35
2007-08-06,96.95
2007-08-16,93.45
2007-08-17,94.05
2007-08-28,97.0
2007-08-31,98.1
2007-09-06,98.35
2007-09-10,94.3
2007-09-11,93.75
2007-09-13,95.45
2007-09-19,98.85
2007-09-21,97.9
2007-09-24,97.35
2007-09-25,96.6
2007-09-26,96.9
2007-09-27,98.0
2007-10-01,99.0
2007-10-02,100.4
2007-10-08,102.0
2007-10-09,102.2
2007-10-11,103.3
2007-10-15,101.9
2007-10-22,98.8
2007-10-24,99.85
2007-10-30,99.9
2007-11-05,99.9
2007-11-08,94.5
2007-11-12,91.75
2007-11-13,91.85
2007-11-16,92.35
2007-11-20,88.85
2007-11-23,89.0
2007-11-27,88.45
2007-11-30,92.4
2007-12-03,93.65
2008-01-03,88.4
2008-01-04,87.55
2008-01-08,83.9
2008-01-10,81.8
2008-01-16,75.1
2008-01-18,74.75
2008-01-21,73.5
2008-01-24,77.85
2008-01-28,78.34
2008-01-30,78.55
2008-02-11,77.3
2008-02-12,79.45
2008-02-15,80.0
2008-02-19,79.9
2008-02-26,81.15
2008-02-29,79.1
2008-03-10,76.05
2008-04-10,74.55
2008-04-11,74.45
2008-04-29,79.55
2008-05-02,82.0
2008-05-15,83.25
2008-05-20,83.0
2008-05-21,81.65
2008-07-03,67.4
2008-08-22,73.3
2008-08-26,73.2
2008-09-01,75.95
2008-09-23,70.35
2008-10-08,57.8
2008-10-13,55.5
2008-10-16,52.65
2008-10-17,56.85
2008-10-21,60.0
2008-10-28,52.25
2008-10-29,54.7
2008-10-31,57.5
2008-11-04,60.0
2008-11-20,45.0
2008-11-21,44.73
2008-11-24,45.76
2008-12-01,49.45
2008-12-15,50.7
2009-01-05,53.45
2009-03-24,45.5
2009-03-25,45.4
2009-04-23,55.1
2009-04-29,55.35
2009-06-08,57.55
2009-06-16,56.1
2009-06-18,55.35
2009-06-22,54.85
2009-07-17,56.25
2009-07-21,57.55
2009-08-13,64.3
2009-09-10,67.0
2009-09-23,70.2
2009-10-16,71.15
2009-10-26,69.8
2009-11-12,72.2
2009-12-18,73.9
2010-02-08,74.7
2010-02-23,78.55
2010-02-24,78.85
2010-02-25,78.25
2010-02-26,78.8
2010-03-01,80.8
2010-03-02,81.28
2010-03-03,81.28
2010-03-04,81.35
2010-03-05,83.05
2010-03-08,83.25
2010-03-09,83.75
2010-03-10,84.05
2010-03-11,84.1
2010-03-12,84.4
2010-03-15,84.0
2010-03-16,84.35
2010-03-17,85.1
2010-03-18,85.9
2010-03-19,86.05
2010-03-22,86.65
2010-03-23,87.7
2010-03-24,88.3
2010-03-25,89.2
2010-03-26,89.0
2010-03-29,88.9
2010-03-30,88.85
2010-03-31,88.05
2010-04-01,89.2
2010-04-06,91.5
2010-04-07,90.95
2010-04-08,90.25
2010-04-09,91.4
2010-04-12,91.4
2010-04-13,92.05
2010-04-14,92.6
2010-04-15,93.05
2010-04-16,91.9
2010-04-19,91.1
2010-04-20,92.2
2010-04-21,92.6
2010-04-22,93.55
2010-04-23,95.2
2010-04-26,96.8
2010-04-27,94.4
2010-04-28,93.15
2010-04-29,94.05
2010-04-30,93.6
2010-05-03,94.15
2010-05-04,92.4
2010-05-05,92.2
2010-05-06,90.85
2010-05-07,86.7
2010-05-10,91.1
2010-05-11,92.35
2010-05-12,94.3
2010-05-13,95.0
2010-05-14,92.1
2010-05-17,91.4
2010-05-18,92.75
2010-05-19,89.6
2010-05-20,87.1
2010-05-21,86.45
2010-05-24,87.1
2010-05-25,85.3
2010-05-26,88.35
2010-05-27,90.1
2010-05-28,90.1
2010-05-31,90.45
2010-06-01,90.45
2010-06-02,90.5
2010-06-03,92.4
2010-06-04,90.85
2010-06-07,88.9
2010-06-08,87.75
2010-06-09,90.9
2010-06-10,91.75
2010-06-11,92.25
2010-06-14,93.6
2010-06-15,93.4
2010-06-16,93.8
2010-06-17,93.35
2010-06-18,94.1
2010-06-21,95.1
2010-06-22,93.95
2010-06-23,92.73
2010-06-24,90.85
2010-06-25,90.2
2010-06-28,91.3
2010-06-29,87.85
2010-06-30,86.95
2010-07-01,83.7
2010-07-02,83.1
2010-07-05,83.45
2010-07-06,84.2
2010-07-07,84.55
2010-07-08,86.0
2010-07-09,86.9
2010-07-12,86.4
2010-07-13,88.1
2010-07-14,88.25
2010-07-15,86.8
2010-07-16,85.4
2010-07-19,83.75
2010-07-20,84.4
2010-07-21,86.15
2010-07-22,88.25
2010-07-23,89.4
2010-07-26,90.35
2010-07-27,89.0
2010-07-28,88.8
2010-07-29,88.0
2010-07-30,88.15
2010-08-02,89.7
2010-08-03,89.05
2010-08-04,90.2
2010-08-05,90.5
2010-08-06,88.85
2010-08-09,90.35
2010-08-10,89.6
2010-08-11,88.0
2010-08-12,87.8
2010-08-13,88.0
2010-08-16,88.0
2010-08-17,89.2
2010-08-18,89.15
2010-08-19,87.95
2010-08-20,87.45
2010-08-23,88.15
2010-08-24,86.9
2010-08-25,86.15
2010-08-26,87.0
2010-08-27,86.65
2010-08-30,86.8
2010-08-31,86.25
2010-09-01,88.3
2010-09-02,89.2
2010-09-03,90.4
2010-09-06,90.5
2010-09-07,90.2
2010-09-08,90.88
2010-09-09,92.15
2010-09-10,92.2
2010-09-13,92.6
2010-09-14,92.75
2010-09-15,92.65
2010-09-16,91.6
2010-09-17,92.5
2010-09-20,94.0
2010-09-21,94.15
2010-09-22,91.75
2010-09-23,91.8
2010-09-24,93.0
2010-09-27,92.9
2010-09-28,92.85
2010-09-29,93.05
2010-09-30,93.0
2010-10-01,91.85
2010-10-04,92.3
2010-10-05,93.55
