,CP9 FP Equity_DX_DSS,CP9 FP Equity_PX_LAST
2009-03-04,,150.13
2009-03-05,,144.83
2009-03-06,,143.09
2009-03-09,,141.49
2009-03-10,,147.61
2009-03-11,,148.82
2009-03-12,,148.95
2009-03-13,,152.27
2009-03-16,,155.47
2009-03-17,,156.81
2009-03-19,,154.48
2009-03-20,,155.95
2009-03-23,,162.83
2009-03-24,,164.94
2009-03-25,,165.9
2009-03-26,,168.35
2009-03-27,,168.12
2009-03-30,,161.66
2009-03-31,,165.72
2009-04-01,,166.44
2009-04-02,,176.9
2009-04-03,,174.12
2009-04-06,,175.02
2009-04-07,,174.37
2009-04-08,,173.99
2009-04-09,,180.94
2009-04-14,,183.51
2009-04-15,,183.92
2009-04-16,,184.64
2009-04-17,,185.09
2009-04-20,,181.82
2009-04-21,,181.0
2009-04-22,,180.89
2009-04-23,,181.56
2009-04-24,,182.73
2009-04-27,,180.32
2009-04-28,,178.21
2009-04-29,,182.09
2009-04-30,,188.21
2009-05-04,,194.83
2009-05-05,,193.89
2009-05-06,,198.81
2009-05-07,,199.47
2009-05-08,,200.05
2009-05-11,,196.65
2009-05-12,,195.88
2009-05-13,,190.41
2009-05-14,,187.95
2009-05-15,,190.42
2009-05-18,,195.43
2009-05-19,,200.24
2009-05-20,,198.54
2009-05-21,,191.52
2009-05-22,,192.52
2009-05-25,,192.14
2009-05-26,,195.81
2009-05-27,,197.43
2009-05-28,,193.75
2009-05-29,,198.17
2009-06-01,,205.54
2009-06-02,,206.62
2009-06-03,,205.89
2009-06-04,,202.85
2009-06-05,,207.36
2009-06-08,,204.1
2009-06-09,,203.88
2009-06-10,,209.38
2009-06-11,,212.17
2009-06-12,,210.4
2009-06-15,,205.48
2009-06-16,,205.01
2009-06-17,,198.6
2009-06-18,,201.61
2009-06-19,,204.04
2009-06-22,,197.56
2009-06-23,,191.64
2009-06-24,,200.01
2009-06-25,,201.1
2009-06-26,,202.94
2009-06-29,,204.4
2009-06-30,,202.05
2009-07-01,,203.45
2009-07-02,,196.82
2009-07-03,,197.87
2009-07-06,,195.1
2009-07-07,,194.84
2009-07-08,,191.93
2009-07-09,,193.07
2009-07-10,,192.24
2009-07-13,,192.69
2009-07-14,,200.04
2009-07-15,,207.4
2009-07-16,,206.94
2009-07-17,,207.95
2009-07-20,,212.08
2009-07-21,,212.51
2009-07-22,,213.01
2009-07-23,,217.97
2009-07-24,,216.5
2009-07-27,,219.08
2009-07-28,,220.32
2009-07-29,,219.11
2009-07-30,,228.2
2009-07-31,,224.69
2009-08-03,,228.32
2009-08-04,,227.86
2009-08-05,,223.5
2009-08-06,,226.94
2009-08-07,,230.13
2009-08-10,,228.17
2009-08-11,,226.65
2009-08-12,,229.04
2009-08-13,,233.29
2009-08-14,,230.03
2009-08-17,,225.68
2009-08-18,,228.95
2009-08-19,,226.82
2009-08-20,,228.47
2009-08-21,,228.63
2009-08-24,,233.92
2009-08-25,,233.07
2009-08-26,,230.87
2009-08-27,,231.14
2009-08-28,,234.75
2009-08-31,,230.93
2009-09-01,,230.77
2009-09-02,,229.57
2009-09-03,,230.62
2009-09-04,,234.62
2009-09-07,,237.77
2009-09-08,,239.06
2009-09-09,,239.57
2009-09-10,,239.89
2009-09-11,,241.62
2009-09-14,,238.06
2009-09-15,,237.65
2009-09-16,,244.47
2009-09-17,,245.27
2009-09-18,,242.62
2009-09-21,,241.56
2009-09-22,,243.66
2009-09-23,,244.56
2009-09-24,,242.01
2009-09-25,,242.96
2009-09-28,,246.86
2009-09-29,,248.31
2009-09-30,,248.47
2009-10-01,,244.17
2009-10-02,,238.01
2009-10-05,,240.11
2009-10-06,,245.57
2009-10-07,,247.02
2009-10-08,,254.34
2009-10-09,,253.02
2009-10-12,,253.38
2009-10-13,,251.8
2009-10-14,,258.05
2009-10-15,,257.9
2009-10-16,,255.93
2009-10-19,,259.13
2009-10-20,,258.7
2009-10-21,,260.0
2009-10-22,,256.2
2009-10-23,,256.55
2009-10-26,,256.1
2009-10-27,,255.45
2009-10-28,,246.4
2009-10-29,,248.7
2009-10-30,,241.8
2009-11-02,,245.46
2009-11-03,,242.35
2009-11-04,,246.12
2009-11-05,,245.47
2009-11-06,,248.3
2009-11-09,,254.97
2009-11-10,,255.42
2009-11-11,,257.62
2009-11-12,,257.27
2009-11-13,,258.4
2009-11-16,,261.23
2009-11-17,,257.49
2009-11-18,,256.57
2009-11-19,,251.92
2009-11-20,,250.97
2009-11-23,,257.18
2009-11-24,,251.52
2009-11-25,,254.97
2009-11-26,,248.34
2009-11-27,,246.87
2009-11-30,,248.57
2009-12-01,,255.42
2009-12-02,,256.87
2009-12-03,,256.62
2009-12-04,,257.82
2009-12-07,,254.37
2009-12-08,,251.61
2009-12-09,,252.52
2009-12-10,,255.87
2009-12-11,,255.47
2009-12-14,,256.92
2009-12-15,,257.27
2009-12-16,,256.22
2009-12-17,,254.07
2009-12-18,,254.29
2009-12-21,,254.17
2009-12-22,,256.62
2009-12-23,,257.92
2009-12-28,,261.32
2009-12-29,,265.92
2009-12-30,,264.67
2010-01-04,,273.12
2010-01-05,,274.51
2010-01-06,,275.67
2010-01-07,,275.22
2010-01-08,,275.62
2010-01-11,,274.12
2010-01-12,,270.62
2010-01-13,,270.32
2010-01-14,,273.22
2010-01-15,,271.57
2010-01-18,,275.12
2010-01-19,,276.05
2010-01-20,,271.17
2010-01-21,,266.47
2010-01-22,,263.77
2010-01-25,,261.42
2010-01-26,,261.02
2010-01-27,,256.19
2010-01-28,,258.01
2010-01-29,,258.69
2010-02-01,,257.94
2010-02-02,,259.27
2010-02-03,,259.39
2010-02-04,,252.73
2010-02-05,,251.54
2010-02-08,,254.25
2010-02-09,,254.68
2010-02-10,,256.03
2010-02-11,,262.48
2010-02-12,,261.03
2010-02-15,,263.84
2010-02-16,,266.99
2010-02-17,,271.94
2010-02-18,,273.16
2010-02-19,,273.55
2010-02-22,,274.03
2010-02-23,,273.13
2010-02-24,,272.65
2010-02-25,,265.55
2010-02-26,,270.66
2010-03-01,,278.15
2010-03-02,,280.43
2010-03-03,,279.82
2010-03-04,,279.08
2010-03-05,,284.04
2010-03-08,,284.99
2010-03-09,,287.89
2010-03-10,,288.15
2010-03-11,,286.04
2010-03-12,,284.49
