,PASI FP Equity_DX_SI_QTY,PASI FP Equity_DX_SHORT_INTEREST_VALUE,PASI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PASI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PASI FP Equity_DX_SI_MV,PASI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PASI FP Equity_DX_SUPPLY_SI_QTY,PASI FP Equity_DX_BROKER_SI_QTY,PASI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PASI FP Equity_DX_BROKER_SI_QTY_ADD,PASI FP Equity_DX_BROKER_SI_MV_ADD,PASI FP Equity_DX_BROKER_SI_QTY_DEC,PASI FP Equity_DX_SUPPLY_SI_MV,PASI FP Equity_DX_BROKER_SI_MV_DEC,PASI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PASI FP Equity_DX_UTILIZATION_QUANTITY,PASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PASI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PASI FP Equity_DX_ACTIVE_UTILIZATION_MV,PASI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PASI FP Equity_DX_BROKER_SI_CON_RATIO,PASI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PASI FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,38535.0,0.04,0.0,0.0,0.0,0.0,0.0
2014-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,39025.0,0.04,0.0,,0.0,,0.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,38745.0,0.04,0.0,,0.0,,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,38745.0,0.04,0.0,,0.0,,0.0
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,38465.0,0.04,0.0,,0.0,,0.0
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,39655.0,0.04,0.0,,0.0,,0.0
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,40285.0,0.04,0.0,,0.0,,0.0
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,40845.0,0.04,0.0,,0.0,,0.0
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,40950.0,0.04,0.0,,0.0,,0.0
2014-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41405.0,0.04,0.0,,0.0,,0.0
2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41720.0,0.04,0.0,,0.0,,0.0
2014-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41580.0,0.04,0.0,,0.0,,0.0
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41125.0,0.04,0.0,,0.0,,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41055.0,0.04,0.0,,0.0,,0.0
2014-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41370.0,0.04,0.0,,0.0,,0.0
2014-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,41055.0,0.04,0.0,,0.0,,0.0
2014-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3500.0,40845.0,0.04,0.0,,0.0,,0.0
