,3CAS FP Equity_DX_SI_QTY,3CAS FP Equity_DX_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAS FP Equity_DX_SI_MV,3CAS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SUPPLY_SI_QTY,3CAS FP Equity_DX_BROKER_SI_QTY,3CAS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAS FP Equity_DX_SUPPLY_SI_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAS FP Equity_DX_UTILIZATION_QUANTITY,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAS FP Equity_DX_BROKER_SI_CON_RATIO,3CAS FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAS FP Equity_PX_LAST
2023-08-11,,,,,,,,,,,,,,,,,,,50.0
2023-08-14,,,,,,,,,,,,,,,,,,,48.45
2023-08-15,,,,,,,,,,,,,,,,,,,49.995
2023-08-16,,,,,,,,,,,,,,,,,,,50.19
2023-08-17,,,,,,,,,,,,,,,,,,,51.63
2023-08-18,,,,,,,,,,,,,,,,,,,52.19
2023-08-21,,,,,,,,,,,,,,,,,,,51.42
2023-08-22,,,,,,,,,,,,,,,,,,,50.51
2023-08-23,,,,,,,,,,,,,,,,,,,50.5
2023-08-24,,,,,,,,,,,,,,,,,,,51.08
2023-08-25,,,,,,,,,,,,,,,,,,,50.8
2023-08-28,,,,,,,,,,,,,,,,,,,48.745
2023-08-29,,,,,,,,,,,,,,,,,,,47.925
2023-08-30,,,,,,,,,,,,,,,,,,,48.005
2023-08-31,,,,,,,,,,,,,,,,,,,48.795
2023-09-01,,,,,,,,,,,,,,,,,,,49.555
2023-09-04,,,,,,,,,,,,,,,,,,,50.03
2023-09-05,,,,,,,,,,,,,,,,,,,50.59
2023-09-06,,,,,,,,,,,,,,,,,,,51.77
2023-09-07,,,,,,,,,,,,,,,,,,,51.79
2023-09-08,,,,,,,,,,,,,,,,,,,50.73
2023-09-11,,,,,,,,,,,,,,,,,,,49.94
2023-09-12,,,,,,,,,,,,,,,,,,,50.56
2023-09-13,,,,,,,,,,,,,,,,,,,51.0
2023-09-14,,,,,,,,,,,,,,,,,,,49.0
2023-09-15,,,,,,,,,,,,,,,,,,,47.97
2023-09-18,,,,,,,,,,,,,,,,,,,50.14
2023-09-19,,,,,,,,,,,,,,,,,,,49.92
2023-09-20,,,,,,,,,,,,,,,,,,,48.7
2023-09-21,,,,,,,,,,,,,,,,,,,51.15
2023-09-22,,,,,,,,,,,,,,,,,,,51.63
2023-09-25,,,,,,,,,,,,,,,,,,,53.15
2023-09-26,,,,,,,,,,,,,,,,,,,54.39
2023-09-27,,,,,,,,,,,,,,,,,,,54.27
2023-09-28,,,,,,,,,,,,,,,,,,,53.32
2023-09-29,,,,,,,,,,,,,,,,,,,52.69
2023-10-02,,,,,,,,,,,,,,,,,,,54.38
2023-10-03,,,,,,,,,,,,,,,,,,,56.03
2023-10-04,,,,,,,,,,,,,,,,,,,56.06
2023-10-05,,,,,,,,,,,,,,,,,,,56.15
2023-10-06,,,,,,,,,,,,,,,,,,,54.54
2023-10-09,,,,,,,,,,,,,,,,,,,55.7
2023-10-10,,,,,,,,,,,,,,,,,,,53.44
2023-10-11,,,,,,,,,,,,,,,,,,,52.73
2023-10-12,,,,,,,,,,,,,,,,,,,53.67
2023-10-13,,,,,,,,,,,,,,,,,,,55.89
2023-10-16,,,,,,,,,,,,,,,,,,,55.55
2023-10-17,,,,,,,,,,,,,,,,,,,55.41
2023-10-18,,,,,,,,,,,,,,,,,,,56.91
2023-10-19,,,,,,,,,,,,,,,,,,,58.03
2023-10-20,,,,,,,,,,,,,,,,,,,60.67
2023-10-23,,,,,,,,,,,,,,,,,,,59.93
2023-10-24,,,,,,,,,,,,,,,,,,,58.79
2023-10-25,,,,,,,,,,,,,,,,,,,58.16
2023-10-26,,,,,,,,,,,,,,,,,,,58.85
2023-10-27,,,,,,,,,,,,,,,,,,,61.02
2023-10-30,,,,,,,,,,,,,,,,,,,60.47
2023-10-31,,,,,,,,,,,,,,,,,,,59.05
2023-11-01,,,,,,,,,,,,,,,,,,,57.89
2023-11-02,,,,,,,,,,,,,,,,,,,54.69
2023-11-03,,,,,,,,,,,,,,,,,,,54.88
2023-11-06,,,,,,,,,,,,,,,,,,,55.73
2023-11-07,,,,,,,,,,,,,,,,,,,56.44
2023-11-08,,,,,,,,,,,,,,,,,,,55.34
2023-11-09,,,,,,,,,,,,,,,,,,,53.48
2023-11-10,,,,,,,,,,,,,,,,,,,54.92
2023-11-13,,,,,,,,,,,,,,,,,,,54.92
2023-11-14,,,,,,,,,,,,,,,,,,,51.57
2023-11-15,,,,,,,,,,,,,,,,,,,51.23
2023-11-16,,,,,,,,,,,,,,,,,,,52.07
2023-11-17,,,,,,,,,,,,,,,,,,,50.77
2023-11-20,,,,,,,,,,,,,,,,,,,50.5
2023-11-21,,,,,,,,,,,,,,,,,,,50.93
2023-11-22,,,,,,,,,,,,,,,,,,,50.27
2023-11-23,,,,,,,,,,,,,,,,,,,50.27
2023-11-24,,,,,,,,,,,,,,,,,,,49.605
2023-11-27,,,,,,,,,,,,,,,,,,,50.18
2023-11-28,,,,,,,,,,,,,,,,,,,50.47
2023-11-29,,,,,,,,,,,,,,,,,,,50.13
2023-11-30,,,,,,,,,,,,,,,,,,,49.325
2023-12-01,,,,,,,,,,,,,,,,,,,48.7
2023-12-04,,,,,,,,,,,,,,,,,,,48.7
2023-12-05,,,,,,,,,,,,,,,,,,,47.835
2023-12-06,,,,,,,,,,,,,,,,,,,46.64
2023-12-07,,,,,,,,,,,,,,,,,,,47.035
2023-12-08,,,,,,,,,,,,,,,,,,,45.16
2023-12-11,,,,,,,,,,,,,,,,,,,44.67
2023-12-12,,,,,,,,,,,,,,,,,,,44.855
2023-12-13,,,,,,,,,,,,,,,,,,,45.145
2023-12-14,,,,,,,,,,,,,,,,,,,44.235
2023-12-15,,,,,,,,,,,,,,,,,,,43.845
2023-12-18,,,,,,,,,,,,,,,,,,,44.095
2023-12-19,,,,,,,,,,,,,,,,,,,44.365
2023-12-20,,,,,,,,,,,,,,,,,,,44.435
2023-12-21,,,,,,,,,,,,,,,,,,,44.675
2023-12-22,,,,,,,,,,,,,,,,,,,44.555
2023-12-27,,,,,,,,,,,,,,,,,,,44.38
2023-12-28,,,,,,,,,,,,,,,,,,,45.12
2023-12-29,,,,,,,,,,,,,,,,,,,45.33
2024-01-02,,,,,,,,,,,,,,,,,,,45.4
2024-01-03,,,,,,,,,,,,,,,,,,,47.17
2024-01-04,,,,,,,,,,,,,,,,,,,46.36
2024-01-05,,,,,,,,,,,,,,,,,,,47.115
2024-01-08,,,,,,,,,,,,,,,,,,,46.625
2024-01-09,,,,,,,,,,,,,,,,,,,47.16
2024-01-10,,,,,,,,,,,,,,,,,,,47.36
2024-01-11,,,,,,,,,,,,,,,,,,,47.72
2024-01-12,,,,,,,,,,,,,,,,,,,46.83
2024-01-15,,,,,,,,,,,,,,,,,,,47.56
2024-01-16,,,,,,,,,,,,,,,,,,,47.95
2024-01-17,,,,,,,,,,,,,,,,,,,49.405
2024-01-18,,,,,,,,,,,,,,,,,,,47.775
2024-01-19,,,,,,,,,,,,,,,,,,,48.44
2024-01-22,,,,,,,,,,,,,,,,,,,47.545
2024-01-23,,,,,,,,,,,,,,,,,,,48.1
2024-01-24,,,,,,,,,,,,,,,,,,,46.74
2024-01-25,,,,,,,,,,,,,,,,,,,46.655
2024-01-26,,,,,,,,,,,,,,,,,,,43.795
2024-01-29,,,,,,,,,,,,,,,,,,,43.43
2024-01-30,,,,,,,,,,,,,,,,,,,42.725
2024-01-31,,,,,,,,,,,,,,,,,,,43.125
2024-02-01,,,,,,,,,,,,,,,,,,,44.555
2024-02-02,,,,,,,,,,,,,,,,,,,44.285
2024-02-05,,,,,,,,,,,,,,,,,,,44.595
2024-02-06,,,,,,,,,,,,,,,,,,,43.535
2024-02-07,,,,,,,,,,,,,,,,,,,44.02
2024-02-08,,,,,,,,,,,,,,,,,,,43.24
2024-02-09,,,,,,,,,,,,,,,,,,,43.555
2024-02-12,,,,,,,,,,,,,,,,,,,42.815
2024-02-13,,,,,,,,,,,,,,,,,,,43.96
2024-02-14,,,,,,,,,,,,,,,,,,,42.94
2024-02-15,,,,,,,,,,,,,,,,,,,41.86
2024-02-16,,,,,,,,,,,,,,,,,,,41.495
2024-02-19,,,,,,,,,,,,,,,,,,,41.635
2024-02-20,,,,,,,,,,,,,,,,,,,40.99
2024-02-21,,,,,,,,,,,,,,,,,,,40.875
2024-02-22,,,,,,,,,,,,,,,,,,,39.64
2024-02-23,,,,,,,,,,,,,,,,,,,38.545
2024-02-26,,,,,,,,,,,,,,,,,,,39.13
2024-02-27,,,,,,,,,,,,,,,,,,,38.725
2024-02-28,,,,,,,,,,,,,,,,,,,38.79
2024-02-29,,,,,,,,,,,,,,,,,,,38.91
2024-03-01,,,,,,,,,,,,,,,,,,,39.18
2024-03-04,,,,,,,,,,,,,,,,,,,38.835
2024-03-05,,,,,,,,,,,,,,,,,,,39.215
2024-03-06,,,,,,,,,,,,,,,,,,,38.805
2024-03-07,,,,,,,,,,,,,,,,,,,37.905
2024-03-08,,,,,,,,,,,,,,,,,,,37.83
2024-03-11,,,,,,,,,,,,,,,,,,,37.93
2024-03-12,,,,,,,,,,,,,,,,,,,37.93
2024-03-13,,,,,,,,,,,,,,,,,,,36.36
2024-03-14,,,,,,,,,,,,,,,,,,,36.035
2024-03-15,,,,,,,,,,,,,,,,,,,35.84
2024-03-18,,,,,,,,,,,,,,,,,,,36.235
2024-03-19,,,,,,,,,,,,,,,,,,,35.485
2024-03-20,,,,,,,,,,,,,,,,,,,35.94
2024-03-21,,,,,,,,,,,,,,,,,,,35.745
2024-03-22,,,,,,,,,,,,,,,,,,,36.175
