,OBLI FP Equity_DX_SI_QTY,OBLI FP Equity_DX_SHORT_INTEREST_VALUE,OBLI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OBLI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OBLI FP Equity_DX_SI_MV,OBLI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OBLI FP Equity_DX_SUPPLY_SI_QTY,OBLI FP Equity_DX_BROKER_SI_QTY,OBLI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OBLI FP Equity_DX_SUPPLY_SI_QTY_INC_x,OBLI FP Equity_DX_BROKER_SI_MV_INC_x,OBLI FP Equity_DX_BROKER_SI_QTY_ADD,OBLI FP Equity_DX_SUPPLY_SI_MV_DEC,OBLI FP Equity_DX_BROKER_SI_QTY_INC,OBLI FP Equity_DX_SUPPLY_SI_QTY_DEC,OBLI FP Equity_DX_BROKER_SI_MV_INC_y,OBLI FP Equity_DX_SUPPLY_SI_QTY_INC_y,OBLI FP Equity_DX_BROKER_SI_MV_ADD,OBLI FP Equity_DX_SUPPLY_SI_QTY_ADD,OBLI FP Equity_DX_BROKER_SI_QTY_DEC,OBLI FP Equity_DX_SUPPLY_SI_MV,OBLI FP Equity_DX_BROKER_SI_MV_DEC,OBLI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OBLI FP Equity_DX_UTILIZATION_QUANTITY,OBLI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OBLI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OBLI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OBLI FP Equity_DX_ACTIVE_UTILIZATION_MV,OBLI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OBLI FP Equity_DX_BROKER_SI_CON_RATIO,OBLI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OBLI FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-11-06,81.0,708.75,0.0,0.0,0.0,708.75,81.0,81.0,708.75,,,81.0,,,,,,0.0,81.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-07,81.0,711.59,0.0,0.0,0.0,711.59,81.0,81.0,711.59,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-08,81.0,715.23,0.0,0.0,0.0,715.23,81.0,81.0,715.23,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-09,81.0,712.07,0.0,0.0,0.0,712.07,81.0,81.0,712.07,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-10,81.0,709.64,0.0,0.0,0.0,709.64,81.0,81.0,709.64,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-03,240.0,2216.88,0.01,0.01,0.0,2216.88,240.0,240.0,2216.88,,,240.0,,,,,,0.0,240.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-04,240.0,2205.84,0.01,0.01,0.0,2205.84,240.0,240.0,2205.84,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-05,240.0,2198.88,0.01,0.01,0.0,2198.88,240.0,240.0,2198.88,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-08,240.0,2203.68,0.01,0.01,0.0,2203.68,240.0,240.0,2203.68,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-09,240.0,2194.8,0.01,0.01,0.0,2194.8,240.0,240.0,2194.8,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,300.0,2740.8,0.0,0.0,,0.0,,0.0
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,950.0,8724.8,0.01,0.0,,0.0,,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,950.0,8702.0,0.01,0.0,,0.0,,0.0
2024-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,950.0,8692.5,0.01,0.0,,0.0,,0.0
2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,950.0,8636.45,0.01,0.0,,0.0,,0.0
2024-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,850.0,7726.5,0.01,0.0,,0.0,,0.0
