,AELIS FP Equity_DX_SI_QTY,AELIS FP Equity_DX_SHORT_INTEREST_VALUE,AELIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AELIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AELIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AELIS FP Equity_DX_SI_MV,AELIS FP Equity_DX_DSS,AELIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AELIS FP Equity_DX_SUPPLY_SI_QTY,AELIS FP Equity_DX_BROKER_SI_QTY,AELIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AELIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,AELIS FP Equity_DX_BROKER_SI_MV_INC_x,AELIS FP Equity_DX_BROKER_SI_QTY_ADD,AELIS FP Equity_DX_SUPPLY_SI_MV_DEC,AELIS FP Equity_DX_BROKER_SI_QTY_INC,AELIS FP Equity_DX_SUPPLY_SI_QTY_DEC,AELIS FP Equity_DX_BROKER_SI_MV_INC_y,AELIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,AELIS FP Equity_DX_BROKER_SI_MV_ADD,AELIS FP Equity_DX_SUPPLY_SI_QTY_ADD,AELIS FP Equity_DX_BROKER_SI_QTY_DEC,AELIS FP Equity_DX_SUPPLY_SI_MV,AELIS FP Equity_DX_BROKER_SI_MV_DEC,AELIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AELIS FP Equity_DX_UTILIZATION_QUANTITY,AELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AELIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AELIS FP Equity_DX_ACTIVE_UTILIZATION_MV,AELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AELIS FP Equity_DX_BROKER_SI_CON_RATIO,AELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AELIS FP Equity_DX_DEMAND_SUPPLY_RATIO,AELIS FP Equity_PX_LAST
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2022-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,233599.2,0.21,0.0,,0.0,,0.0,13.1
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,241801.92,0.23,0.0,,0.0,,0.0,13.56
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,232885.92,0.24,0.0,,0.0,,0.0,13.06
2022-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,246081.6,0.23,0.0,,0.0,,0.0,13.8
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,236808.96,0.25,0.0,,0.0,,0.0,13.28
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,231816.0,0.24,0.0,,0.0,,0.0,13.0
2022-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,231816.0,0.23,0.0,,0.0,,0.0,13.0
2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,231459.36,0.23,0.0,,0.0,,0.0,12.98
2022-03-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,231816.0,0.23,0.0,,0.0,,0.0,13.0
2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,237165.6,0.23,0.0,,0.0,,0.0,13.3
2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,236808.96,0.24,0.0,,0.0,,0.0,13.28
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,231459.36,0.24,0.0,,0.0,,0.0,12.98
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,233599.2,0.23,0.0,,0.0,,0.0,13.1
2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,237165.6,0.23,0.0,,0.0,,0.0,13.3
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,240732.0,0.24,0.0,,0.0,,0.0,13.5
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,242515.2,0.24,0.0,,0.0,,0.0,13.6
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,246081.6,0.24,0.0,,0.0,,0.0,13.8
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17832.0,250004.64,0.25,0.0,,0.0,,0.0,14.02
