,MA13 FP Equity_DX_SI_QTY,MA13 FP Equity_DX_SHORT_INTEREST_VALUE,MA13 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MA13 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MA13 FP Equity_DX_SI_MV,MA13 FP Equity_DX_DSS,MA13 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MA13 FP Equity_DX_SUPPLY_SI_QTY,MA13 FP Equity_DX_BROKER_SI_QTY,MA13 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MA13 FP Equity_DX_BROKER_SI_MV_NEW_x,MA13 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MA13 FP Equity_DX_SUPPLY_SI_QTY_INC_x,MA13 FP Equity_DX_BROKER_SI_MV_INC_x,MA13 FP Equity_DX_SUPPLY_SI_MV_NEW,MA13 FP Equity_DX_BROKER_SI_QTY_ADD,MA13 FP Equity_DX_BROKER_SI_QTY_NEW,MA13 FP Equity_DX_SUPPLY_SI_MV_DEC,MA13 FP Equity_DX_BROKER_SI_QTY_INC,MA13 FP Equity_DX_SUPPLY_SI_QTY_DEC,MA13 FP Equity_DX_BROKER_SI_MV_NEW_y,MA13 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MA13 FP Equity_DX_BROKER_SI_MV_INC_y,MA13 FP Equity_DX_SUPPLY_SI_QTY_INC_y,MA13 FP Equity_DX_BROKER_SI_MV_ADD,MA13 FP Equity_DX_SUPPLY_SI_QTY_ADD,MA13 FP Equity_DX_BROKER_SI_QTY_DEC,MA13 FP Equity_DX_SUPPLY_SI_MV,MA13 FP Equity_DX_BROKER_SI_MV_DEC,MA13 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MA13 FP Equity_DX_UTILIZATION_QUANTITY,MA13 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MA13 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MA13 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MA13 FP Equity_DX_ACTIVE_UTILIZATION_MV,MA13 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MA13 FP Equity_DX_BROKER_SI_CON_RATIO,MA13 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MA13 FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-07-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495992.7,0.5,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495896.1,0.49,0.0,,0.0,,0.0
2012-08-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495992.7,0.5,0.0,,0.0,,0.0
2012-08-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495558.0,0.5,0.0,,0.0,,0.0
2012-08-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495751.2,0.5,0.0,,0.0,,0.0
2012-08-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495461.4,0.5,0.0,,0.0,,0.0
2012-08-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495654.6,0.5,0.0,,0.0,,0.0
2012-08-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495702.9,0.5,0.0,,0.0,,0.0
2012-08-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495896.1,0.5,0.0,,0.0,,0.0
2012-08-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495654.6,0.5,0.0,,0.0,,0.0
2012-08-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,4830.0,495558.0,0.5,0.0,,0.0,,0.0
