,MLIRF FP Equity_DX_SI_QTY,MLIRF FP Equity_DX_SHORT_INTEREST_VALUE,MLIRF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLIRF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLIRF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLIRF FP Equity_DX_SI_MV,MLIRF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLIRF FP Equity_DX_SUPPLY_SI_QTY,MLIRF FP Equity_DX_BROKER_SI_QTY,MLIRF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLIRF FP Equity_DX_SUPPLY_SI_MV,MLIRF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLIRF FP Equity_DX_UTILIZATION_QUANTITY,MLIRF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLIRF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLIRF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLIRF FP Equity_DX_ACTIVE_UTILIZATION_MV,MLIRF FP Equity_DX_BROKER_SI_CON_RATIO,MLIRF FP Equity_DX_DEMAND_SUPPLY_RATIO,MLIRF FP Equity_PX_LAST
2020-01-16,,,,,,,,,,,,,,,,,,,,1.2
2020-01-21,,,,,,,,,,,,,,,,,,,,1.25
2020-01-27,,,,,,,,,,,,,,,,,,,,1.35
2020-03-05,,,,,,,,,,,,,,,,,,,,1.23
2020-04-16,,,,,,,,,,,,,,,,,,,,1.21
2020-05-11,,,,,,,,,,,,,,,,,,,,1.25
2020-05-21,,,,,,,,,,,,,,,,,,,,1.35
2020-05-26,,,,,,,,,,,,,,,,,,,,1.16
2020-05-27,,,,,,,,,,,,,,,,,,,,1.1
2020-05-29,,,,,,,,,,,,,,,,,,,,1.1
2020-06-04,,,,,,,,,,,,,,,,,,,,1.26
2020-06-16,,,,,,,,,,,,,,,,,,,,1.32
2020-09-02,,,,,,,,,,,,,,,,,,,,1.5
2020-09-03,,,,,,,,,,,,,,,,,,,,1.65
2020-09-17,,,,,,,,,,,,,,,,,,,,1.65
2020-12-01,,,,,,,,,,,,,,,,,,,,1.65
2020-12-17,,,,,,,,,,,,,,,,,,,,1.6
2021-01-04,,,,,,,,,,,,,,,,,,,,1.78
2021-01-13,,,,,,,,,,,,,,,,,,,,1.8
2021-01-15,,,,,,,,,,,,,,,,,,,,1.805
2021-01-18,,,,,,,,,,,,,,,,,,,,1.5
2021-01-19,,,,,,,,,,,,,,,,,,,,1.5
2021-01-21,,,,,,,,,,,,,,,,,,,,1.5
2021-01-22,,,,,,,,,,,,,,,,,,,,1.5
2021-01-27,,,,,,,,,,,,,,,,,,,,1.65
2021-03-04,,,,,,,,,,,,,,,,,,,,1.45
2021-03-09,,,,,,,,,,,,,,,,,,,,1.72
2021-03-10,,,,,,,,,,,,,,,,,,,,1.72
2021-03-11,,,,,,,,,,,,,,,,,,,,1.72
2021-06-24,,,,,,,,,,,,,,,,,,,,0.93
2021-06-30,,,,,,,,,,,,,,,,,,,,1.45
2021-07-01,,,,,,,,,,,,,,,,,,,,1.45
2021-07-02,,,,,,,,,,,,,,,,,,,,1.45
2021-07-05,,,,,,,,,,,,,,,,,,,,1.45
2021-07-06,,,,,,,,,,,,,,,,,,,,1.45
2021-07-09,,,,,,,,,,,,,,,,,,,,1.45
2021-07-13,,,,,,,,,,,,,,,,,,,,1.45
2021-07-14,,,,,,,,,,,,,,,,,,,,1.45
2021-07-15,,,,,,,,,,,,,,,,,,,,1.45
2021-07-19,,,,,,,,,,,,,,,,,,,,1.45
2021-07-21,,,,,,,,,,,,,,,,,,,,1.45
2021-07-23,,,,,,,,,,,,,,,,,,,,1.33
2021-07-27,,,,,,,,,,,,,,,,,,,,1.45
2021-07-29,,,,,,,,,,,,,,,,,,,,1.45
2021-08-27,,,,,,,,,,,,,,,,,,,,1.8
2021-08-30,,,,,,,,,,,,,,,,,,,,1.8
2021-09-10,,,,,,,,,,,,,,,,,,,,1.79
2021-09-14,,,,,,,,,,,,,,,,,,,,1.75
2021-09-28,,,,,,,,,,,,,,,,,,,,1.8
2021-09-29,,,,,,,,,,,,,,,,,,,,1.8
2021-11-04,,,,,,,,,,,,,,,,,,,,1.8
2021-11-11,,,,,,,,,,,,,,,,,,,,1.08
2021-11-12,,,,,,,,,,,,,,,,,,,,1.29
2021-11-15,,,,,,,,,,,,,,,,,,,,1.41
2021-11-16,,,,,,,,,,,,,,,,,,,,1.5
2021-11-23,,,,,,,,,,,,,,,,,,,,1.65
2021-11-24,,,,,,,,,,,,,,,,,,,,1.79
2021-12-20,,,,,,,,,,,,,,,,,,,,1.79
2022-02-15,,,,,,,,,,,,,,,,,,,,1.8
2022-02-18,,,,,,,,,,,,,,,,,,,,1.89
2022-03-21,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2860.0,,0.0,0.0,0.0,,
2022-03-22,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2860.0,,0.0,0.0,0.0,,
2022-03-23,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2860.0,,0.0,0.0,0.0,,
2022-03-24,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2860.0,,0.0,0.0,0.0,,
2022-03-25,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2860.0,,0.0,0.0,0.0,,
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,2.06
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,2.06
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,5891.6,0.0,0.0,0.0,0.0,
