,BTC FP Equity_DX_SI_QTY,BTC FP Equity_DX_SHORT_INTEREST_VALUE,BTC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BTC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BTC FP Equity_DX_SI_MV,BTC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BTC FP Equity_DX_SUPPLY_SI_QTY,BTC FP Equity_DX_BROKER_SI_QTY,BTC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BTC FP Equity_DX_BROKER_SI_MV_NEW_x,BTC FP Equity_DX_SUPPLY_SI_QTY_INC_x,BTC FP Equity_DX_BROKER_SI_MV_INC_x,BTC FP Equity_DX_BROKER_SI_QTY_ADD,BTC FP Equity_DX_BROKER_SI_QTY_NEW,BTC FP Equity_DX_SUPPLY_SI_MV_DEC,BTC FP Equity_DX_BROKER_SI_QTY_INC,BTC FP Equity_DX_SUPPLY_SI_QTY_DEC,BTC FP Equity_DX_BROKER_SI_MV_NEW_y,BTC FP Equity_DX_BROKER_SI_MV_INC_y,BTC FP Equity_DX_SUPPLY_SI_QTY_INC_y,BTC FP Equity_DX_BROKER_SI_MV_ADD,BTC FP Equity_DX_SUPPLY_SI_QTY_ADD,BTC FP Equity_DX_BROKER_SI_QTY_DEC,BTC FP Equity_DX_SUPPLY_SI_MV,BTC FP Equity_DX_BROKER_SI_MV_DEC,BTC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BTC FP Equity_DX_UTILIZATION_QUANTITY,BTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BTC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BTC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BTC FP Equity_DX_ACTIVE_UTILIZATION_MV,BTC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BTC FP Equity_DX_BROKER_SI_CON_RATIO,BTC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BTC FP Equity_DX_DEMAND_SUPPLY_RATIO,BTC FP Equity_PX_LAST
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.01
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.01
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.09
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.32
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.76
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.47
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.15
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.08
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.09
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.24
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.48
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.74
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.87
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.19
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.32
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.53
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.19
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.07
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.91
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.98
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.32
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.44
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.86
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.71
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.73
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.56
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.51
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.22
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.58
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.31
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.34
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.06
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.12
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.27
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.03
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.46
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.17
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.92
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.21
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.81
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.97
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51
