,ALOPM FP Equity_DX_SI_QTY,ALOPM FP Equity_DX_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOPM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOPM FP Equity_DX_SI_MV,ALOPM FP Equity_DX_DSS,ALOPM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SUPPLY_SI_QTY,ALOPM FP Equity_DX_BROKER_SI_QTY,ALOPM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALOPM FP Equity_DX_BROKER_SI_MV_INC_x,ALOPM FP Equity_DX_BROKER_SI_QTY_ADD,ALOPM FP Equity_DX_SUPPLY_SI_MV_DEC,ALOPM FP Equity_DX_BROKER_SI_QTY_INC,ALOPM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALOPM FP Equity_DX_BROKER_SI_MV_INC_y,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALOPM FP Equity_DX_BROKER_SI_MV_ADD,ALOPM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALOPM FP Equity_DX_BROKER_SI_QTY_DEC,ALOPM FP Equity_DX_SUPPLY_SI_MV,ALOPM FP Equity_DX_BROKER_SI_MV_DEC,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOPM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOPM FP Equity_DX_BROKER_SI_CON_RATIO,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOPM FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-10-10,500.0,385.0,0.01,0.04,0.01,0.0,0.0,0.0,500.0,0.0,385.0,,,,,,,,,,500.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-10-11,500.0,355.0,0.01,0.04,0.01,0.0,0.0,0.0,500.0,0.0,355.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-10-12,500.0,330.0,0.01,0.04,0.01,0.0,0.0,330.0,500.0,500.0,330.0,,,500.0,,,,,,0.0,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-10-13,500.0,310.0,0.01,0.04,0.01,0.0,0.0,310.0,500.0,500.0,310.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,500.0,,,,,500.0,0.0,0.0,0.0,0.0,500.0,310.0,0.0,0.0,,0.0,,0.0
2022-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,138400.0,175768.0,0.15,0.0,,0.0,,0.0
2022-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,138400.0,192376.0,0.15,0.0,,0.0,,0.0
2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,138400.0,250504.0,0.15,0.0,,0.0,,0.0
2023-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16425.0,21516.75,0.02,0.0,,0.0,,0.0
2023-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,16425.0,21681.0,0.02,0.0,,0.0,,0.0
2023-06-29,8374.0,11053.68,0.05,1.38,0.05,0.01,0.0,5526.84,4187.0,4187.0,5526.84,,,4187.0,,,,,,0.01,4187.0,,0.01,,100.0,20.31,0.0,0.0,0.0,100.0,,1.0,100.0,0.4063
2023-06-30,8374.0,11263.03,0.05,1.42,0.05,0.01,0.0,5631.52,4187.0,4187.0,5631.52,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-03,8374.0,11053.68,0.05,1.41,0.05,0.01,0.0,5526.84,4187.0,4187.0,5526.84,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
2023-07-04,8374.0,11053.68,0.05,1.4,0.05,0.01,0.0,5526.84,4187.0,4187.0,5526.84,,,,,,,,,,,,0.01,,100.0,25.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.5098
