,BON FP Equity_DX_SI_QTY,BON FP Equity_DX_SHORT_INTEREST_VALUE,BON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BON FP Equity_DX_SI_MV,BON FP Equity_DX_DSS,BON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY,BON FP Equity_DX_BROKER_SI_QTY,BON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BON FP Equity_DX_BROKER_SI_MV_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_INC_x,BON FP Equity_DX_BROKER_SI_MV_INC_x,BON FP Equity_DX_SUPPLY_SI_MV_NEW,BON FP Equity_DX_BROKER_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_NEW,BON FP Equity_DX_SUPPLY_SI_MV_DEC,BON FP Equity_DX_BROKER_SI_QTY_INC,BON FP Equity_DX_SUPPLY_SI_QTY_DEC,BON FP Equity_DX_BROKER_SI_MV_NEW_y,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BON FP Equity_DX_BROKER_SI_MV_INC_y,BON FP Equity_DX_SUPPLY_SI_QTY_INC_y,BON FP Equity_DX_BROKER_SI_MV_ADD,BON FP Equity_DX_SUPPLY_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_DEC,BON FP Equity_DX_SUPPLY_SI_MV,BON FP Equity_DX_BROKER_SI_MV_DEC,BON FP Equity_DX_SUPPLY_SI_MV_RMV,BON FP Equity_DX_BROKER_SI_MV_RMV,BON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BON FP Equity_DX_UTILIZATION_QUANTITY,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BON FP Equity_DX_ACTIVE_UTILIZATION_MV,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BON FP Equity_DX_BROKER_SI_CON_RATIO,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BON FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,152594.0,7087779.56,4.32,15.2,1.91,8.94,1.0,3183866.58,84048.0,68546.0,3903912.97,0.95,,10339.0,0.0,,,15913.0,0.06,52.0,1018.0,0.95,,0.0,10339.0,,25308.0,8494.0,4.93,0.49,,,68.61,68.61,38450.0,1785949.15,,2.25,68.61,19.08,0.179,28.87,1.2457
2006-01-11,115838.0,5502915.78,3.28,10.76,1.45,6.99,1.0,2270942.06,68034.0,47804.0,3231973.72,,,,,,,,0.82,,16014.0,,,,,,,20742.0,4.1,1.14,,,56.91,56.91,51518.0,2447376.64,,3.11,56.91,17.52,0.1592,22.35,0.9689
2006-01-18,116941.0,5499388.11,3.31,11.23,1.46,7.01,1.0,2249255.9,69112.0,47829.0,3250132.21,,,1078.0,0.0,,,,,25.0,,,,0.0,1078.0,,,,4.14,,,,53.51,53.51,60034.0,2823220.82,,3.6,53.51,17.63,0.1595,22.49,0.9055
2006-01-25,94216.0,4430698.82,2.66,9.99,1.18,5.61,1.0,1350757.43,65492.0,28723.0,3079894.36,,,,,,,,0.41,,6448.0,,,,,,2829.0,19106.0,3.9,1.14,,,48.68,48.68,69053.0,3247357.62,,4.11,48.69,22.1,0.1962,28.19,0.7003
2006-02-01,94350.0,4508443.67,2.67,10.57,1.18,5.77,1.0,1374131.58,65593.0,28757.0,3134312.09,,,888.0,0.01,,,,0.03,34.0,787.0,,,0.01,888.0,,,,4.01,,,,49.16,49.16,67826.0,3241014.31,,4.15,49.17,22.45,0.2002,28.64,0.7072
2006-02-08,134620.0,6330779.01,3.81,14.2,1.68,8.06,1.0,3703896.04,65927.0,78761.0,3100351.12,,,334.0,0.0,,49981.0,,,23.0,,,,0.0,334.0,2.99,,,3.95,,,,48.11,48.11,71102.0,3343716.01,,4.26,48.12,19.73,0.1511,19.99,0.9824
2006-02-15,151092.0,7225838.92,4.27,15.8,1.89,9.08,1.0,3335013.62,91529.0,69735.0,4377292.05,0.95,,25602.0,0.88,,,15913.0,,14825.0,,0.95,,0.88,25602.0,,,23851.0,5.5,1.43,,0.94,67.41,67.41,44251.0,2116264.25,,2.66,67.41,17.95,0.2589,44.13,1.1128
2006-02-22,147248.0,7229789.83,4.16,14.62,1.84,8.97,1.0,3166371.81,93110.0,64489.0,4571646.01,,,1581.0,0.01,,,,,54.0,,,,0.01,1581.0,,,5300.0,5.67,0.31,,,67.65,67.65,44533.0,2186544.0,,2.71,67.64,18.76,0.2436,41.67,1.0698
2006-03-01,149179.0,7413780.18,4.22,15.5,1.86,9.13,1.0,3205768.27,95086.0,64506.0,4725508.97,,1391.0,585.0,0.0,0.09,,,,17.0,,,1391.0,0.0,585.0,,,,5.82,,,,55.02,55.02,77740.0,3863461.15,,4.76,55.01,18.63,0.2396,41.12,0.8632
2006-03-08,154172.0,7594331.26,4.36,15.95,1.93,9.43,1.0,3443191.73,94631.0,69900.0,4661411.68,,,25.0,0.34,,,,0.04,5400.0,480.0,,,0.34,25.0,,,6.0,5.79,0.0,,,55.06,55.06,77238.0,3804652.97,,4.72,55.06,17.92,0.2532,43.35,0.897
