,SHC FP Equity_DX_SI_QTY,SHC FP Equity_DX_SHORT_INTEREST_VALUE,SHC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SHC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SHC FP Equity_DX_SI_MV,SHC FP Equity_DX_DSS,SHC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SHC FP Equity_DX_SUPPLY_SI_QTY,SHC FP Equity_DX_BROKER_SI_QTY,SHC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SHC FP Equity_DX_BROKER_SI_MV_NEW_x,SHC FP Equity_DX_SUPPLY_SI_QTY_INC_x,SHC FP Equity_DX_BROKER_SI_MV_INC_x,SHC FP Equity_DX_BROKER_SI_QTY_ADD,SHC FP Equity_DX_BROKER_SI_QTY_NEW,SHC FP Equity_DX_SUPPLY_SI_MV_DEC,SHC FP Equity_DX_BROKER_SI_QTY_INC,SHC FP Equity_DX_SUPPLY_SI_QTY_DEC,SHC FP Equity_DX_BROKER_SI_MV_NEW_y,SHC FP Equity_DX_BROKER_SI_MV_INC_y,SHC FP Equity_DX_SUPPLY_SI_QTY_INC_y,SHC FP Equity_DX_BROKER_SI_MV_ADD,SHC FP Equity_DX_SUPPLY_SI_QTY_ADD,SHC FP Equity_DX_BROKER_SI_QTY_DEC,SHC FP Equity_DX_SUPPLY_SI_MV,SHC FP Equity_DX_BROKER_SI_MV_DEC,SHC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SHC FP Equity_DX_UTILIZATION_QUANTITY,SHC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SHC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SHC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SHC FP Equity_DX_ACTIVE_UTILIZATION_MV,SHC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SHC FP Equity_DX_BROKER_SI_CON_RATIO,SHC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SHC FP Equity_DX_DEMAND_SUPPLY_RATIO,SHC FP Equity_PX_LAST
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.73
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9
2008-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.32
2008-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22
2008-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78
2008-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.73
2008-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.54
2008-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.44
2008-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.64
2008-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.55
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.11
2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3
2008-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77
2008-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.41
2008-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3
2008-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.41
2008-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8
2008-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4
2008-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15
2008-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.16
2008-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9
2008-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.57
