,EEMU FP Equity_DX_SI_QTY,EEMU FP Equity_DX_SHORT_INTEREST_VALUE,EEMU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEMU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEMU FP Equity_DX_SI_MV,EEMU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEMU FP Equity_DX_SUPPLY_SI_QTY,EEMU FP Equity_DX_BROKER_SI_QTY,EEMU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEMU FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEMU FP Equity_DX_BROKER_SI_MV_INC_x,EEMU FP Equity_DX_BROKER_SI_QTY_ADD,EEMU FP Equity_DX_SUPPLY_SI_MV_DEC,EEMU FP Equity_DX_BROKER_SI_QTY_INC,EEMU FP Equity_DX_SUPPLY_SI_QTY_DEC,EEMU FP Equity_DX_BROKER_SI_MV_INC_y,EEMU FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEMU FP Equity_DX_BROKER_SI_MV_ADD,EEMU FP Equity_DX_SUPPLY_SI_QTY_ADD,EEMU FP Equity_DX_BROKER_SI_QTY_DEC,EEMU FP Equity_DX_SUPPLY_SI_MV,EEMU FP Equity_DX_BROKER_SI_MV_DEC,EEMU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEMU FP Equity_DX_UTILIZATION_QUANTITY,EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEMU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEMU FP Equity_DX_ACTIVE_UTILIZATION_MV,EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEMU FP Equity_DX_BROKER_SI_CON_RATIO,EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEMU FP Equity_DX_DEMAND_SUPPLY_RATIO,EEMU FP Equity_PX_LAST
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.474
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.204
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.661
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.482
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.349
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.755
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.222
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.238
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.45
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.653
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.941
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.053
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.808
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.836
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.071
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.359
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.441
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.455
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.513
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.852
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.927
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.601
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.041
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.882
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.07
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.852
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.22
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.166
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.994
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.674
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.157
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.638
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.732
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.619
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.099
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.263
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.762
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.25
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.361
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.889
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.37
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.446
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.851
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.042
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.711
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.408
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.945
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.388
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.036
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.954
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.692
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.534
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.771
