,EBUY FP Equity_PX_LAST
2020-04-21,8.043
2020-04-22,8.345
2020-04-23,8.468
2020-04-24,8.399
2020-04-27,8.638
2020-04-28,8.627
2020-04-29,8.852
2020-04-30,8.783
2020-05-04,8.513
2020-05-05,8.781
2020-05-06,8.94
2020-05-07,9.139
2020-05-08,9.218
2020-05-11,9.308
2020-05-12,9.353
2020-05-13,9.168
2020-05-14,9.027
2020-05-15,9.156
2020-05-18,9.479
2020-05-19,9.438
2020-05-20,9.514
2020-05-21,9.391
2020-05-22,9.478
2020-05-25,9.695
2020-05-26,9.568
2020-05-27,9.322
2020-05-28,9.491
2020-05-29,9.405
2020-06-01,9.701
2020-06-02,9.737
2020-06-03,9.938
2020-06-04,9.774
2020-06-05,9.9
2020-06-08,9.918
2020-06-09,9.885
2020-06-10,9.954
2020-06-11,9.643
2020-06-12,9.591
2020-06-15,9.629
2020-06-16,9.914
2020-06-17,10.039
2020-06-18,10.001
2020-06-19,10.163
2020-06-22,10.09
2020-06-23,10.25
2020-06-24,9.971
2020-06-25,10.042
2020-06-26,10.017
2020-06-29,9.925
2020-06-30,10.039
2020-07-01,10.121
2020-07-02,10.34
2020-07-03,10.354
2020-07-06,10.603
2020-07-07,10.628
2020-07-08,10.544
2020-07-09,10.72
2020-07-10,10.779
2020-07-13,10.855
2020-07-14,10.353
2020-07-15,10.457
2020-07-16,10.225
2020-07-17,10.317
2020-07-20,10.519
2020-07-21,10.651
2020-07-22,10.481
2020-07-23,10.492
2020-07-24,10.145
2020-07-27,10.092
2020-07-28,10.205
2020-07-29,10.288
2020-07-30,10.214
2020-07-31,10.255
2020-08-03,10.594
2020-08-04,10.622
2020-08-05,10.686
2020-08-06,10.721
2020-08-07,10.816
2020-08-10,10.631
2020-08-11,10.61
2020-08-12,10.591
2020-08-13,10.598
2020-08-14,10.534
2020-08-17,10.583
2020-08-18,10.585
2020-08-19,10.687
2020-08-20,10.689
2020-08-21,10.758
2020-08-24,10.799
2020-08-25,10.857
2020-08-26,11.093
2020-08-27,11.116
2020-08-28,11.037
2020-08-31,10.913
2020-09-01,11.113
2020-09-02,11.242
2020-09-03,10.863
2020-09-04,10.51
2020-09-07,10.61
2020-09-08,10.453
2020-09-09,10.467
2020-09-10,10.465
2020-09-11,10.331
2020-09-14,10.386
2020-09-15,10.547
2020-09-16,10.622
2020-09-17,10.402
2020-09-18,10.397
2020-09-21,10.308
2020-09-22,10.502
2020-09-23,10.691
2020-09-24,10.426
2020-09-25,10.523
2020-09-28,10.736
2020-09-29,10.701
2020-09-30,10.781
2020-10-01,10.865
2020-10-02,10.822
2020-10-05,10.839
2020-10-06,10.989
2020-10-07,11.076
2020-10-08,11.208
2020-10-09,11.314
2020-10-12,11.419
2020-10-13,11.536
2020-10-14,11.489
2020-10-15,11.332
2020-10-16,11.396
2020-10-19,11.364
2020-10-20,11.244
2020-10-21,11.106
2020-10-22,11.05
2020-10-23,11.061
2020-10-26,10.952
2020-10-27,10.96
2020-10-28,10.782
2020-10-29,10.987
2020-10-30,10.754
2020-11-02,10.754
2020-11-03,10.894
2020-11-04,11.301
2020-11-05,11.522
2020-11-06,11.557
2020-11-09,11.84
2020-11-10,11.247
2020-11-11,11.449
2020-11-12,11.463
2020-11-13,11.441
2020-11-16,11.524
2020-11-17,11.48
2020-11-18,11.541
2020-11-19,11.649
2020-11-20,11.833
2020-11-23,11.856
2020-11-24,11.966
2020-11-25,11.926
2020-11-26,12.059
2020-11-27,12.103
2020-11-30,11.998
2020-12-01,12.064
2020-12-02,11.965
2020-12-03,12.077
2020-12-04,12.112
2020-12-07,12.158
2020-12-08,12.275
2020-12-09,12.275
2020-12-10,12.199
2020-12-11,12.257
2020-12-14,12.353
2020-12-15,12.364
2020-12-16,12.489
2020-12-17,12.593
2020-12-18,12.684
2020-12-21,12.673
2020-12-22,12.879
2020-12-23,13.026
2020-12-24,12.984
2020-12-28,12.799
2020-12-29,12.725
2020-12-30,12.822
2020-12-31,12.851
2021-01-04,12.719
2021-01-05,12.794
2021-01-06,12.822
2021-01-07,12.904
2021-01-08,13.21
2021-01-11,13.266
2021-01-12,13.312
2021-01-13,13.336
2021-01-14,13.494
2021-01-15,13.334
2021-01-18,13.378
2021-01-19,13.441
2021-01-20,13.72
2021-01-21,13.782
2021-01-22,13.772
2021-01-25,13.838
2021-01-26,13.838
2021-01-27,13.767
2021-01-28,13.586
2021-01-29,13.412
2021-02-01,13.682
2021-02-02,14.076
2021-02-03,14.184
2021-02-04,14.318
2021-02-05,14.469
2021-02-08,14.739
2021-02-09,14.946
2021-02-10,15.093
2021-02-11,15.326
2021-02-12,15.296
2021-02-15,15.376
2021-02-16,15.274
