,DKUPL FP Equity_DX_SI_QTY,DKUPL FP Equity_DX_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DKUPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DKUPL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DKUPL FP Equity_DX_SI_MV,DKUPL FP Equity_DX_DSS,DKUPL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DKUPL FP Equity_DX_SUPPLY_SI_QTY,DKUPL FP Equity_DX_BROKER_SI_QTY,DKUPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_x,DKUPL FP Equity_DX_BROKER_SI_MV_INC_x,DKUPL FP Equity_DX_BROKER_SI_QTY_ADD,DKUPL FP Equity_DX_SUPPLY_SI_MV_DEC,DKUPL FP Equity_DX_BROKER_SI_QTY_INC,DKUPL FP Equity_DX_SUPPLY_SI_QTY_DEC,DKUPL FP Equity_DX_BROKER_SI_MV_INC_y,DKUPL FP Equity_DX_SUPPLY_SI_QTY_INC_y,DKUPL FP Equity_DX_BROKER_SI_MV_ADD,DKUPL FP Equity_DX_SUPPLY_SI_QTY_ADD,DKUPL FP Equity_DX_BROKER_SI_QTY_DEC,DKUPL FP Equity_DX_SUPPLY_SI_MV,DKUPL FP Equity_DX_BROKER_SI_MV_DEC,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_UTILIZATION_QUANTITY,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DKUPL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DKUPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DKUPL FP Equity_DX_ACTIVE_UTILIZATION_MV,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DKUPL FP Equity_DX_BROKER_SI_CON_RATIO,DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DKUPL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,11408.0,108020.09,0.47,3.06,0.39,0.28,0.0,108020.09,0.0,11408.0,0.0,,,,,,,,,,,1604.0,0.0,0.0,0.0,0.0,32820.0,310766.08,0.79,0.0,,1.0,100.0,0.3476
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,11408.0,0.0,0.28,0.0,0.0,36358.0,329032.4,0.84,0.0,,0.0,,0.0
2006-01-18,13442.0,115804.47,0.33,4.52,0.3,0.3,0.0,115804.47,0.0,13442.0,0.0,,,13442.0,,,,,,0.3,,,0.0,,0.0,0.0,36555.0,314925.78,0.8,0.0,,1.0,100.0,0.3677
2006-01-25,12825.0,117921.83,1.86,5.49,0.28,0.3,0.0,117921.83,0.0,12825.0,0.0,,,,,,,,,,,617.0,0.0,0.0,0.0,0.0,34073.0,313290.48,0.8,0.0,,1.0,100.0,0.3764
2006-02-01,12757.0,120643.64,1.85,7.25,0.28,0.31,0.0,120643.64,0.0,12757.0,0.0,,,,,,,,,,,68.0,0.0,0.0,0.0,0.0,34984.0,330845.58,0.84,0.0,,1.0,100.0,0.3647
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,12757.0,0.0,0.31,0.0,0.0,35245.0,334003.96,0.85,0.0,,0.0,,0.0
2006-02-15,12850.0,116793.05,1.86,9.8,0.29,0.3,0.0,116793.05,0.0,12850.0,0.0,,,12850.0,,,,,,0.3,,,0.0,,0.0,0.0,35037.0,318449.66,0.82,0.0,,1.0,100.0,0.3668
2006-02-22,12840.0,119920.15,1.86,12.95,0.29,0.3,0.0,119920.15,0.0,12840.0,0.0,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,35193.0,328687.67,0.83,0.0,,1.0,100.0,0.3648
2006-03-01,12849.0,103148.27,1.86,11.91,0.29,0.27,0.0,103148.27,0.0,12849.0,0.0,,0.0,,,9.0,,0.0,,,,,0.0,,0.0,0.0,35875.0,287994.71,0.75,0.0,,1.0,100.0,0.3582
2006-03-08,12870.0,106088.76,1.86,8.91,0.29,0.27,0.0,106088.76,0.0,12870.0,0.0,,0.0,,,21.0,,0.0,,,,,0.0,,0.0,0.0,35077.0,289143.4,0.74,0.0,,1.0,100.0,0.3669
2006-03-15,12875.0,104314.93,1.86,8.63,0.29,0.26,0.0,104314.93,0.0,12875.0,0.0,,0.0,,,4.0,,0.0,,,,,0.0,,0.0,0.0,36322.0,294285.58,0.74,0.0,,1.0,100.0,0.3545
2006-03-22,12809.0,110351.09,1.85,8.43,0.28,0.28,0.0,110351.09,0.0,12809.0,0.0,,,,,,,,,,,66.0,0.0,0.0,0.0,0.0,35054.0,301994.48,0.76,0.0,,1.0,100.0,0.3654
2006-03-29,12762.0,114543.93,1.85,7.96,0.28,0.29,0.0,114543.93,0.0,12762.0,0.0,,,,,,,,,,,46.0,0.0,0.0,0.0,0.0,35511.0,318725.09,0.8,0.0,,1.0,100.0,0.3594
2006-04-05,12870.0,121964.28,1.86,6.16,0.29,0.31,0.0,121964.28,0.0,12870.0,0.0,,0.02,,,107.0,,0.02,,,,,0.0,,0.0,0.0,35261.0,334155.59,0.84,0.0,,1.0,100.0,0.365
2006-04-12,12837.0,94104.01,1.86,3.26,0.29,0.25,0.0,94104.01,0.0,12837.0,0.0,,,,,,,,,,,33.0,0.0,0.06,0.0,0.0,34726.0,254565.38,0.68,0.0,,1.0,100.0,0.3697
2006-04-19,12901.0,90935.74,1.87,3.22,0.29,0.22,0.0,90935.74,0.0,12901.0,0.0,,0.0,,,64.0,,0.0,,,,,0.0,,0.0,0.0,36818.0,259520.36,0.64,0.0,,1.0,100.0,0.3504
2006-04-26,12884.0,96365.78,1.86,2.94,0.29,0.24,0.0,96365.78,0.0,12884.0,0.0,,,,,,,,,,,17.0,0.0,0.0,0.0,0.0,35146.0,262874.23,0.67,0.0,,1.0,100.0,0.3666
2006-05-03,13004.0,93240.38,1.88,3.02,0.29,0.24,0.0,93240.38,0.0,13004.0,0.0,,0.0,,,120.0,,0.0,,,,,0.0,,0.0,0.0,37382.0,268033.83,0.7,0.0,,1.0,100.0,0.3479
