,MLAAH FP Equity_DX_SI_QTY,MLAAH FP Equity_DX_SHORT_INTEREST_VALUE,MLAAH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLAAH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLAAH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLAAH FP Equity_DX_SI_MV,MLAAH FP Equity_DX_DSS,MLAAH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLAAH FP Equity_DX_SUPPLY_SI_QTY,MLAAH FP Equity_DX_BROKER_SI_QTY,MLAAH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLAAH FP Equity_DX_BROKER_SI_QTY_ADD,MLAAH FP Equity_DX_SUPPLY_SI_MV_DEC,MLAAH FP Equity_DX_SUPPLY_SI_QTY_DEC,MLAAH FP Equity_DX_BROKER_SI_MV_ADD,MLAAH FP Equity_DX_SUPPLY_SI_QTY_ADD,MLAAH FP Equity_DX_BROKER_SI_QTY_DEC,MLAAH FP Equity_DX_SUPPLY_SI_MV,MLAAH FP Equity_DX_BROKER_SI_MV_DEC,MLAAH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLAAH FP Equity_DX_UTILIZATION_QUANTITY,MLAAH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLAAH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLAAH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLAAH FP Equity_DX_ACTIVE_UTILIZATION_MV,MLAAH FP Equity_DX_BROKER_SI_CON_RATIO,MLAAH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLAAH FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-08-30,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-02,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-03,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-04,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-05,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-06,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-09,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,210000.0,189000.0,0.19,0.0,0.0,,0.0
2013-09-10,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-11,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-12,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-13,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-16,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-17,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-18,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-19,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-20,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-23,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-24,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-25,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-26,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-27,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-09-30,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-10-01,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,94500.0,0.09,0.0,0.0,,0.0
2013-10-02,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,110250.0,0.09,0.0,0.0,,0.0
2013-10-03,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,112350.0,0.11,0.0,0.0,,0.0
2013-10-04,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,115500.0,0.11,0.0,0.0,,0.0
2013-10-07,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,120750.0,0.12,0.0,0.0,,0.0
2013-10-08,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,120750.0,0.12,0.0,0.0,,0.0
2013-10-09,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,135450.0,0.12,0.0,0.0,,0.0
2013-10-10,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,141750.0,0.14,0.0,0.0,,0.0
2013-10-11,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,145950.0,0.14,0.0,0.0,,0.0
2013-10-14,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,152250.0,0.15,0.0,0.0,,0.0
2013-10-15,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,152250.0,0.15,0.0,0.0,,0.0
2013-10-16,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,155400.0,0.15,0.0,0.0,,0.0
2013-10-17,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,156450.0,0.16,0.0,0.0,,0.0
2013-10-18,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,156450.0,0.16,0.0,0.0,,0.0
2013-10-21,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,156450.0,0.16,0.0,0.0,,0.0
2013-10-22,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,105000.0,152250.0,0.16,0.0,0.0,,0.0
