,MLMIB FP Equity_DX_SI_QTY,MLMIB FP Equity_DX_SHORT_INTEREST_VALUE,MLMIB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMIB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMIB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMIB FP Equity_DX_SI_MV,MLMIB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMIB FP Equity_DX_SUPPLY_SI_QTY,MLMIB FP Equity_DX_BROKER_SI_QTY,MLMIB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMIB FP Equity_DX_SUPPLY_SI_MV,MLMIB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMIB FP Equity_DX_UTILIZATION_QUANTITY,MLMIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMIB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMIB FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMIB FP Equity_DX_BROKER_SI_CON_RATIO,MLMIB FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,9606.9,0.01,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,8677.2,0.01,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,9544.92,0.01,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,9544.92,0.01,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10226.7,0.01,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10226.7,0.01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10226.7,0.01,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10102.74,0.01,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10226.7,0.01,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.0,10536.6,0.01,0.0,0.0,0.0
