,EXA FP Equity_DX_SI_QTY,EXA FP Equity_DX_SHORT_INTEREST_VALUE,EXA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EXA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EXA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EXA FP Equity_DX_SI_MV,EXA FP Equity_DX_DSS,EXA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EXA FP Equity_DX_SUPPLY_SI_QTY,EXA FP Equity_DX_BROKER_SI_QTY,EXA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EXA FP Equity_DX_BROKER_SI_MV_NEW_x,EXA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EXA FP Equity_DX_SUPPLY_SI_QTY_INC_x,EXA FP Equity_DX_BROKER_SI_MV_INC_x,EXA FP Equity_DX_SUPPLY_SI_MV_NEW,EXA FP Equity_DX_BROKER_SI_QTY_ADD,EXA FP Equity_DX_BROKER_SI_QTY_NEW,EXA FP Equity_DX_SUPPLY_SI_MV_DEC,EXA FP Equity_DX_BROKER_SI_QTY_INC,EXA FP Equity_DX_SUPPLY_SI_QTY_DEC,EXA FP Equity_DX_BROKER_SI_MV_NEW_y,EXA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EXA FP Equity_DX_BROKER_SI_MV_INC_y,EXA FP Equity_DX_SUPPLY_SI_QTY_INC_y,EXA FP Equity_DX_BROKER_SI_MV_ADD,EXA FP Equity_DX_SUPPLY_SI_QTY_ADD,EXA FP Equity_DX_BROKER_SI_QTY_DEC,EXA FP Equity_DX_SUPPLY_SI_MV,EXA FP Equity_DX_BROKER_SI_MV_DEC,EXA FP Equity_DX_SUPPLY_SI_MV_RMV,EXA FP Equity_DX_BROKER_SI_MV_RMV,EXA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EXA FP Equity_DX_UTILIZATION_QUANTITY,EXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EXA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EXA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EXA FP Equity_DX_ACTIVE_UTILIZATION_MV,EXA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EXA FP Equity_DX_BROKER_SI_CON_RATIO,EXA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EXA FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86086.0,1234819.73,,1.52,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,85822.0,1317226.07,,1.63,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86031.0,1282109.93,,1.58,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,85562.0,1305612.49,,1.6,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,80868.0,1237915.43,,1.53,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82031.0,1215854.39,,1.5,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,76529.0,1202486.58,,1.41,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,65689.0,1106645.33,,1.35,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,65543.0,1110025.15,,1.37,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,65819.0,1084846.18,,1.35,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,65802.0,1118675.18,,1.34,0.0,,0.0,,0.0
