,LCEUD FP Equity_PX_LAST
2024-04-10,1324.0
2024-04-11,1300.0
2024-04-12,1300.6
2024-04-15,1302.4
2024-04-16,1286.6
2024-04-17,1283.8
2024-04-18,1285.6
2024-04-19,1283.0
2024-04-22,1293.0
2024-04-23,1307.0
2024-04-24,1299.8
2024-04-25,1297.6
2024-04-26,1313.0
2024-04-29,1315.8
2024-04-30,1307.8
2024-05-02,1305.4
2024-05-03,1313.8
2024-05-06,1321.0
2024-05-07,1337.0
2024-05-08,1342.6
2024-05-09,1346.4
2024-05-10,1359.6
2024-05-13,1359.0
2024-05-14,1360.8
2024-05-15,1364.4
2024-05-16,1364.2
2024-05-17,1361.8
2024-05-20,1365.2
2024-05-21,1361.4
2024-05-22,1359.6
2024-05-23,1362.2
2024-05-24,1360.4
2024-05-27,1365.8
2024-05-28,1357.2
2024-05-29,1342.0
2024-05-30,1351.0
2024-05-31,1355.6
2024-06-03,1360.8
2024-06-04,1359.2
2024-06-05,1378.4
2024-06-06,1385.0
2024-06-07,1383.8
2024-06-10,1375.8
2024-06-11,1366.0
2024-06-12,1378.4
2024-06-13,1361.6
2024-06-14,1352.2
2024-06-17,1353.6
2024-06-18,1360.2
2024-06-19,1358.4
2024-06-20,1369.8
2024-06-21,1360.2
2024-06-24,1369.0
2024-06-25,1364.4
2024-06-26,1359.0
2024-06-27,1350.0
2024-06-28,1345.6
2024-07-01,1350.4
2024-07-02,1342.2
2024-07-03,1355.0
2024-07-04,1363.0
2024-07-05,1359.2
2024-07-08,1360.2
2024-07-09,1345.6
2024-07-10,1359.8
2024-07-11,1371.2
2024-07-12,1383.6
2024-07-15,1365.0
2024-07-16,1358.8
2024-07-17,1348.4
2024-07-18,1343.8
2024-07-19,1332.0
2024-07-22,1350.2
2024-07-23,1347.6
2024-07-24,1339.0
2024-07-25,1330.0
2024-07-26,1341.2
2024-07-29,1341.8
2024-07-30,1342.0
2024-07-31,1352.0
2024-08-01,1335.0
2024-08-02,1299.2
2024-08-05,1277.8
2024-08-06,1281.4
2024-08-07,1305.2
2024-08-08,1301.2
2024-08-09,1307.2
2024-08-12,1307.0
2024-08-13,1314.6
2024-08-14,1320.8
2024-08-15,1341.8
2024-08-16,1343.2
2024-08-19,1352.0
2024-08-20,1348.6
2024-08-21,1354.4
2024-08-22,1357.6
2024-08-23,1363.4
2024-08-26,1363.6
2024-08-27,1367.0
2024-08-28,1372.2
2024-08-29,1382.8
2024-08-30,1382.8
2024-09-02,1384.8
2024-09-03,1371.4
2024-09-04,1354.8
2024-09-05,1345.4
2024-09-06,1328.2
2024-09-09,1336.6
2024-09-10,1329.2
2024-09-11,1330.2
2024-09-12,1340.0
2024-09-13,1347.0
2024-09-16,1345.6
2024-09-17,1351.8
2024-09-18,1344.2
2024-09-19,1361.8
2024-09-20,1341.8
2024-09-23,1346.2
2024-09-24,1354.4
2024-09-25,1355.2
2024-09-26,1376.0
2024-09-27,1384.8
2024-09-30,1353.8
2024-10-01,1353.8
2024-10-02,1346.4
2024-10-03,1332.4
2024-10-04,1339.2
2024-10-07,1339.4
2024-10-08,1333.6
2024-10-09,1344.2
2024-10-10,1340.0
2024-10-11,1344.0
2024-10-14,1352.4
2024-10-15,1335.4
2024-10-16,1327.6
2024-10-17,1337.0
2024-10-18,1342.4
2024-10-21,1334.4
2024-10-22,1331.8
2024-10-23,1326.6
2024-10-24,1328.4
2024-10-25,1327.8
2024-10-28,1333.4
2024-10-29,1323.2
2024-10-30,1301.6
2024-10-31,1281.4
2024-11-01,1297.8
2024-11-04,1295.2
2024-11-05,1286.0
2024-11-06,1273.0
2024-11-07,1281.6
2024-11-08,1273.6
2024-11-11,1287.8
2024-11-12,1266.2
2024-11-13,1262.4
2024-11-14,1283.2
2024-11-15,1268.8
2024-11-18,1266.6
2024-11-19,1261.8
2024-11-20,1261.8
2024-11-21,1268.0
2024-11-22,1285.8
2024-11-25,1289.6
2024-11-26,1280.4
2024-11-27,1277.6
2024-11-28,1284.8
2024-11-29,1291.2
2024-12-02,1296.4
2024-12-03,1302.2
2024-12-04,1300.8
2024-12-05,1308.4
2024-12-06,1311.8
2024-12-09,1314.2
2024-12-10,1309.0
2024-12-11,1310.4
2024-12-12,1310.0
2024-12-13,1306.2
2024-12-16,1306.2
2024-12-17,1306.2
2024-12-18,1307.0
2024-12-19,1289.2
2024-12-20,1286.2
2024-12-23,1285.6
2024-12-24,1291.0
2024-12-27,1296.0
2024-12-30,1289.4
2024-12-31,1292.2
2025-01-02,1306.2
2025-01-03,1294.2
2025-01-06,1314.4
2025-01-07,1317.8
2025-01-08,1312.0
2025-01-09,1318.2
2025-01-10,1305.4
2025-01-13,1296.8
2025-01-14,1290.2
2025-01-15,1306.2
2025-01-16,1319.0
2025-01-17,1327.4
2025-01-20,1327.4
2025-01-21,1330.2
2025-01-22,1333.4
2025-01-23,1335.0
2025-01-24,1332.8
2025-01-27,1330.6
2025-01-28,1332.4
2025-01-29,1337.6
2025-01-30,1351.0
2025-01-31,1351.8
2025-02-03,1339.0
2025-02-04,1338.2
2025-02-05,1343.0
2025-02-06,1364.2
2025-02-07,1353.2
2025-02-10,1362.4
2025-02-11,1364.0
2025-02-12,1362.8
2025-02-13,1380.0
2025-02-14,1372.4
2025-02-17,1376.4
2025-02-18,1379.4
2025-02-19,1368.4
2025-02-20,1370.4
2025-02-21,1382.2
2025-02-24,1379.8
2025-02-25,1381.4
2025-02-26,1392.0
2025-02-27,1385.0
2025-02-28,1382.4
2025-03-03,1394.0
2025-03-04,1368.2
2025-03-05,1378.8
2025-03-06,1380.0
2025-03-07,1376.6
2025-03-10,1364.6
2025-03-11,1343.8
2025-03-12,1345.6
2025-03-13,1345.6
2025-03-14,1356.2
2025-03-17,1365.6
2025-03-18,1372.0
2025-03-19,1375.2
2025-03-20,1372.4
2025-03-21,1362.0
2025-03-24,1358.8
2025-03-25,1361.8
2025-03-26,1349.4
2025-03-27,1345.0
2025-03-28,1339.8
2025-03-31,1307.0
2025-04-01,1315.8
2025-04-02,1308.2
2025-04-03,1275.2
2025-04-04,1221.0
2025-04-07,1161.2
2025-04-08,1193.4
2025-04-09,1149.4
2025-04-10,1191.8
2025-04-11,1193.0
2025-04-14,1224.2
2025-04-15,1242.8
2025-04-16,1235.2
2025-04-17,1233.8
2025-04-22,1238.8
2025-04-23,1261.2
2025-04-24,1264.8
2025-04-25,1266.0
2025-04-28,1276.0
2025-04-29,1283.6
2025-04-30,1289.2
2025-05-02,1309.4
2025-05-05,1314.0
2025-05-06,1309.8
2025-05-07,1301.4
2025-05-08,1305.6
2025-05-09,1313.8
2025-05-12,1326.4
2025-05-13,1326.6
2025-05-14,1318.4
2025-05-15,1330.6
2025-05-16,1336.0
2025-05-19,1340.0
2025-05-20,1352.6
2025-05-21,1355.8
2025-05-22,1344.8
2025-05-23,1335.2
2025-05-26,1350.6
2025-05-27,1352.0
2025-05-28,1342.2
2025-05-29,1339.8
2025-05-30,1341.2
2025-06-02,1337.8
2025-06-03,1334.8
2025-06-04,1343.8
2025-06-05,1343.2
2025-06-06,1347.6
2025-06-09,1344.2
2025-06-10,1345.8
2025-06-11,1342.2
2025-06-12,1337.8
2025-06-13,1322.8
2025-06-16,1329.8
2025-06-17,1316.0
2025-06-18,1311.4
2025-06-19,1302.6
2025-06-20,1301.8
2025-06-23,1299.4
2025-06-24,1314.0
2025-06-25,1301.6
2025-06-26,1302.6
2025-06-27,1312.4
2025-06-30,1306.2
2025-07-01,1309.2
2025-07-02,1307.0
2025-07-03,1311.8
2025-07-04,1308.6
2025-07-07,1311.6
2025-07-08,1315.2
2025-07-09,1322.8
2025-07-10,1331.2
2025-07-11,1312.2
2025-07-14,1311.6
2025-07-15,1310.0
2025-07-16,1304.8
2025-07-17,1312.2
2025-07-18,1315.2
2025-07-21,1313.2
2025-07-22,1310.4
2025-07-23,1325.2
2025-07-24,1327.8
2025-07-25,1324.4
2025-07-28,1319.4
2025-07-29,1326.6
2025-07-30,1332.8
2025-07-31,1322.6
2025-08-01,1291.4
2025-08-04,1305.6
2025-08-05,1307.4
2025-08-06,1302.6
2025-08-07,1317.2
2025-08-08,1320.8
2025-08-11,1320.2
2025-08-12,1321.8
2025-08-13,1330.2
2025-08-14,1339.0
2025-08-15,1342.4
2025-08-18,1343.4
2025-08-19,1358.4
2025-08-20,1366.8
2025-08-21,1362.6
2025-08-22,1367.2
2025-08-25,1357.2
2025-08-26,1346.4
2025-08-27,1345.0
2025-08-28,1342.4
2025-08-29,1335.2
