,LVE FP Equity_DX_SI_QTY,LVE FP Equity_DX_SHORT_INTEREST_VALUE,LVE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LVE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LVE FP Equity_DX_SI_MV,LVE FP Equity_DX_DSS,LVE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LVE FP Equity_DX_SUPPLY_SI_QTY,LVE FP Equity_DX_BROKER_SI_QTY,LVE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LVE FP Equity_DX_BROKER_SI_MV_NEW_x,LVE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LVE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LVE FP Equity_DX_BROKER_SI_MV_INC_x,LVE FP Equity_DX_SUPPLY_SI_MV_NEW,LVE FP Equity_DX_BROKER_SI_QTY_ADD,LVE FP Equity_DX_BROKER_SI_QTY_NEW,LVE FP Equity_DX_SUPPLY_SI_MV_DEC,LVE FP Equity_DX_BROKER_SI_QTY_INC,LVE FP Equity_DX_SUPPLY_SI_QTY_DEC,LVE FP Equity_DX_BROKER_SI_MV_NEW_y,LVE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LVE FP Equity_DX_BROKER_SI_MV_INC_y,LVE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LVE FP Equity_DX_BROKER_SI_MV_ADD,LVE FP Equity_DX_SUPPLY_SI_QTY_ADD,LVE FP Equity_DX_BROKER_SI_QTY_DEC,LVE FP Equity_DX_SUPPLY_SI_MV,LVE FP Equity_DX_BROKER_SI_MV_DEC,LVE FP Equity_DX_SUPPLY_SI_MV_RMV,LVE FP Equity_DX_BROKER_SI_MV_RMV,LVE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LVE FP Equity_DX_UTILIZATION_QUANTITY,LVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LVE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LVE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LVE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LVE FP Equity_DX_ACTIVE_UTILIZATION_MV,LVE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LVE FP Equity_DX_BROKER_SI_CON_RATIO,LVE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LVE FP Equity_DX_DEMAND_SUPPLY_RATIO,LVE FP Equity_PX_LAST
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.52
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.18
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.85
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.67
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.39
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.38
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.56
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.89
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.89
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.95
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.17
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.25
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.95
2007-07-02,3600.0,150190.06,0.4,1.03,0.2,,150190.06,0.0,3600.0,0.0,,,,,,3600.0,,,,,,,,,0.2,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,56.8
2007-07-03,3600.0,152807.81,0.39,1.03,0.2,,152807.81,0.0,3600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,57.79
2007-07-04,3600.0,153415.97,0.39,1.03,0.2,,153415.97,0.0,3600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,58.02
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.38
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.05
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.16
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.01
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.35
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.81
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.13
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.78
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.85
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.61
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.28
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.91
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.89
2007-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.89
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.55
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.04
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42
2007-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78
2007-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6
2007-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02
2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.13
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.85
2007-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.65
2007-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.09
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.04
2007-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.21
2007-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.47
2007-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51
2007-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.54
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.78
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.42
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.82
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.48
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.81
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.55
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.43
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.56
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.77
