,EMEIS FP Equity_DX_SI_QTY,EMEIS FP Equity_DX_SHORT_INTEREST_VALUE,EMEIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EMEIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EMEIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EMEIS FP Equity_DX_SI_MV,EMEIS FP Equity_DX_DSS,EMEIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EMEIS FP Equity_DX_SUPPLY_SI_QTY,EMEIS FP Equity_DX_BROKER_SI_QTY,EMEIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EMEIS FP Equity_DX_BROKER_SI_MV_NEW_x,EMEIS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EMEIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,EMEIS FP Equity_DX_BROKER_SI_MV_INC_x,EMEIS FP Equity_DX_SUPPLY_SI_MV_NEW,EMEIS FP Equity_DX_BROKER_SI_QTY_ADD,EMEIS FP Equity_DX_BROKER_SI_QTY_NEW,EMEIS FP Equity_DX_SUPPLY_SI_MV_DEC,EMEIS FP Equity_DX_BROKER_SI_QTY_INC,EMEIS FP Equity_DX_SUPPLY_SI_QTY_DEC,EMEIS FP Equity_DX_BROKER_SI_MV_NEW_y,EMEIS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EMEIS FP Equity_DX_BROKER_SI_MV_INC_y,EMEIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,EMEIS FP Equity_DX_BROKER_SI_MV_ADD,EMEIS FP Equity_DX_SUPPLY_SI_QTY_ADD,EMEIS FP Equity_DX_BROKER_SI_QTY_DEC,EMEIS FP Equity_DX_SUPPLY_SI_MV,EMEIS FP Equity_DX_BROKER_SI_MV_DEC,EMEIS FP Equity_DX_SUPPLY_SI_MV_RMV,EMEIS FP Equity_DX_BROKER_SI_MV_RMV,EMEIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EMEIS FP Equity_DX_UTILIZATION_QUANTITY,EMEIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EMEIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EMEIS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EMEIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EMEIS FP Equity_DX_ACTIVE_UTILIZATION_MV,EMEIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EMEIS FP Equity_DX_BROKER_SI_CON_RATIO,EMEIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EMEIS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,322403.0,13787018.36,3.83,19.71,1.8,15.28,1.0,2861677.72,312212.0,66919.0,13351217.5,2.37,,9443.0,0.0,,,50317.0,,84.0,,2.37,,0.0,9443.0,,,,14.79,,,,31.64,31.64,674659.0,28850649.72,,31.95,31.64,15.57,0.6518,79.14,0.3267
2006-01-11,339219.0,14595252.75,4.03,17.55,1.89,16.21,1.0,3499179.35,316413.0,81327.0,13614000.71,,,4211.0,0.73,,,,0.0,15028.0,10.0,,,0.73,4211.0,,,620.0,15.12,0.03,,,31.94,31.94,674341.0,29014227.78,,32.21,31.95,19.19,0.6142,75.91,0.3424
2006-01-18,333276.0,14412016.67,3.95,16.88,1.86,16.12,1.0,3300429.48,314115.0,76322.0,13583428.19,,,72.0,0.02,,,,0.0,400.0,2369.0,,,0.02,72.0,,,5405.0,15.2,0.22,,,31.71,31.71,676371.0,29248641.14,,32.68,31.74,17.94,0.6261,76.99,0.3365
2006-01-25,341708.0,14398948.13,4.05,18.59,1.91,16.0,1.0,3251127.99,322023.0,77154.0,13569458.35,,38700.0,3596.0,0.0,1.81,,,,2132.0,,,38700.0,0.0,3596.0,,4095.0,1300.0,15.07,0.06,1.86,,33.2,33.2,647942.0,27303086.98,38483.0,30.31,33.22,18.06,0.6131,76.1,0.3523
2006-02-01,341113.0,14679834.58,4.05,16.96,1.9,16.15,1.0,3190665.89,324537.0,74141.0,13966484.64,,,3070.0,,,,,0.02,,556.0,,,,3070.0,,,3014.0,15.33,0.08,,,34.44,34.44,617670.0,26581494.76,,29.12,34.49,17.82,0.6224,76.78,0.362
2006-02-08,379858.0,16553721.13,4.51,14.45,2.12,17.09,1.0,5039223.98,325792.0,115635.0,14197594.67,,,4457.0,0.0,,43298.0,,1.05,196.0,3202.0,,,0.0,4457.0,1.96,,2000.0,14.4,0.06,,,34.45,34.45,619883.0,27013700.69,,29.71,32.64,16.49,0.4842,66.78,0.4017
2006-02-15,408280.0,18587605.79,4.84,14.53,2.28,19.06,1.0,3321803.83,392116.0,72964.0,17851713.61,2.76,,27825.0,,,,55000.0,0.07,,8701.0,2.76,,,27825.0,,47200.0,39244.0,18.05,1.77,,2.81,43.34,43.34,512570.0,23335576.32,,25.37,41.57,14.53,0.6563,79.63,0.4513
2006-02-22,346566.0,16044867.5,4.11,11.58,1.93,18.23,1.0,3303178.06,326572.0,71348.0,15119210.97,,,,,,,,0.95,,66525.0,,,,,,981.0,1616.0,17.26,0.06,,,42.55,42.55,440980.0,20415925.6,,22.49,43.42,15.42,0.6397,78.41,0.4515
2006-03-01,339413.0,15682956.2,4.03,10.98,1.89,18.11,1.0,3209014.71,320279.0,69450.0,14798848.39,,,,,,,,0.0,,6293.0,,,,,,,1898.0,17.24,0.1,,,42.12,42.12,440142.0,20337251.99,,23.12,42.72,14.96,0.6464,78.92,0.4463
2006-03-08,400644.0,18239964.57,4.75,12.48,2.23,21.79,1.0,3620959.21,369765.0,79535.0,16834148.27,,,200.0,0.52,,,,1.3,10085.0,33462.0,,,0.52,200.0,,82748.0,,20.41,,,,51.21,51.08,352243.0,16036430.94,,17.24,54.21,15.45,0.6153,76.73,0.5534
2006-03-15,399405.0,19612911.33,4.74,12.08,2.23,22.42,1.0,3604625.3,373888.0,73406.0,18359890.82,,,5522.0,0.05,,,,0.01,1000.0,1399.0,,,0.05,5522.0,,,7129.0,21.15,0.17,,,51.24,51.24,355726.0,17468039.95,,19.14,52.49,14.28,0.6227,77.42,0.5474
2006-03-22,393367.0,20136113.59,4.67,12.61,2.19,22.48,1.0,3135948.34,383986.0,61262.0,19655908.39,,,10097.0,0.01,,296.0,,,220.0,,,,0.01,10097.0,0.02,,12660.0,21.99,0.55,,,52.45,52.31,348158.0,17821904.32,,19.79,52.64,13.35,0.637,78.56,0.5359
2006-03-29,390348.0,19433406.55,4.63,13.9,2.18,21.98,1.0,3001576.84,380675.0,60291.0,18951837.95,,,,0.0,,,,0.3,35.0,3311.0,,,0.0,,,,1006.0,21.52,0.05,,,52.73,52.73,341285.0,16990813.72,,18.98,53.14,13.22,0.6437,79.02,0.5407
2006-04-05,405681.0,20031360.71,4.81,16.7,2.26,22.64,1.0,2978082.43,396235.0,60313.0,19564944.4,,,20560.0,0.0,,,,0.28,22.0,5000.0,,,0.0,20560.0,,,,22.19,,,,54.75,54.75,327445.0,16168292.1,,18.04,55.15,12.63,0.6809,81.46,0.5606
2006-04-12,292855.0,14274608.3,3.48,13.09,1.63,25.78,1.0,3073436.18,237405.0,63054.0,11571813.3,0.27,,35000.0,,,,4944.0,0.0,,172989.0,0.27,,,35000.0,,18000.0,2203.0,22.97,0.1,2.17,,55.62,43.99,189404.0,9232104.32,38841.0,13.06,63.75,10.29,0.7074,83.4,0.5426
2006-04-19,355615.0,17398151.66,4.22,15.86,1.98,18.31,1.0,3013285.6,306827.0,61591.0,15011241.6,,,51978.0,0.0,,,,9.45,1159.0,34360.0,,,0.0,51978.0,,51804.0,2622.0,16.0,0.49,,,47.2,47.2,343296.0,16795455.4,,18.24,46.74,15.37,0.5554,72.62,0.547
2006-04-26,347445.0,18855678.72,4.12,14.3,1.94,19.65,1.0,3368781.41,297078.0,62075.0,16122285.03,,,,0.06,,,,0.0,1165.0,9749.0,,,0.06,,,,681.0,16.66,0.02,,,60.05,60.05,197645.0,10726102.32,,11.27,59.65,18.74,0.5218,69.44,0.7023
2006-05-03,348685.0,18480699.79,4.14,14.58,1.94,20.2,1.0,3227874.95,299653.0,60902.0,15881948.27,,,4551.0,,,626.0,,0.0,,1977.0,,,,4551.0,0.04,,1799.0,17.35,0.1,,,58.48,58.48,212791.0,11278163.93,,12.34,58.44,18.05,0.5378,70.81,0.6804
2006-05-10,341381.0,18743092.63,4.05,14.54,1.9,20.06,1.0,2991045.78,298686.0,54478.0,16398977.58,,,8434.0,0.01,,,,0.37,93.0,9400.0,,,0.01,8434.0,,,6517.0,17.53,0.32,,,60.07,60.07,198525.0,10899764.38,,11.64,60.09,15.73,0.5597,72.87,0.6866
2006-05-17,368773.0,18509648.1,4.38,13.75,2.06,21.26,1.0,2547120.08,329995.0,50747.0,16563282.36,,,13523.0,0.42,,,,0.14,7122.0,2525.0,,,0.42,13523.0,,20311.0,10852.0,19.08,0.78,,,85.85,67.58,54382.0,2729569.91,,0.0,256.59,10.53,0.6274,78.17,0.7552
2006-05-24,364849.0,17684640.0,4.33,12.18,2.03,20.12,1.0,2324238.72,328797.0,47951.0,15937159.14,,,292.0,0.0,,1000.0,,0.51,90.0,1490.0,,,0.0,292.0,0.06,,3887.0,18.13,0.26,,,85.52,65.93,55649.0,2697369.41,,0.0,256.83,9.08,0.6337,78.72,0.7316
2006-05-31,408774.0,21387722.19,4.85,12.5,2.28,23.08,1.0,2633138.38,391048.0,50326.0,20460268.97,,62731.0,1773.0,0.24,3.54,,,0.0,2623.0,2253.0,,62731.0,0.24,1773.0,,,248.0,22.05,0.01,,,77.4,63.13,114172.0,5973665.2,,0.0,306.27,8.57,0.6711,81.24,0.66
2006-06-07,388851.0,19217958.72,4.61,12.73,2.17,21.53,1.0,2368075.41,369370.0,47915.0,18255160.49,,,2838.0,0.08,,1200.0,,1.46,1556.0,24516.0,,,0.08,2838.0,0.07,,5167.0,20.44,0.35,,,56.33,56.33,286373.0,14153247.62,,15.81,56.37,6.93,0.6602,80.66,0.593
2006-06-14,402440.0,17720121.31,4.78,13.37,2.24,20.2,1.0,2969630.61,361558.0,67443.0,15920016.95,,,,0.84,,1500.0,,1.88,18048.0,10673.0,,,0.84,,0.07,2861.0,20.0,17.96,0.0,,,55.88,55.88,285500.0,12571053.16,,14.2,55.84,10.7,0.5578,73.25,0.622
2006-06-21,415224.0,18775836.67,4.93,11.49,2.32,21.09,1.0,2722384.18,378548.0,60205.0,17117400.3,,,23245.0,0.05,,,,0.33,860.0,7255.0,,,0.05,23245.0,,1000.0,8098.0,19.1,0.37,,,60.83,60.83,243747.0,11021891.46,,12.29,60.84,10.16,0.6148,77.38,0.6672
2006-06-28,486943.0,23845317.33,5.78,12.76,2.72,26.99,1.0,5503330.57,443898.0,112383.0,21737428.56,,,24943.0,0.05,,64000.0,,1.64,596.0,51635.0,,,0.05,24943.0,3.66,92042.0,12419.0,24.47,0.59,,,89.38,76.5,52761.0,2583675.68,,0.0,334.21,18.9,0.4936,67.17,0.8392
2006-07-03,494118.0,24263823.74,5.86,12.36,2.76,27.3,1.0,6825688.93,426903.0,139001.0,20963209.49,,,3189.0,1.85,,,,1.26,33260.0,22017.0,,,1.85,3189.0,,1834.0,6642.0,23.43,0.38,,,89.54,67.79,49852.0,2447998.54,,0.0,383.02,27.9,0.4458,60.32,0.7846
2006-07-04,493840.0,24406769.52,5.86,12.5,2.75,27.39,1.0,6869568.57,426703.0,138997.0,21088696.28,,,135.0,,,,,0.0,,335.0,,,,135.0,,,4.0,23.52,0.0,,,89.52,67.31,49965.0,2469391.38,,0.0,382.53,27.86,0.4459,60.35,0.779
2006-07-05,503475.0,24632072.35,5.97,12.97,2.81,28.24,1.0,7289792.03,426441.0,149002.0,20863251.53,,,444.0,0.66,,,,0.0,10005.0,707.0,,,0.66,444.0,,,,23.76,,,,81.46,62.51,97041.0,4747645.73,,0.0,382.86,29.98,0.4377,58.65,0.738
2006-07-06,541308.0,26532061.28,6.42,14.09,3.02,29.81,1.0,7303928.84,464144.0,149015.0,22749889.25,,,34255.0,0.0,,,,0.14,13.0,251.0,,,0.0,34255.0,,3700.0,,25.36,,,,82.16,67.06,100800.0,4940684.01,,0.0,317.78,27.31,0.4641,62.14,0.782
2006-07-07,560893.0,27187112.42,6.66,14.57,3.13,30.85,1.0,8100348.31,465955.0,167117.0,22585361.15,,,1811.0,1.05,,,,,20000.0,,,,1.05,1811.0,,,1898.0,25.46,0.1,,,82.36,67.24,99779.0,4836399.97,,0.0,318.11,30.68,0.4531,59.67,0.8094
2006-07-10,561078.0,26941910.61,6.66,15.25,3.13,30.84,1.0,8024980.25,466042.0,167124.0,22378460.58,,,247.0,0.0,,,,0.01,8.0,160.0,,,0.0,247.0,,,,25.46,,,,82.47,67.31,99093.0,4758259.54,,0.0,318.18,30.7,0.4532,59.67,0.8104
2006-07-11,563527.0,26421311.07,6.69,15.28,3.14,30.54,1.0,7835711.85,468147.0,167124.0,21949360.92,,,2746.0,,,,,0.13,,641.0,,,,2746.0,,,0.0,25.19,0.0,,,82.32,67.27,100555.0,4714583.21,,0.0,320.05,30.63,0.4526,59.65,0.8097
2006-07-12,567376.0,26987306.76,6.73,15.19,3.16,30.3,1.0,8463214.0,459252.0,177929.0,21844375.87,,,,0.45,,1000.0,,0.73,9805.0,8896.0,,,0.45,,0.05,,,24.32,,,,81.72,66.63,102725.0,4886126.81,,0.0,314.78,32.36,0.4428,57.9,0.8232
2006-07-13,567408.0,26217719.45,6.73,15.63,3.16,30.5,1.0,8220622.38,464418.0,177912.0,21458951.64,,,4097.0,,,,,0.0,,121.0,,,,4097.0,,1190.0,16.0,24.77,0.0,,,83.2,67.76,93771.0,4332793.63,,0.0,318.0,32.38,0.4437,57.97,0.8278
2006-07-14,575419.0,26848542.1,6.83,16.09,3.21,30.38,1.0,8535398.82,466784.0,182931.0,21779728.99,,,3423.0,0.12,,,,0.18,5018.0,1057.0,,,0.12,3423.0,,,,24.44,,,,82.51,67.36,98956.0,4617199.52,,0.0,320.3,33.04,0.4398,57.26,0.8304
2006-07-17,573811.0,26617552.02,6.81,15.98,3.2,30.6,1.0,8484843.08,465724.0,182913.0,21603686.23,,,895.0,,,,,0.0,,1955.0,,,,895.0,,,18.0,24.64,0.0,,,82.98,67.6,95517.0,4430777.24,,0.0,318.92,33.06,0.4408,57.34,0.8328
2006-07-18,585381.0,26915592.83,6.95,15.93,3.26,30.92,1.0,8824683.53,467873.0,191926.0,21512620.27,,,2839.0,0.4,,,,0.1,9012.0,690.0,,,0.4,2839.0,,,,24.51,,,,82.77,67.51,97426.0,4479609.94,,0.0,320.83,34.34,0.4362,56.17,0.8447
2006-07-19,581902.0,26887430.89,6.9,15.7,3.25,30.28,1.0,8867831.44,464283.0,191919.0,21452713.81,,,,,,,,0.62,,6940.0,,,,,,3350.0,7.0,23.93,0.0,,,82.5,67.12,98489.0,4550794.09,,0.0,319.21,34.5,0.4344,55.91,0.8413
2006-07-20,583739.0,27924275.46,6.93,15.52,3.26,30.59,1.0,9323750.44,463284.0,194907.0,22162079.34,,,255.0,0.17,,,,0.0,3000.0,1254.0,,,0.17,255.0,,,12.0,24.05,0.0,,,82.04,66.79,101404.0,4850854.97,,0.0,318.34,34.28,0.4289,55.54,0.8416
2006-07-21,584573.0,27884727.78,6.94,15.77,3.26,31.39,1.0,9535242.89,459721.0,199896.0,21929160.15,,,999.0,0.26,,,,0.0,5000.0,4562.0,,,0.26,999.0,,,11.0,24.5,0.0,,,82.92,67.51,94685.0,4516570.98,,0.0,314.71,34.05,0.4219,55.01,0.8584
2006-07-24,584178.0,27733569.23,6.93,16.36,3.26,31.48,1.0,9491058.25,459470.0,199919.0,21813116.98,,,282.0,0.0,,,,0.0,23.0,533.0,,,0.0,282.0,,,,24.57,,,,83.12,67.7,93316.0,4430132.16,,0.0,314.44,34.08,0.4221,55.02,0.8607
2006-07-25,584425.0,27930617.06,6.93,16.86,3.26,31.38,1.0,9554643.89,459610.0,199923.0,21965506.11,,,315.0,0.0,,,,0.03,3.0,175.0,,,0.0,315.0,,,,24.49,,,,82.91,67.56,94718.0,4526726.59,,0.0,314.65,34.04,0.4217,55.0,0.8591
2006-07-26,594802.0,28345716.9,7.06,17.93,3.32,31.9,1.0,9765323.98,469514.0,204914.0,22375027.2,,,12217.0,0.23,,,,0.13,5000.0,2313.0,,,0.23,12217.0,,,9.0,24.99,0.0,,,79.05,68.75,124466.0,5931516.71,,0.0,266.51,34.68,0.4198,54.43,0.8709
2006-07-27,587509.0,28157849.09,6.97,17.91,3.28,31.54,1.0,9437695.44,462883.0,196916.0,22184834.04,,,586.0,0.0,,,,0.38,2.0,7216.0,,,0.0,586.0,,,8000.0,24.64,0.41,,,77.76,67.65,132359.0,6343638.56,,0.0,263.18,33.55,0.4224,55.36,0.8586
2006-07-28,588056.0,27917675.41,6.98,20.72,3.28,31.72,1.0,9443298.88,461140.0,198913.0,21892399.43,,,,0.63,,,,0.01,12000.0,1743.0,,,0.63,,,,10002.0,24.69,0.49,,,77.93,67.75,130562.0,6198368.08,,0.0,261.53,31.26,0.407,55.16,0.8639
2006-07-31,587800.0,28757598.94,6.97,21.11,3.28,31.6,1.0,9678071.97,461819.0,197818.0,22594089.12,,,963.0,0.0,,,,0.04,5.0,284.0,,,0.0,963.0,,,1100.0,24.63,0.06,,,67.39,67.39,223524.0,10935715.46,,11.89,67.44,31.24,0.408,55.26,0.8577
2006-08-01,584749.0,28184504.31,6.94,20.68,3.26,32.02,1.0,9533777.34,459384.0,197799.0,22141996.53,,,1054.0,,,,,0.0,,3489.0,,,,1054.0,,,20.0,24.98,0.0,,,67.94,67.94,216817.0,10450432.02,,11.67,68.15,31.44,0.4093,55.29,0.8648
2006-08-02,588077.0,28451471.47,6.98,21.29,3.28,31.95,1.0,9595211.91,462137.0,198328.0,22358428.69,,,2835.0,0.03,,,,0.06,529.0,82.0,,,0.03,2835.0,,,,24.92,,,,67.77,67.77,219750.0,10631619.42,,11.82,67.82,31.26,0.4082,55.27,0.8624
2006-08-03,588065.0,28344333.26,6.98,20.12,3.28,32.08,1.0,9558744.59,461989.0,198317.0,22267555.76,,,110.0,,,,,0.0,,259.0,,,,110.0,,,10.0,25.03,0.0,,,67.77,67.77,219740.0,10591318.63,,11.85,67.86,31.29,0.4093,55.37,0.8626
2006-08-04,590132.0,28871689.99,7.0,21.99,3.29,31.99,1.0,9702582.96,463879.0,198319.0,22694872.81,,,2198.0,0.0,,,,0.06,2.0,307.0,,,0.0,2198.0,,,,24.96,,,,67.46,67.46,223766.0,10947555.09,,12.04,67.46,31.17,0.4086,55.36,0.8582
2006-08-07,585891.0,28664202.79,6.95,22.17,3.27,32.33,1.0,9632279.0,461410.0,196882.0,22574079.15,,,590.0,0.0,,,,0.0,13.0,3060.0,,,0.0,590.0,,,1450.0,25.31,0.08,,,77.83,67.77,131411.0,6429167.8,,0.0,261.11,31.42,0.4126,55.6,0.8605
2006-08-08,587589.0,28747275.95,6.97,22.68,3.28,32.38,1.0,9697152.38,461707.0,198208.0,22588609.62,,,429.0,0.11,,,,0.02,2000.0,132.0,,,0.11,429.0,,,674.0,25.29,0.04,,,77.78,67.73,131932.0,6454657.27,,0.0,261.37,31.29,0.4098,55.43,0.862
2006-08-09,587838.0,28280133.75,6.98,23.62,3.28,32.27,1.0,9535533.18,462163.0,198208.0,22234070.37,,,912.0,,,,,0.04,,456.0,,,,912.0,,,,25.2,,,,77.97,67.88,130619.0,6283912.9,,0.0,261.95,31.39,0.4093,55.33,0.8634
2006-08-10,539678.0,26061007.7,6.4,22.54,3.01,29.43,1.0,9571448.56,413674.0,198208.0,19976284.56,,,876.0,,,,,0.08,,580.0,,,,876.0,,,,22.39,,2.68,,75.96,65.39,130937.0,6322937.32,48785.0,0.0,234.3,31.32,0.409,55.34,0.853
2006-08-11,541822.0,26139996.69,6.43,22.99,3.02,29.5,1.0,9562469.71,417272.0,198208.0,20131129.22,,,3598.0,,,,,,,,,,,3598.0,,,,22.46,,,,78.19,65.48,116404.0,5615866.79,,0.0,139.79,31.31,0.4092,55.36,0.8502
2006-08-14,555505.0,26875621.15,6.59,25.1,3.1,30.18,1.0,9589406.24,431938.0,198208.0,20897385.35,,,275.0,,,,,,,,,,,275.0,,14390.0,,23.18,,,,78.44,66.02,118738.0,5744606.27,,0.0,144.75,31.29,0.409,55.36,0.849
2006-08-15,555666.0,26858238.68,6.59,26.14,3.1,30.09,1.0,9580427.4,432100.0,198208.0,20885648.81,,,162.0,,,,,,,,,,,162.0,,,,23.11,,,,78.41,66.0,118977.0,5750779.54,,0.0,144.84,31.27,0.4087,55.34,0.8488
2006-08-16,549625.0,26591143.68,6.52,26.2,3.07,29.73,1.0,9400722.21,433059.0,194308.0,20951619.91,,,196.0,0.17,,,,0.13,3100.0,2337.0,,,0.17,196.0,,3100.0,7000.0,23.15,0.4,,,78.7,66.5,117229.0,5671600.06,,0.0,144.14,32.36,0.4196,55.73,0.844
2006-08-17,551010.0,26283738.48,6.54,26.86,3.07,29.93,1.0,9395669.71,424784.0,196970.0,20262629.65,,,20.0,0.14,,,,0.4,2662.0,8295.0,,,0.14,20.0,,,,22.82,,,,76.5,64.06,130455.0,6222836.43,,0.0,144.68,32.26,0.4154,55.4,0.8309
2006-08-18,549873.0,26104955.87,6.52,26.42,3.07,29.54,1.0,9233888.78,426112.0,194502.0,20229462.0,,,1380.0,,,,,0.01,,52.0,,,,1380.0,,,2468.0,22.61,0.14,,,64.06,64.06,239064.0,11349448.27,,12.68,64.07,32.36,0.4189,55.68,0.8267
2006-08-21,551419.0,26228310.16,6.54,26.2,3.08,29.36,1.0,9251510.71,426675.0,194502.0,20294847.0,,,1555.0,,,,,0.06,,993.0,,,,1555.0,,,,22.42,,,,63.9,63.9,241045.0,11465334.03,,12.77,63.71,32.3,0.4185,55.67,0.8258
2006-08-22,549797.0,26400218.2,6.52,26.31,3.07,29.64,1.0,9324254.54,425373.0,194182.0,20425611.67,,,4.0,0.04,,,,0.0,680.0,1305.0,,,0.04,4.0,,,1000.0,22.66,0.05,,,63.94,63.94,239908.0,11519931.08,,12.81,63.88,32.36,0.4199,55.77,0.8264
2006-08-23,601461.0,28826533.84,7.14,29.59,3.35,31.86,1.0,9302252.27,478629.0,194090.0,22939500.76,,50057.0,1699.0,,2.65,1502.0,,,,,,50057.0,,1699.0,0.08,1500.0,1594.0,24.92,0.08,,,66.39,66.39,242261.0,11610968.82,,11.0,69.38,33.02,0.4147,54.92,0.8343
2006-08-24,601190.0,28595673.68,7.13,29.32,3.35,31.84,1.0,9231771.18,478361.0,194087.0,22753297.73,,,,,,,,0.02,,268.0,,,,,,,2.0,24.91,0.0,,,66.38,66.38,242308.0,11525408.77,,10.93,69.51,33.0,0.4149,54.95,0.8342
2006-08-25,602494.0,28739577.74,7.15,29.97,3.36,31.7,1.0,9258099.97,479666.0,194086.0,22880556.98,,,1320.0,,,,,0.01,,15.0,,,,1320.0,,,1.0,24.79,0.0,,,66.46,66.46,242031.0,11545125.33,,10.99,69.29,32.97,0.4142,54.9,0.8348
2006-08-28,596729.0,28518645.15,7.08,30.01,3.33,31.35,1.0,8981192.25,480063.0,187924.0,22942988.1,,,397.0,0.0,,,,,6.0,,,,0.0,397.0,,,6168.0,24.79,0.33,,,66.47,66.47,242116.0,11571115.68,,11.0,69.27,33.42,0.4249,55.69,0.8263
2006-08-29,596465.0,28641127.82,6.89,31.21,3.33,31.37,1.0,9023805.16,479797.0,187925.0,23038949.82,,,44.0,0.0,,,,0.01,1.0,310.0,,,0.0,44.0,,,,24.8,,,,66.46,66.46,242159.0,11628019.87,,11.04,69.2,33.43,0.4248,55.68,0.8262
2006-08-30,592732.0,28247069.56,6.85,29.74,3.31,31.84,1.0,8954604.89,476087.0,187902.0,22688268.24,,,,,,,,0.0,,3710.0,,,,,,,23.0,25.3,0.0,,,66.24,66.24,242615.0,11561992.24,,12.74,66.5,32.88,0.4298,56.46,0.8247
2006-08-31,592629.0,28993853.52,6.85,30.15,3.31,31.85,1.0,9175474.47,476342.0,187545.0,23304614.14,,,324.0,,,,,0.0,,69.0,,,,324.0,,,357.0,25.3,0.02,,,66.27,66.27,242394.0,11858913.64,,12.96,66.12,32.82,0.43,56.51,0.8245
2006-09-01,586893.0,30334990.23,6.78,29.65,3.27,32.14,1.0,9497048.19,472911.0,183740.0,24443553.71,,,39.0,,,,,0.01,,3470.0,,,,39.0,,,3805.0,25.61,0.21,,,66.05,66.05,243071.0,12563715.04,,13.34,65.76,33.07,0.4341,56.73,0.8197
2006-09-04,592737.0,30610200.51,6.85,27.07,3.31,33.21,1.0,10005146.04,468755.0,193740.0,24207506.1,,,380.0,0.54,,,,0.02,10000.0,4536.0,,,0.54,380.0,,,,26.34,,,,65.71,65.71,244568.0,12630012.16,,13.18,66.65,31.62,0.4228,56.39,0.831
2006-09-05,578484.0,29507269.78,6.69,26.37,3.23,33.13,1.0,9397190.44,464012.0,184230.0,23668290.34,,,,,,,,0.07,,4744.0,,,,,,,9510.0,26.36,0.5,,,65.57,65.57,243690.0,12430121.79,,13.1,66.81,33.36,0.4351,56.66,0.8174
2006-09-06,590032.0,30203223.39,6.82,26.8,3.29,33.64,1.0,9430573.0,475560.0,184230.0,24343501.57,,,11661.0,,,,,0.01,,112.0,,,,11661.0,,,,26.91,,,,66.24,66.24,242414.0,12408961.2,,13.71,66.25,32.88,0.4368,57.08,0.8218
2006-09-07,588198.0,29762951.87,6.8,26.5,3.28,33.75,1.0,9271732.45,474721.0,183235.0,24020989.99,,,16.0,,,,,0.0,,856.0,,,,16.0,,,995.0,27.05,0.06,,,66.22,66.22,242132.0,12251933.98,,13.59,66.56,33.03,0.4394,57.24,0.8205
2006-09-08,588932.0,30306987.47,6.81,26.47,3.28,33.56,1.0,9505142.24,475485.0,184706.0,24468899.53,,,844.0,,,1471.0,,0.01,,80.0,,,,844.0,0.08,,,26.94,,,,66.28,66.28,241857.0,12446185.75,,13.54,66.56,32.88,0.4389,57.27,0.821
2006-09-11,592327.0,30159707.56,6.85,27.36,3.3,33.93,1.0,9609321.62,474860.0,188724.0,24178601.91,,,436.0,0.24,,,,0.02,4019.0,1061.0,,,0.24,436.0,,,,26.99,,,,66.24,66.24,242068.0,12325455.52,,13.61,66.48,32.72,0.431,56.66,0.8262
2006-09-12,593077.0,30842690.48,6.86,28.34,3.31,33.95,1.0,9813670.8,475627.0,188708.0,24734758.46,,,877.0,,,,,0.01,,110.0,,,,877.0,,,17.0,27.1,0.0,,,66.31,66.31,241674.0,12568142.72,,13.71,66.41,32.52,0.4311,56.79,0.8268
2006-09-13,591958.0,31642601.87,6.84,27.78,3.3,34.4,1.0,9905906.18,477900.0,185316.0,25545730.33,,,2273.0,0.0,,,,,11.0,,,,0.0,2273.0,,,3402.0,27.6,0.2,,,64.46,64.46,263457.0,14082865.61,,15.4,64.18,32.76,0.4387,57.32,0.7985
2006-09-14,587995.0,31643853.06,6.8,28.86,3.28,34.85,1.0,9909077.0,475126.0,184127.0,25569634.65,,,80.0,0.0,,,,0.0,11.0,2854.0,,,0.0,80.0,,,1200.0,28.0,0.07,,,64.27,64.27,264149.0,14215583.71,,15.46,64.44,32.99,0.4416,57.45,0.7954
2006-09-15,586256.0,31470593.71,6.78,28.7,3.27,35.17,1.0,9883624.64,473395.0,184119.0,25412143.69,,,10.0,,,,,0.0,,1741.0,,,,10.0,,,8.0,28.26,0.0,,,64.17,64.17,264283.0,14186878.97,,15.48,64.61,33.06,0.4421,57.46,0.7947
