,ALFRE FP Equity_DX_SI_QTY,ALFRE FP Equity_DX_SHORT_INTEREST_VALUE,ALFRE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFRE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFRE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFRE FP Equity_DX_SI_MV,ALFRE FP Equity_DX_DSS,ALFRE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFRE FP Equity_DX_SUPPLY_SI_QTY,ALFRE FP Equity_DX_BROKER_SI_QTY,ALFRE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFRE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALFRE FP Equity_DX_BROKER_SI_MV_INC_x,ALFRE FP Equity_DX_BROKER_SI_QTY_ADD,ALFRE FP Equity_DX_SUPPLY_SI_MV_DEC,ALFRE FP Equity_DX_BROKER_SI_QTY_INC,ALFRE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFRE FP Equity_DX_BROKER_SI_MV_INC_y,ALFRE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALFRE FP Equity_DX_BROKER_SI_MV_ADD,ALFRE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFRE FP Equity_DX_BROKER_SI_QTY_DEC,ALFRE FP Equity_DX_SUPPLY_SI_MV,ALFRE FP Equity_DX_BROKER_SI_MV_DEC,ALFRE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFRE FP Equity_DX_UTILIZATION_QUANTITY,ALFRE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFRE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFRE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFRE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFRE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALFRE FP Equity_DX_BROKER_SI_CON_RATIO,ALFRE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFRE FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.13,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.13,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.13,0.0,,0.0,,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0
