,GEU3C FP Equity_PX_LAST
2023-03-07,0.01
2023-03-08,9.861
2023-03-09,9.862
2023-03-10,9.862
2023-03-13,9.92
2023-03-14,10.01
2023-03-15,9.923
2023-03-16,9.982
2023-03-17,9.996
2023-03-20,10.056
2023-03-21,10.026
2023-03-22,9.986
2023-03-23,10.002
2023-03-24,10.028
2023-03-27,10.02
2023-03-28,10.006
2023-03-29,10.004
2023-03-30,10.022
2023-03-31,9.979
2023-04-03,9.985
2023-04-04,9.996
2023-04-05,10.006
2023-04-06,10.02
2023-04-11,10.002
2023-04-12,9.99
2023-04-13,9.99
2023-04-14,9.98
2023-04-17,9.964
2023-04-18,9.963
2023-04-19,9.954
2023-04-20,9.962
2023-04-21,9.97
2023-04-24,9.967
2023-04-25,9.963
2023-04-26,9.99
2023-04-27,9.982
2023-04-28,9.979
2023-05-02,9.979
2023-05-03,9.955
2023-05-04,10.018
2023-05-05,10.032
2023-05-08,10.022
2023-05-09,10.018
2023-05-10,10.014
2023-05-11,10.032
2023-05-12,10.028
2023-05-15,10.022
2023-05-16,10.014
2023-05-17,10.006
2023-05-18,10.004
2023-05-19,10.004
2023-05-22,9.995
2023-05-23,10.002
2023-05-24,9.988
2023-05-25,9.996
2023-05-26,9.966
2023-05-29,9.988
2023-05-30,10.006
2023-05-31,10.02
2023-06-01,10.024
2023-06-02,10.014
2023-06-05,10.0
2023-06-06,10.004
2023-06-07,9.992
2023-06-08,10.006
2023-06-09,10.0
2023-06-12,10.004
2023-06-13,9.995
2023-06-14,9.996
2023-06-15,9.968
2023-06-16,9.976
2023-06-19,9.965
2023-06-20,9.975
2023-06-21,9.974
2023-06-22,10.004
2023-06-23,9.974
2023-06-26,9.985
2023-06-27,9.96
2023-06-28,9.977
2023-06-29,9.96
2023-06-30,9.962
2023-07-03,9.942
2023-07-04,9.952
2023-07-05,9.954
2023-07-06,9.943
2023-07-07,9.957
2023-07-10,9.956
2023-07-11,9.944
2023-07-12,9.961
2023-07-13,9.974
2023-07-14,9.977
2023-07-17,9.976
2023-07-18,10.0
2023-07-19,9.995
2023-07-20,9.985
2023-07-21,9.99
2023-07-24,9.999
2023-07-25,9.994
2023-07-26,9.985
2023-07-27,9.995
2023-07-28,10.004
2023-07-31,10.004
2023-08-01,10.002
2023-08-02,10.01
2023-08-03,10.012
2023-08-04,10.01
2023-08-07,10.014
2023-08-08,10.028
2023-08-09,10.024
2023-08-10,10.022
2023-08-11,10.012
2023-08-14,10.014
2023-08-15,10.002
2023-08-16,10.01
2023-08-17,9.997
2023-08-18,10.016
2023-08-21,10.008
2023-08-22,10.016
2023-08-23,10.038
2023-08-24,10.04
2023-08-25,10.024
2023-08-28,10.018
2023-08-29,10.026
2023-08-30,10.026
2023-08-31,10.038
2023-09-01,10.042
2023-09-04,10.03
2023-09-05,10.028
2023-09-06,10.018
2023-09-07,10.022
2023-09-08,10.03
2023-09-11,10.026
2023-09-12,10.018
2023-09-13,10.012
2023-09-14,10.02
2023-09-15,10.01
2023-09-18,10.002
2023-09-19,10.006
2023-09-20,10.012
2023-09-21,10.004
2023-09-22,10.008
2023-09-25,10.012
2023-09-26,10.008
2023-09-27,10.008
2023-09-28,9.995
2023-09-29,10.014
2023-10-02,10.006
2023-10-03,10.012
2023-10-04,10.012
2023-10-05,10.024
2023-10-06,10.028
2023-10-09,10.042
2023-10-10,10.042
2023-10-11,10.038
2023-10-12,10.028
2023-10-13,10.034
2023-10-16,10.034
2023-10-17,10.02
2023-10-18,10.016
2023-10-19,10.018
2023-10-20,10.034
2023-10-23,10.036
2023-10-24,10.04
2023-10-25,10.034
2023-10-26,10.05
2023-10-27,10.056
2023-10-30,10.064
2023-10-31,10.068
2023-11-01,10.076
2023-11-02,10.08
2023-11-03,10.088
2023-11-06,10.076
2023-11-07,10.082
2023-11-08,10.084
2023-11-09,10.084
