,REUSE FP Equity_DX_SI_QTY,REUSE FP Equity_DX_SHORT_INTEREST_VALUE,REUSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,REUSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,REUSE FP Equity_DX_SI_MV,REUSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,REUSE FP Equity_DX_SUPPLY_SI_QTY,REUSE FP Equity_DX_BROKER_SI_QTY,REUSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,REUSE FP Equity_DX_BROKER_SI_MV_NEW_x,REUSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,REUSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,REUSE FP Equity_DX_BROKER_SI_MV_INC_x,REUSE FP Equity_DX_SUPPLY_SI_MV_NEW,REUSE FP Equity_DX_BROKER_SI_QTY_ADD,REUSE FP Equity_DX_BROKER_SI_QTY_NEW,REUSE FP Equity_DX_SUPPLY_SI_MV_DEC,REUSE FP Equity_DX_BROKER_SI_QTY_INC,REUSE FP Equity_DX_SUPPLY_SI_QTY_DEC,REUSE FP Equity_DX_BROKER_SI_MV_NEW_y,REUSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,REUSE FP Equity_DX_BROKER_SI_MV_INC_y,REUSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,REUSE FP Equity_DX_BROKER_SI_MV_ADD,REUSE FP Equity_DX_SUPPLY_SI_QTY_ADD,REUSE FP Equity_DX_BROKER_SI_QTY_DEC,REUSE FP Equity_DX_SUPPLY_SI_MV,REUSE FP Equity_DX_BROKER_SI_MV_DEC,REUSE FP Equity_DX_SUPPLY_SI_MV_RMV,REUSE FP Equity_DX_BROKER_SI_MV_RMV,REUSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,REUSE FP Equity_DX_UTILIZATION_QUANTITY,REUSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,REUSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,REUSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,REUSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,REUSE FP Equity_DX_ACTIVE_UTILIZATION_MV,REUSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,REUSE FP Equity_DX_BROKER_SI_CON_RATIO,REUSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,REUSE FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,11493.68,,0.0,0.0,,0.0,,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,11040.72,,0.0,0.0,,0.0,,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10627.36,,0.0,0.0,,0.0,,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10759.38,,0.0,0.0,,0.0,,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10829.4,,0.0,0.0,,0.0,,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10927.25,,0.0,0.0,,0.0,,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10912.35,,0.0,0.0,,0.0,,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10481.48,,0.0,0.0,,0.0,,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,9909.94,,0.0,0.0,,0.0,,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,10003.2,,0.0,0.0,,0.0,,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,9787.19,,0.0,0.0,,0.0,,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1042.0,9242.54,,0.0,0.0,,0.0,,0.0
