,ETZ FP Equity_DX_SI_QTY,ETZ FP Equity_DX_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETZ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETZ FP Equity_DX_SI_MV,ETZ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SUPPLY_SI_QTY,ETZ FP Equity_DX_BROKER_SI_QTY,ETZ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETZ FP Equity_DX_BROKER_SI_MV_INC_x,ETZ FP Equity_DX_BROKER_SI_QTY_ADD,ETZ FP Equity_DX_SUPPLY_SI_MV_DEC,ETZ FP Equity_DX_BROKER_SI_QTY_INC,ETZ FP Equity_DX_SUPPLY_SI_QTY_DEC,ETZ FP Equity_DX_BROKER_SI_MV_INC_y,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETZ FP Equity_DX_BROKER_SI_MV_ADD,ETZ FP Equity_DX_SUPPLY_SI_QTY_ADD,ETZ FP Equity_DX_BROKER_SI_QTY_DEC,ETZ FP Equity_DX_SUPPLY_SI_MV,ETZ FP Equity_DX_BROKER_SI_MV_DEC,ETZ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETZ FP Equity_DX_UTILIZATION_QUANTITY,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETZ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETZ FP Equity_DX_ACTIVE_UTILIZATION_MV,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETZ FP Equity_DX_BROKER_SI_CON_RATIO,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETZ FP Equity_DX_DEMAND_SUPPLY_RATIO,ETZ FP Equity_PX_LAST
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2
2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35
2013-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55
2013-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.45
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.34
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.37
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.33
2013-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.26
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.05
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.28
2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.07
2013-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.93
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.99
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61
2013-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44
2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.04
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,61506.0,0.0,0.0,0.0,0.0,0.0,0.0,36.18
2013-10-14,86000.0,3114920.0,62.24,1.66,3.11,3114920.0,0.0,86000.0,0.0,,,86000.0,,,,,,3.11,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,50.5882,36.22
2013-10-15,86000.0,3144160.0,38.14,1.68,3.12,3144160.0,0.0,86000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,50.5882,36.56
2013-10-16,86000.0,3150180.0,37.22,1.68,3.15,3150180.0,0.0,86000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,50.5882,36.63
2013-10-17,86000.0,3157060.0,36.58,1.68,3.15,3157060.0,0.0,86000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,50.5882,36.71
2013-10-18,86000.0,3185440.0,28.35,1.55,3.16,3185440.0,0.0,86000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,50.5882,37.04
2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,86000.0,0.0,3.16,0.0,0.0,1700.0,63155.0,0.0,0.0,,0.0,,0.0,37.15
2013-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63376.0,0.0,0.0,,0.0,,0.0,37.28
2013-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63002.0,0.0,0.0,,0.0,,0.0,37.06
2013-10-24,92000.0,3425160.0,24.01,1.61,3.41,3425160.0,0.0,92000.0,0.0,,,92000.0,,,,,,3.41,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,54.1176,37.23
2013-10-25,92000.0,3421480.0,23.77,1.61,3.42,3421480.0,0.0,92000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.89,0.5,50.11,54.1176,37.19
2013-10-28,92000.0,3415040.0,23.77,1.61,3.41,3415040.0,0.0,92000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,54.1176,37.12
2013-10-29,92000.0,3433440.0,23.43,1.61,3.41,3433440.0,0.0,92000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.96,0.5,50.04,54.1176,37.32
2013-10-30,92000.0,3427920.0,23.58,1.61,3.41,3427920.0,0.0,92000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.83,0.5,50.17,54.1176,37.26
2013-10-31,46000.0,1722240.0,11.85,0.8,1.71,1722240.0,0.0,46000.0,0.0,,,,,,,,,,,46000.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,27.0588,37.44
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,46000.0,0.0,1.73,0.0,0.0,1700.0,63478.0,0.0,0.0,,0.0,,0.0,37.34
2013-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63614.0,0.0,0.0,,0.0,,0.0,37.42
2013-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63597.0,0.0,0.0,,0.0,,0.0,37.41
2013-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63852.0,0.0,0.0,,0.0,,0.0,37.56
2013-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63937.0,0.0,0.0,,0.0,,0.0,37.61
2013-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63750.0,0.0,0.0,,0.0,,0.0,37.5
2013-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63920.0,0.0,0.0,,0.0,,0.0,37.6
2013-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63580.0,0.0,0.0,,0.0,,0.0,37.4
2013-11-13,9460.0,351912.0,2.17,0.16,0.37,351912.0,0.0,9460.0,0.0,,,9460.0,,,,,,0.37,,,0.0,,0.0,0.0,1700.0,63240.0,0.0,0.0,,1.0,100.0,5.5647,37.2
2013-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9460.0,0.0,0.37,0.0,0.0,1700.0,63767.0,0.0,0.0,,0.0,,0.0,37.51
2013-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,63886.0,0.0,0.0,,0.0,,0.0,37.58
2013-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1700.0,64175.0,0.0,0.0,,0.0,,0.0,37.75
