,ALREW FP Equity_DX_SI_QTY,ALREW FP Equity_DX_SHORT_INTEREST_VALUE,ALREW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALREW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALREW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALREW FP Equity_DX_SI_MV,ALREW FP Equity_DX_DSS,ALREW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALREW FP Equity_DX_SUPPLY_SI_QTY,ALREW FP Equity_DX_BROKER_SI_QTY,ALREW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALREW FP Equity_DX_BROKER_SI_MV_NEW_x,ALREW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALREW FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALREW FP Equity_DX_BROKER_SI_MV_INC_x,ALREW FP Equity_DX_SUPPLY_SI_MV_NEW,ALREW FP Equity_DX_BROKER_SI_QTY_ADD,ALREW FP Equity_DX_BROKER_SI_QTY_NEW,ALREW FP Equity_DX_SUPPLY_SI_MV_DEC,ALREW FP Equity_DX_BROKER_SI_QTY_INC,ALREW FP Equity_DX_SUPPLY_SI_QTY_DEC,ALREW FP Equity_DX_BROKER_SI_MV_NEW_y,ALREW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALREW FP Equity_DX_BROKER_SI_MV_INC_y,ALREW FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALREW FP Equity_DX_BROKER_SI_MV_ADD,ALREW FP Equity_DX_SUPPLY_SI_QTY_ADD,ALREW FP Equity_DX_BROKER_SI_QTY_DEC,ALREW FP Equity_DX_SUPPLY_SI_MV,ALREW FP Equity_DX_BROKER_SI_MV_DEC,ALREW FP Equity_DX_SUPPLY_SI_MV_RMV,ALREW FP Equity_DX_BROKER_SI_MV_RMV,ALREW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALREW FP Equity_DX_UTILIZATION_QUANTITY,ALREW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALREW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALREW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALREW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALREW FP Equity_DX_ACTIVE_UTILIZATION_MV,ALREW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALREW FP Equity_DX_BROKER_SI_CON_RATIO,ALREW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALREW FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12886.0,36338.52,,0.04,0.0,,0.0,,0.0
2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12887.0,35181.51,,0.04,0.0,,0.0,,0.0
2019-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,13358.0,36600.92,,0.04,0.0,,0.0,,0.0
2019-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,13159.0,37897.92,,0.04,0.0,,0.0,,0.0
2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10160.0,28346.4,,0.03,0.0,,0.0,,0.0
2019-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9433.0,26318.07,,0.03,0.0,,0.0,,0.0
2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9433.0,26318.07,,0.03,0.0,,0.0,,0.0
2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9433.0,27072.71,,0.03,0.0,,0.0,,0.0
2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9433.0,27733.02,,0.03,0.0,,0.0,,0.0
2019-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9309.0,26996.1,,0.03,0.0,,0.0,,0.0
2019-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8906.0,26094.58,,0.03,0.0,,0.0,,0.0
2019-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8137.0,28235.39,,0.02,0.0,,0.0,,0.0
2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8137.0,28072.65,,0.03,0.0,,0.0,,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8120.0,28014.0,,0.03,0.0,,0.0,,0.0
2019-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8310.0,28420.2,,0.03,0.0,,0.0,,0.0
2019-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8761.0,30400.67,,0.03,0.0,,0.0,,0.0
2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8761.0,30050.23,,0.03,0.0,,0.0,,0.0
2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9338.0,31842.58,,0.03,0.0,,0.0,,0.0
2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9338.0,31655.82,,0.03,0.0,,0.0,,0.0
2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9640.0,29402.0,,0.03,0.0,,0.0,,0.0
2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10601.0,31378.96,,0.03,0.0,,0.0,,0.0
2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10601.0,31590.98,,0.03,0.0,,0.0,,0.0
