,ANTIN FP Equity_DX_SI_QTY,ANTIN FP Equity_DX_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ANTIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANTIN FP Equity_DX_SI_MV,ANTIN FP Equity_DX_DSS,ANTIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY,ANTIN FP Equity_DX_BROKER_SI_QTY,ANTIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANTIN FP Equity_DX_BROKER_SI_MV_INC_x,ANTIN FP Equity_DX_SUPPLY_SI_MV_NEW,ANTIN FP Equity_DX_BROKER_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_NEW,ANTIN FP Equity_DX_SUPPLY_SI_MV_DEC,ANTIN FP Equity_DX_BROKER_SI_QTY_INC,ANTIN FP Equity_DX_SUPPLY_SI_QTY_DEC,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ANTIN FP Equity_DX_BROKER_SI_MV_INC_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANTIN FP Equity_DX_BROKER_SI_MV_ADD,ANTIN FP Equity_DX_SUPPLY_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV,ANTIN FP Equity_DX_BROKER_SI_MV_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV_RMV,ANTIN FP Equity_DX_BROKER_SI_MV_RMV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANTIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_MV,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANTIN FP Equity_DX_BROKER_SI_CON_RATIO,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANTIN FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-09-23,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,20000.0,480000.0,,0.48,0.0,,0.0,,0.0
2021-09-24,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,444660.0,13473198.0,,11.43,0.0,,0.0,,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1177515.0,34147935.0,,32.5,0.0,,0.0,,0.0
2021-09-28,40214.0,1151728.96,0.13,0.18,0.02,1.17,0.0,1151728.96,29214.0,40214.0,836688.96,,,,,,40214.0,,,,,,,,,1.17,29214.0,,0.84,,,,0.72,0.72,4004231.0,114681175.84,,113.66,0.73,,1.0,100.0,0.01
2021-09-29,45921.0,1331709.0,0.14,0.2,0.03,1.34,0.0,1331709.0,34921.0,45921.0,1012709.0,,,,,,5707.0,,,,,,,,,0.17,5707.0,,1.01,,,,0.7,0.7,4949713.0,143541677.0,,140.18,0.72,12.92,0.775,87.08,0.0092
2021-09-30,51214.0,1490327.4,0.15,0.22,0.03,1.49,0.0,1170227.4,40214.0,40214.0,1170227.4,,,,,,,,0.16,,5707.0,,,,,,11000.0,5707.0,1.17,0.17,,,0.73,0.73,5505114.0,160198817.4,,157.2,0.74,12.42,1.0,100.0,0.0092
2021-10-01,51214.0,1485206.0,0.15,0.21,0.03,1.49,0.0,1166206.0,40214.0,40214.0,1166206.0,,,,,,,,,,,,,,,,,,1.17,,,,0.63,0.63,6382295.0,185086555.0,,182.69,0.63,,1.0,100.0,0.008
2021-10-04,51214.0,1483157.44,0.15,0.21,0.03,1.49,0.0,1164597.44,40214.0,40214.0,1164597.44,,,,,,,,,,,,,,,,,,1.17,,,,0.62,0.62,6477072.0,187576005.12,,184.61,0.63,,1.0,100.0,0.0079
2021-10-05,61714.0,1784768.88,0.18,0.25,0.04,1.79,0.0,1162988.88,50714.0,40214.0,1466648.88,,,10500.0,,,,,,,,,,,10500.0,,,,1.47,,,,15.35,0.77,279744.0,8090196.48,,8.1,15.34,,1.0,100.0,0.0094
2021-10-06,32500.0,926250.0,0.1,0.13,0.02,0.94,0.0,313500.0,21500.0,11000.0,612750.0,,,,,,,,0.84,,29214.0,,,,,,,29214.0,0.62,0.85,,,7.14,0.32,279744.0,7972704.0,,8.09,7.14,,1.0,100.0,0.0049
2021-10-07,32500.0,939900.0,0.1,0.13,0.02,0.93,0.0,318120.0,21500.0,11000.0,621780.0,,,,,,,,,,,,,,,,,,0.61,,,,7.14,0.32,279744.0,8090196.48,,7.97,7.14,,1.0,100.0,0.0048
2021-10-08,20863.0,605027.0,0.06,0.08,0.01,0.61,0.0,0.0,20863.0,0.0,605027.0,,,,,,,,0.15,,5600.0,,,,,,4963.0,11000.0,0.61,0.32,,,6.81,0.3,285344.0,8274976.0,,8.25,6.89,,0.0,,0.003
2021-10-11,20863.0,608365.08,0.06,0.08,0.01,0.61,0.0,0.0,20863.0,0.0,608365.08,,,,,,,,,,,,,,,,,,0.61,,,,6.81,0.3,285344.0,8320631.04,,8.27,6.89,,0.0,,0.003
2021-10-12,10363.0,305708.5,0.03,0.04,0.01,0.31,0.0,0.0,10363.0,0.0,305708.5,,,,,,,,0.3,,10500.0,,,,,,,,0.31,,,,3.38,0.15,295844.0,8727398.0,,8.63,3.45,,0.0,,0.0015
2021-10-13,5400.0,163944.0,0.02,0.02,0.0,0.16,0.0,0.0,5400.0,0.0,163944.0,,,,,,,,0.15,,4963.0,,,,,,,,0.16,,,,1.79,0.08,295844.0,8981823.84,,8.73,1.79,,0.0,,0.0008
2021-10-14,7712.0,236758.4,0.02,0.03,0.0,0.23,0.0,0.0,7712.0,0.0,236758.4,,,,,,,,,,,,,,,,2312.0,,0.23,,,,2.54,0.11,295844.0,9082410.8,,8.98,2.54,,0.0,,0.0011
2021-10-15,5400.0,165348.0,0.02,0.02,0.0,0.17,0.0,0.0,5400.0,0.0,165348.0,,,,,,,,0.07,,2312.0,,,,,,,,0.17,,,,1.79,0.07,295844.0,9058743.28,,9.09,1.79,,0.0,,0.0007
