,ALPAT FP Equity_DX_SI_QTY,ALPAT FP Equity_DX_SHORT_INTEREST_VALUE,ALPAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAT FP Equity_DX_SI_MV,ALPAT FP Equity_DX_DSS,ALPAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAT FP Equity_DX_SUPPLY_SI_QTY,ALPAT FP Equity_DX_BROKER_SI_QTY,ALPAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPAT FP Equity_DX_BROKER_SI_QTY_ADD,ALPAT FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPAT FP Equity_DX_BROKER_SI_MV_ADD,ALPAT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAT FP Equity_DX_BROKER_SI_QTY_DEC,ALPAT FP Equity_DX_SUPPLY_SI_MV,ALPAT FP Equity_DX_BROKER_SI_MV_DEC,ALPAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAT FP Equity_DX_UTILIZATION_QUANTITY,ALPAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPAT FP Equity_DX_BROKER_SI_CON_RATIO,ALPAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAT FP Equity_PX_LAST
2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
