,LWCE FP Equity_DX_SI_QTY,LWCE FP Equity_DX_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LWCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LWCE FP Equity_DX_SI_MV,LWCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SUPPLY_SI_QTY,LWCE FP Equity_DX_BROKER_SI_QTY,LWCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LWCE FP Equity_DX_BROKER_SI_QTY_ADD,LWCE FP Equity_DX_SUPPLY_SI_MV_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LWCE FP Equity_DX_BROKER_SI_MV_ADD,LWCE FP Equity_DX_SUPPLY_SI_QTY_ADD,LWCE FP Equity_DX_BROKER_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_MV,LWCE FP Equity_DX_BROKER_SI_MV_DEC,LWCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LWCE FP Equity_DX_UTILIZATION_QUANTITY,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LWCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LWCE FP Equity_DX_ACTIVE_UTILIZATION_MV,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LWCE FP Equity_DX_BROKER_SI_CON_RATIO,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LWCE FP Equity_DX_DEMAND_SUPPLY_RATIO,LWCE FP Equity_PX_LAST
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.79
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.63
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.23
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.45
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.52
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.28
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.63
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.14
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.73
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.03
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.93
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.22
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.66
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.88
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.78
2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.46
2020-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.01
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.24
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98
2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.68
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1
2020-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09
2020-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.41
2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.965
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.895
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.84
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.65
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.91
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.96
2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42
2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.41
2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.37
2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.74
2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.02
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.01
2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.99
2020-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.65
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.04
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35
2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68
2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.62
2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.95
2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.04
2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.59
2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.21
2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.175
2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.935
2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.66
2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55
2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55
2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.91
2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6
2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.11
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.67
2020-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.51
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75
2020-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.36
2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.67
2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42
2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.87
2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.79
2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.92
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.51
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.74
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.03
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.87
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.05
2020-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.17
2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.94
2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.73
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.86
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.99
2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.39
2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.39
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.19
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.86
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.34
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.54
2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.06
2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34
2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.19
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.05
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45
