,EMSRI FP Equity_DX_SI_QTY,EMSRI FP Equity_DX_SHORT_INTEREST_VALUE,EMSRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EMSRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EMSRI FP Equity_DX_SI_MV,EMSRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EMSRI FP Equity_DX_SUPPLY_SI_QTY,EMSRI FP Equity_DX_BROKER_SI_QTY,EMSRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EMSRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EMSRI FP Equity_DX_BROKER_SI_MV_INC_x,EMSRI FP Equity_DX_BROKER_SI_QTY_ADD,EMSRI FP Equity_DX_SUPPLY_SI_MV_DEC,EMSRI FP Equity_DX_BROKER_SI_QTY_INC,EMSRI FP Equity_DX_SUPPLY_SI_QTY_DEC,EMSRI FP Equity_DX_BROKER_SI_MV_INC_y,EMSRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EMSRI FP Equity_DX_BROKER_SI_MV_ADD,EMSRI FP Equity_DX_SUPPLY_SI_QTY_ADD,EMSRI FP Equity_DX_BROKER_SI_QTY_DEC,EMSRI FP Equity_DX_SUPPLY_SI_MV,EMSRI FP Equity_DX_BROKER_SI_MV_DEC,EMSRI FP Equity_DX_BROKER_SI_MV_RMV,EMSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EMSRI FP Equity_DX_UTILIZATION_QUANTITY,EMSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EMSRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EMSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EMSRI FP Equity_DX_ACTIVE_UTILIZATION_MV,EMSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EMSRI FP Equity_DX_BROKER_SI_CON_RATIO,EMSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EMSRI FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-02-07,30000.0,1456830.0,7.29,1.15,1.48,1456830.0,0.0,30000.0,0.0,,,30000.0,,,,,,1.48,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-02-10,30000.0,1461420.0,7.23,1.14,1.46,1461420.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-02-11,30000.0,1479120.0,7.25,1.12,1.46,1479120.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-02-12,30000.0,1494210.0,6.91,1.12,1.48,1494210.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-13,30000.0,1489020.0,6.3,1.12,1.5,1489020.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-14,30000.0,1485930.0,5.63,1.12,1.49,1485930.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-17,30000.0,1493850.0,5.3,1.12,1.49,1493850.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-18,30000.0,1480770.0,5.21,1.12,1.49,1480770.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-19,30000.0,1492860.0,5.05,1.12,1.48,1492860.0,0.0,30000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.5228
2020-02-20,71300.0,3471882.2,11.76,2.67,3.55,3471882.2,0.0,71300.0,0.0,,2.06,,,41300.0,,2.06,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,3.6193
