,INFU FP Equity_DX_SI_QTY,INFU FP Equity_DX_SHORT_INTEREST_VALUE,INFU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INFU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INFU FP Equity_DX_SI_MV,INFU FP Equity_DX_DSS,INFU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INFU FP Equity_DX_SUPPLY_SI_QTY,INFU FP Equity_DX_BROKER_SI_QTY,INFU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INFU FP Equity_DX_BROKER_SI_QTY_ADD,INFU FP Equity_DX_SUPPLY_SI_MV_DEC,INFU FP Equity_DX_SUPPLY_SI_QTY_DEC,INFU FP Equity_DX_BROKER_SI_MV_ADD,INFU FP Equity_DX_SUPPLY_SI_QTY_ADD,INFU FP Equity_DX_BROKER_SI_QTY_DEC,INFU FP Equity_DX_SUPPLY_SI_MV,INFU FP Equity_DX_BROKER_SI_MV_DEC,INFU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INFU FP Equity_DX_UTILIZATION_QUANTITY,INFU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INFU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INFU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INFU FP Equity_DX_ACTIVE_UTILIZATION_MV,INFU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INFU FP Equity_DX_BROKER_SI_CON_RATIO,INFU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INFU FP Equity_DX_DEMAND_SUPPLY_RATIO,INFU FP Equity_PX_LAST
2016-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.39
2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.07
2016-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.08
2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.45
2016-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2
2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.35
2016-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.28
2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99
2016-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.12
2016-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.62
2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92
2016-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.89
2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.67
2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.24
2016-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21
2016-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3
2016-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.56
2016-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.51
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.39
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.96
2016-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
2016-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.53
2016-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.38
2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.74
2016-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.49
2016-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.78
2016-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.06
2016-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.67
2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.12
2016-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.69
2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.34
2016-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.51
2016-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.15
2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.51
2016-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31
2016-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.16
2016-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.56
2016-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.82
2016-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.58
2016-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.45
2016-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.47
2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.59
2016-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86
2016-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.19
2016-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.29
2016-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.33
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.34
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.82
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.05
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.58
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.44
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.88
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.92
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.75
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.76
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.92
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.41
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.35
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.23
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.22
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.15
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.09
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.37
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.58
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.12
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.14
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.16
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.18
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.81
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.58
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.85
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.35
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.49
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.51
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.18
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.61
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.56
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.05
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.23
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.95
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.81
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.88
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.67
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.57
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.46
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.78
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.77
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.13
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.49
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.73
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44
