,ALATI FP Equity_DX_SI_QTY,ALATI FP Equity_DX_SHORT_INTEREST_VALUE,ALATI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALATI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALATI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALATI FP Equity_DX_SI_MV,ALATI FP Equity_DX_DSS,ALATI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALATI FP Equity_DX_SUPPLY_SI_QTY,ALATI FP Equity_DX_BROKER_SI_QTY,ALATI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALATI FP Equity_DX_BROKER_SI_MV_NEW_x,ALATI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALATI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALATI FP Equity_DX_BROKER_SI_MV_INC_x,ALATI FP Equity_DX_SUPPLY_SI_MV_NEW,ALATI FP Equity_DX_BROKER_SI_QTY_ADD,ALATI FP Equity_DX_BROKER_SI_QTY_NEW,ALATI FP Equity_DX_SUPPLY_SI_MV_DEC,ALATI FP Equity_DX_BROKER_SI_QTY_INC,ALATI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALATI FP Equity_DX_BROKER_SI_MV_NEW_y,ALATI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALATI FP Equity_DX_BROKER_SI_MV_INC_y,ALATI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALATI FP Equity_DX_BROKER_SI_MV_ADD,ALATI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALATI FP Equity_DX_BROKER_SI_QTY_DEC,ALATI FP Equity_DX_SUPPLY_SI_MV,ALATI FP Equity_DX_BROKER_SI_MV_DEC,ALATI FP Equity_DX_SUPPLY_SI_MV_RMV,ALATI FP Equity_DX_BROKER_SI_MV_RMV,ALATI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALATI FP Equity_DX_UTILIZATION_QUANTITY,ALATI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALATI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALATI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALATI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALATI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALATI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALATI FP Equity_DX_BROKER_SI_CON_RATIO,ALATI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALATI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,872.0,2993.0,0.01,0.12,0.0,0.0,0.0,2993.0,856.0,872.0,2938.09,,,,,,,,0.0,,2.0,,,,,,,,0.0,,,,0.31,0.31,276489.0,949005.48,,1.08,0.31,,1.0,100.0,0.0031
2006-01-11,872.0,3097.5,0.01,0.06,0.0,0.0,0.0,3097.5,883.0,872.0,3136.57,,,26.0,,,,,,,,,,,26.0,,,,0.0,,,,0.3,0.3,293942.0,1044133.98,,1.22,0.3,,1.0,100.0,0.003
2006-01-18,872.0,3097.5,0.01,0.05,0.0,0.0,0.0,3097.5,886.0,872.0,3147.23,,,4.0,,,,,,,,,,,4.0,,,,0.0,,,,0.3,0.3,296944.0,1054797.62,,1.26,0.3,,1.0,100.0,0.0029
2006-01-25,872.0,3142.28,0.01,0.05,0.0,0.0,0.0,3142.28,878.0,872.0,3163.9,,,,,,,,0.0,,8.0,,,,,,,,0.0,,,,0.3,0.3,293492.0,1057608.3,,1.27,0.3,,1.0,100.0,0.003
2006-02-01,872.0,3575.18,0.01,0.04,0.0,0.0,0.0,3575.18,851.0,872.0,3489.09,,,,,,,,0.0,,27.0,,,,,,,,0.0,,,,0.3,0.3,286523.0,1174739.28,,1.32,0.3,,1.0,100.0,0.003
2006-02-08,872.0,3022.86,0.01,0.04,0.0,0.0,0.0,3022.86,890.0,872.0,3085.26,,,39.0,,,,,,,,,,,39.0,,,,0.0,,,,0.31,0.31,283848.0,983982.45,,1.25,0.31,,1.0,100.0,0.0031
2006-02-15,1082.0,3574.88,0.02,0.04,0.01,0.0,0.0,3574.88,1107.0,1082.0,3657.48,,,217.0,0.0,,,,,210.0,,,,0.0,217.0,,,,0.0,,,,0.39,0.39,281081.0,928678.27,,1.1,0.39,,1.0,100.0,0.0038
2006-02-22,1082.0,3889.76,0.02,0.04,0.01,0.0,0.0,3889.76,1069.0,1082.0,3843.03,,,,,,,,0.0,,38.0,,,,,,,,0.0,,,,0.38,0.38,279415.0,1004489.72,,1.17,0.38,,1.0,100.0,0.0039
2006-03-01,1082.0,3769.36,0.02,0.04,0.01,0.0,0.0,3769.36,1093.0,1082.0,3807.69,,,23.0,,,,,,,,,,,23.0,,,,0.0,,,,0.39,0.39,281969.0,982295.74,,1.16,0.39,,1.0,100.0,0.0038
2006-03-08,1082.0,3732.32,0.02,0.05,0.01,0.0,0.0,3732.32,1063.0,1082.0,3666.78,,,,,,,,0.0,,29.0,,,,,,,,0.0,,,,0.37,0.37,283147.0,976705.2,,1.15,0.37,,1.0,100.0,0.0038
